accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	tissue source	treatment
SAMN02721613	2721613	4.4hr.JJN3.Combo	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590258	GSM1365935	JJN3	Multiple myeloma	4hr	bone marrow	Combo
SAMN02721614	2721614	2.4hr.JJN3.LBH.589	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590256	GSM1365933	JJN3	Multiple myeloma	4hr	bone marrow	LBH.589
SAMN02721615	2721615	1.4hr.JJN3.Control	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590255	GSM1365932	JJN3	Multiple myeloma	4hr	bone marrow	Control
SAMN02721616	2721616	3.4hr.JJN3.5.AZA	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590257	GSM1365934	JJN3	Multiple myeloma	4hr	bone marrow	5.AZA
SAMN02721617	2721617	8.4hr.U266.5.AZA	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590262	GSM1365939	U266	Multiple myeloma	4hr	peripheral blood	5.AZA
SAMN02721618	2721618	5.4hr.JJN3.NMP	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590259	GSM1365936	JJN3	Multiple myeloma	4hr	bone marrow	NMP
SAMN02721619	2721619	10.4hr.U266.NMP	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590264	GSM1365941	U266	Multiple myeloma	4hr	peripheral blood	NMP
SAMN02721620	2721620	9.4hr.U266.Combo	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590263	GSM1365940	U266	Multiple myeloma	4hr	peripheral blood	Combo
SAMN02721621	2721621	16.24hr.U266.Control	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590270	GSM1365947	U266	Multiple myeloma	24hr	peripheral blood	Control
SAMN02721622	2721622	7.4hr.U266.LBH.589	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590261	GSM1365938	U266	Multiple myeloma	4hr	peripheral blood	LBH.589
SAMN02721623	2721623	6.4hr.U266.Control	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590260	GSM1365937	U266	Multiple myeloma	4hr	peripheral blood	Control
SAMN02721624	2721624	12.24hr.JJN3.LBH.589	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590266	GSM1365943	JJN3	Multiple myeloma	24hr	bone marrow	LBH.589
