BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN02727420	SRR1238010	2014-07-07T15:47:11Z	2014-04-14T18:29:27Z	14012687	714647037	0	51	337	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238010/SRR1238010.1	SRX516758		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591807	simple	9606	Homo sapiens	GSM1369067							no					GEO	SRA157712		public	DA1CCF1B83D099CF6113E188DE813FF3	BCC5E90AB4AF7CF7156DFDE908191C89	2727420	siDPPA5 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591807	GSM1369067	vorinostat-resistant HCT116	colorectal carcinoma cell line	siDPPA5
SAMN02727421	SRR1238013	2014-07-07T15:47:11Z	2014-04-14T18:22:25Z	19008717	969444567	0	51	456	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238013/SRR1238013.1	SRX516761		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591810	simple	9606	Homo sapiens	GSM1369070							no					GEO	SRA157712		public	453688A832435805442B84AA5BEEF170	870A14547BE08F6DE74BED29FB1B71D8	2727421	siJAK2 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591810	GSM1369070	vorinostat-resistant HCT116	colorectal carcinoma cell line	siJAK2
SAMN02727422	SRR1238007	2014-07-07T15:47:11Z	2014-04-14T18:20:22Z	13758648	701691048	0	51	331	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238007/SRR1238007.1	SRX516755		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591804	simple	9606	Homo sapiens	GSM1369064							no					GEO	SRA157712		public	CEDF75884260B2D067AC49F19D52FFB3	A6094DE2A04FA5F34637AE74882827F3	2727422	siBEGAIN rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591804	GSM1369064	vorinostat-resistant HCT116	colorectal carcinoma cell line	siBEGAIN
SAMN02727423	SRR1238019	2014-07-07T15:47:11Z	2014-04-14T18:19:50Z	14561182	742620282	0	51	349	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238019/SRR1238019.1	SRX516767		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591816	simple	9606	Homo sapiens	GSM1369076							no					GEO	SRA157712		public	166EC557646ED639D09561A26F5B69DE	F939664A5BAAED3A6F67EB8F7D56FB45	2727423	siTGM5 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591816	GSM1369076	vorinostat-resistant HCT116	colorectal carcinoma cell line	siTGM5
SAMN02727424	SRR1238014	2014-07-07T15:47:11Z	2014-04-14T18:20:22Z	12986269	662299719	0	51	321	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238014/SRR1238014.1	SRX516762		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591811	simple	9606	Homo sapiens	GSM1369071							no					GEO	SRA157712		public	E572EC3B555C3E2902C3D9CE6F5AD214	CEB1C41EE55309F9DCBD23025D4BE490	2727424	siNFYA rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591811	GSM1369071	vorinostat-resistant HCT116	colorectal carcinoma cell line	siNFYA
SAMN02727425	SRR1238016	2014-07-07T15:47:11Z	2014-04-14T18:26:26Z	13782737	702919587	0	51	338	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238016/SRR1238016.1	SRX516764		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591813	simple	9606	Homo sapiens	GSM1369073							no					GEO	SRA157712		public	58C35A1639A1EA41F7AE6C54D05F7229	4BD67655B5B8BBB4D8C3043379FB9EFF	2727425	siPSMD13 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591813	GSM1369073	vorinostat-resistant HCT116	colorectal carcinoma cell line	siPSMD13
SAMN02727426	SRR1238011	2014-07-07T15:47:11Z	2014-04-14T18:39:35Z	17264395	880484145	0	51	413	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238011/SRR1238011.1	SRX516759		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591808	simple	9606	Homo sapiens	GSM1369068							no					GEO	SRA157712		public	8ED733A4120245742ADA19DF1354CD92	798F3AB2ADA22C9C822F30F5FA32856C	2727426	siEIF3L rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591808	GSM1369068	vorinostat-resistant HCT116	colorectal carcinoma cell line	siEIF3L
SAMN02727427	SRR1238008	2014-07-07T15:47:11Z	2014-04-14T18:53:48Z	26430192	1347939792	0	51	642	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238008/SRR1238008.1	SRX516756		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591805	simple	9606	Homo sapiens	GSM1369065							no					GEO	SRA157712		public	D0CE77CAF9531C74B79018EE17517152	F575C103A2325D5D92BF18880FA01135	2727427	siCCNK rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591805	GSM1369065	vorinostat-resistant HCT116	colorectal carcinoma cell line	siCCNK
SAMN02727428	SRR1238017	2014-07-07T15:47:11Z	2014-04-14T18:21:19Z	16399848	836392248	0	51	398	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238017/SRR1238017.1	SRX516765		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591814	simple	9606	Homo sapiens	GSM1369074							no					GEO	SRA157712		public	D2B2A504B767190F34E5B4D80D41F5AC	1E9012132EC034B8CE0086CC04B2B91D	2727428	siRGS18 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591814	GSM1369074	vorinostat-resistant HCT116	colorectal carcinoma cell line	siRGS18
SAMN02727429	SRR1238020	2014-07-07T15:47:11Z	2014-04-14T18:22:46Z	17051622	869632722	0	51	408	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1238020/SRR1238020.1	SRX516768		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP041162	PRJNA244587		244587	SRS591817	simple	9606	Homo sapiens	GSM1369077							no					GEO	SRA157712		public	00309FE036C1154D4B5DA95D7868BC17	E4B9F0205ADDF4294FF0B86CE870B29F	2727429	siTOX4 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591817	GSM1369077	vorinostat-resistant HCT116	colorectal carcinoma cell line	siTOX4
