BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	treatment	group
SAMN02796572	SRR1294335	2016-06-30T16:21:07Z	2014-05-21T14:46:34Z	19470133	1947013300	19470133	100	1215		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294335/SRR1294335.1	SRX548949		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616799	simple	9606	Homo sapiens	GSM1395357							no					GEO	SRA166611		public	695E7F11E1D2FF5627BC6D3E02BFF7BA	7A1DF9A17320D22B9297A2D81D76EA0D	2796572	mock_DMSO_4hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616799	GSM1395357	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock DMSO	mock.DMSO.4hr
SAMN02796583	SRR1294336	2016-06-30T16:21:07Z	2014-05-21T14:42:17Z	18547520	1854752000	18547520	100	1157		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294336/SRR1294336.1	SRX548950		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616800	simple	9606	Homo sapiens	GSM1395358							no					GEO	SRA166611		public	7B77D716C24C817552A4B8653D11DF97	244905F7DD1171430430424994BC54DD	2796583	mock_DMSO_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616800	GSM1395358	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock DMSO	mock.DMSO.8hr
SAMN02796577	SRR1294337	2016-06-30T16:21:07Z	2014-05-21T14:46:18Z	22547758	2254775800	22547758	100	1407		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294337/SRR1294337.1	SRX548951		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616801	simple	9606	Homo sapiens	GSM1395359							no					GEO	SRA166611		public	4E109B4A8D074E1EA09166D8AFE7DD73	02A6D7005DA70376E17147543D2B64AB	2796577	mock_DMSO_12hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616801	GSM1395359	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock DMSO	mock.DMSO.12hr
SAMN02796574	SRR1294338	2016-06-30T16:21:07Z	2014-05-21T14:45:18Z	18789888	1878988800	18789888	100	1196		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294338/SRR1294338.1	SRX548952		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616802	simple	9606	Homo sapiens	GSM1395360							no					GEO	SRA166611		public	ECB7F5D26548DB1F19D17654CF740E43	CD4C8E377B9FE707FB07B452CFAEB2A4	2796574	mock_vorinostat_4hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616802	GSM1395360	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock vorinostat	mock.vorinostat.4hr
SAMN02796582	SRR1294339	2016-06-30T16:21:07Z	2014-05-21T14:47:07Z	17292674	1729267400	17292674	100	1099		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294339/SRR1294339.1	SRX548953		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616803	simple	9606	Homo sapiens	GSM1395361							no					GEO	SRA166611		public	F1AE04A6F567400943A22E53D7F43781	4A2F53288A4898FD6C1A1E249E0BC4B9	2796582	mock_vorinostat_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616803	GSM1395361	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock vorinostat	mock.vorinostat.8hr
SAMN02796579	SRR1294340	2016-06-30T16:21:07Z	2014-05-21T14:42:21Z	16281764	1628176400	16281764	100	1026		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294340/SRR1294340.1	SRX548954		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616804	simple	9606	Homo sapiens	GSM1395362							no					GEO	SRA166611		public	E2B2C0D60D1AAAAEEC985B0B35422FF7	A9AFC9F3413B582BEF51754785303F73	2796579	mock_vorinostat_12hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616804	GSM1395362	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock vorinostat	mock.vorinostat.12hr
SAMN02796573	SRR1294341	2016-06-30T16:21:07Z	2014-05-21T14:59:23Z	18989298	1898929800	18989298	100	1184		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294341/SRR1294341.1	SRX548955		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616805	simple	9606	Homo sapiens	GSM1395363							no					GEO	SRA166611		public	CC3304A81E457D09F2D8068DEE06663D	D8DEC40E207EB9E2204FEBA771558489	2796573	siGLI1_DMSO_4hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616805	GSM1395363	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	siGLI1 DMSO	siGLI1.DMSO.4hr
SAMN02796581	SRR1294342	2016-06-30T16:21:07Z	2014-05-21T14:50:11Z	18802145	1880214500	18802145	100	1176		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294342/SRR1294342.1	SRX548956		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616806	simple	9606	Homo sapiens	GSM1395364							no					GEO	SRA166611		public	F65A0B8E790A746214A0443A395D136F	CD572A96B82EE81F544F8DA433511777	2796581	siGLI1_DMSO_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616806	GSM1395364	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 DMSO	siGLI1.DMSO.8hr
SAMN02796580	SRR1294343	2016-06-30T16:21:07Z	2014-05-21T14:57:45Z	19547147	1954714700	19547147	100	1249		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294343/SRR1294343.1	SRX548957		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616807	simple	9606	Homo sapiens	GSM1395365							no					GEO	SRA166611		public	A657A329D86A1D2DDC7F7C2A79552C2F	865C340242F66F806A73066B10C6BE74	2796580	siGLI1_vorinostat_4hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616807	GSM1395365	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	siGLI1 vorinostat	siGLI1.vorinostat.4hr
SAMN02796585	SRR1294344	2016-06-30T16:21:07Z	2014-05-21T14:46:09Z	23248105	2324810500	23248105	100	1452		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294344/SRR1294344.1	SRX548958		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616808	simple	9606	Homo sapiens	GSM1395366							no					GEO	SRA166611		public	828FBF460169C8CAF9D2F95583E8E608	1ED16FA9ED896E448B84A0F249D9894E	2796585	siGLI1_vorinostat_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616808	GSM1395366	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 vorinostat	siGLI1.vorinostat.8hr
SAMN02796575	SRR1294345	2016-06-30T16:21:07Z	2014-05-21T14:49:29Z	19033506	1903350600	19033506	100	1217		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294345/SRR1294345.1	SRX548959		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616809	simple	9606	Homo sapiens	GSM1395367							no					GEO	SRA166611		public	39A5EFE0CD2FBDEF4D8263DE2A811164	88C1499ECA11622D3A3E197AA5F23D28	2796575	siPSMD13_DMSO_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616809	GSM1395367	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 DMSO	siPSMD13.DMSO.8hr
SAMN02796591	SRR1294346	2016-06-30T16:21:07Z	2014-05-21T14:53:29Z	21384015	2138401500	21384015	100	1367		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294346/SRR1294346.1	SRX548960		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616810	simple	9606	Homo sapiens	GSM1395368							no					GEO	SRA166611		public	EB9B53F4FF5FDEE08EAAAD9AB2E1D288	7010C2F1D6E8413ACA02347BC0FC4290	2796591	siPSDM13_DMSO_12hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616810	GSM1395368	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSDM13 DMSO	siPSDM13.DMSO.12hr
SAMN02796584	SRR1294347	2016-06-30T16:21:07Z	2014-05-21T14:57:51Z	21331557	2133155700	21331557	100	1363		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294347/SRR1294347.1	SRX548961		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616811	simple	9606	Homo sapiens	GSM1395369							no					GEO	SRA166611		public	1F21091F3A08587CD6FE3B2D95826110	80F3AE64B2EE32D5A777252AC36BCB00	2796584	siPSMD13_vorinostat_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616811	GSM1395369	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 vorinostat	siPSMD13.vorinostat.8hr
SAMN02796576	SRR1294348	2016-06-30T16:21:07Z	2014-05-21T15:00:46Z	21442370	2144237000	21442370	100	1340		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294348/SRR1294348.1	SRX548962		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616812	simple	9606	Homo sapiens	GSM1395370							no					GEO	SRA166611		public	D3B6AA059A751DDCF5F77265F32ABF9B	1DB008F69BB471902F0AFC8739AE6150	2796576	siPSMD13_vorinostat_12hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616812	GSM1395370	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSMD13 vorinostat	siPSMD13.vorinostat.12hr
SAMN02796601	SRR1294349	2016-06-30T16:21:07Z	2014-05-21T14:43:51Z	17942968	1794296800	17942968	100	1138		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294349/SRR1294349.1	SRX548963		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616813	simple	9606	Homo sapiens	GSM1395371							no					GEO	SRA166611		public	228266D5B335426CA9E02F846DF76F29	EF4A18E2A624EDB6807315B156615A93	2796601	mock_DMSO_4hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616813	GSM1395371	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock DMSO	mock.DMSO.4hr
