accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	treatment
SAMN02796572	2796572	mock_DMSO_4hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616799	GSM1395357	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock DMSO
SAMN02796573	2796573	siGLI1_DMSO_4hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616805	GSM1395363	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	siGLI1 DMSO
SAMN02796574	2796574	mock_vorinostat_4hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616802	GSM1395360	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock vorinostat
SAMN02796575	2796575	siPSMD13_DMSO_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616809	GSM1395367	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 DMSO
SAMN02796576	2796576	siPSMD13_vorinostat_12hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616812	GSM1395370	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSMD13 vorinostat
SAMN02796577	2796577	mock_DMSO_12hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616801	GSM1395359	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock DMSO
SAMN02796578	2796578	mock_vorinostat_12hr rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616818	GSM1395376	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock vorinostat
SAMN02796579	2796579	mock_vorinostat_12hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616804	GSM1395362	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock vorinostat
SAMN02796580	2796580	siGLI1_vorinostat_4hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616807	GSM1395365	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	siGLI1 vorinostat
SAMN02796581	2796581	siGLI1_DMSO_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616806	GSM1395364	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 DMSO
SAMN02796582	2796582	mock_vorinostat_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616803	GSM1395361	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock vorinostat
SAMN02796583	2796583	mock_DMSO_8hr rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616800	GSM1395358	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock DMSO
