BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	diagnosis	shRNA	source_name	treatment	group
SAMN03248144	SRR1688357	2015-09-08T16:06:19Z	2014-12-02T15:21:03Z	36009770	3600977000	36009770	100	2312		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688357/SRR1688357.1	SRX793201		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776987	simple	9606	Homo sapiens	GSM1557062							no					GEO	SRA207199		public	3B8DA84C949E1021576E63234CB229B5	CBF2EDABBC4A78068832B4FCB4B50037	3248144	MOLM-13 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS776987	GSM1557062	Leukemia		Cell line	DMSO	MOLM13.DMSO
SAMN03248117	SRR1688358	2015-09-08T16:06:19Z	2014-12-02T15:51:52Z	89932702	8993270200	89932702	100	6091		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688358/SRR1688358.1	SRX793202		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776989	simple	9606	Homo sapiens	GSM1557063							no					GEO	SRA207199		public	949CFCFA155B14473D5944810AD2F1F0	8921671B8BE3CA3F332321DD010B6C42	3248117	MOLM-13 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776989	GSM1557063	Leukemia		Cell line	2h JQ1 200 nM	MOLM13.JQ1.2.200nM
SAMN03248165	SRR1688359	2015-09-08T16:06:19Z	2014-12-02T15:30:40Z	45234569	4523456900	45234569	100	3069		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688359/SRR1688359.1	SRX793203		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776990	simple	9606	Homo sapiens	GSM1557064							no					GEO	SRA207199		public	05760E745F65B4E5CCEDD7D8FCF2C06B	02FB16FA268CBF456CF2B198A97E6F29	3248165	MOLM-13 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776990	GSM1557064	Leukemia		Cell line	24h JQ1 200 nM	MOLM13.JQ1.24.200nM
SAMN03248106	SRR1688360	2015-09-08T16:06:19Z	2014-12-02T16:01:36Z	58987543	5898754300	58987543	100	3663		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688360/SRR1688360.1	SRX793204		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776991	simple	9606	Homo sapiens	GSM1557065							no					GEO	SRA207199		public	4435A6BE9FA6D26D5F098FC31E27D304	94CDECECCC386D6ADE040BF01CD37093	3248106	KASUMI-1 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS776991	GSM1557065	Leukemia		Cell line	DMSO	KASUMI1.DMSO
SAMN03248146	SRR1688361	2015-09-08T16:06:19Z	2014-12-02T16:13:06Z	58766661	5876666100	58766661	100	3634		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688361/SRR1688361.1	SRX793205		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776992	simple	9606	Homo sapiens	GSM1557066							no					GEO	SRA207199		public	F7049A54941E0DE3DF0802FB825EB338	A2E4C301EBF8F490DB6D706308192B5B	3248146	KASUMI-1 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776992	GSM1557066	Leukemia		Cell line	2h JQ1 200 nM	KASUMI1.JQ1.2.200nM
SAMN03248125	SRR1688362	2015-09-08T16:06:19Z	2014-12-02T15:52:24Z	39004825	3900482500	39004825	100	2193		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688362/SRR1688362.1	SRX793206		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776993	simple	9606	Homo sapiens	GSM1557067							no					GEO	SRA207199		public	BB4989E6B4CD175AACB86774D99F0E82	42D2ED04E9279AB0E87FF728195C51E1	3248125	KASUMI-1 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776993	GSM1557067	Leukemia		Cell line	24h JQ1 200 nM	KASUMI1.JQ1.24.200nM
SAMN03248166	SRR1688363	2015-09-08T16:06:19Z	2014-12-02T15:34:20Z	61936354	6193635400	61936354	100	3849		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688363/SRR1688363.1	SRX793207		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776994	simple	9606	Homo sapiens	GSM1557068							no					GEO	SRA207199		public	348EB99ED4BC858D940DDB44F22B9D7C	88392D8A2C74727ABF3E787BC83B4160	3248166	MV4-11 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS776994	GSM1557068	Leukemia		Cell line	DMSO	MV411.DMSO
SAMN03248123	SRR1688364	2015-09-08T16:06:19Z	2014-12-02T15:27:31Z	58713108	5871310800	58713108	100	3649		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688364/SRR1688364.1	SRX793208		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776996	simple	9606	Homo sapiens	GSM1557069							no					GEO	SRA207199		public	3E02F7FA7C08ABEB03F2CBEEF0107F8B	ED488212F1FAFAFA2797D71608584F01	3248123	MV4-11 2h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776996	GSM1557069	Leukemia		Cell line	2h JQ1 200 nM	MV411.JQ1.2.200nM
SAMN03248158	SRR1688365	2015-09-08T16:06:19Z	2014-12-02T15:24:49Z	49313905	4931390500	49313905	100	3077		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688365/SRR1688365.1	SRX793209		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776995	simple	9606	Homo sapiens	GSM1557070							no					GEO	SRA207199		public	0D318BF584BE3ED1E9713B2B55641CB8	5C3D2BD8449EF8A0DBC8DCE3B4DE6C51	3248158	MV4-11 24h JQ1 200 nM	The Research Institute of Molecular Pathology (IMP)	9606	SRS776995	GSM1557070	Leukemia		Cell line	24h JQ1 200 nM	MV411.JQ1.24.200nM
SAMN03248130	SRR1688366	2015-09-08T16:06:19Z	2014-12-02T15:31:16Z	50089658	5008965800	50089658	100	3403		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1688366/SRR1688366.1	SRX793210		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP050440	PRJNA269063	2	269063	SRS776997	simple	9606	Homo sapiens	GSM1557071							no					GEO	SRA207199		public	B1C84185A52694828513B9996327BB78	97F71B6FB2D85700CA3B9ABC9FB9137E	3248130	MEG-1 DMSO	The Research Institute of Molecular Pathology (IMP)	9606	SRS776997	GSM1557071	Leukemia		Cell line	DMSO	MEG1.DMSO
