BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	origin	source_name
SAMN03276990	SRR1744418	2015-04-22T17:05:16Z	2015-04-22T17:01:49Z	30310794	3031079400	30310794	100	1941		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744418/SRR1744418.1	SRX832359		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810647	simple	9606	Homo sapiens	GSM1579152							no					GEO	SRA226716		public	898D5A311CD7A9829ABB805341F0406A	DEB8DC92D5A5AABD8C899D778E7393DB	3276990	A375_vitro_vem_6h_rep3	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810647	GSM1579152	A375	melanoma cell line	vemurafenib_6h_0.1µM	cells in vitro	melanoma
SAMN03276991	SRR1744419	2015-04-22T17:12:15Z	2015-04-22T17:08:39Z	38829388	3882938800	38829388	100	2487		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744419/SRR1744419.1	SRX832360		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810648	simple	9606	Homo sapiens	GSM1579153							no					GEO	SRA226716		public	22626709A41C75F09BA83A2A32B55ABC	1E6BBB1D81F5A0F0D04FC747B2A19FF1	3276991	A375_vitro_vem_48h_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810648	GSM1579153	A375	melanoma cell line	vemurafenib_48h_0.1µM	cells in vitro	melanoma
SAMN03276992	SRR1744414	2015-04-22T17:10:14Z	2015-04-22T17:07:07Z	39330096	3933009600	39330096	100	2528		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744414/SRR1744414.1	SRX832355		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810644	simple	9606	Homo sapiens	GSM1579148							no					GEO	SRA226716		public	A6F31E81BEEA2D91D2AA1706D7BF4BA5	0854B957424143CD9E6DC43ED005FA0A	3276992	A375_vitro_vehicle_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810644	GSM1579148	A375	melanoma cell line	vehicle	cells in vitro	melanoma
SAMN03276993	SRR1744423	2015-04-22T17:03:14Z	2015-04-22T17:00:37Z	24537879	2453787900	24537879	100	1505		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744423/SRR1744423.1	SRX832364		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810652	simple	9606	Homo sapiens	GSM1579157							no					GEO	SRA226716		public	707ECDC1D6B4A8F83AF1A87DED0D9E92	36597D5C98427A916791360C9D66E77E	3276993	A375_vivo_vehicle_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810652	GSM1579157	A375	melanoma cell line	vehicle	xenograft tumours	melanoma
SAMN03276994	SRR1744417	2015-04-22T17:06:15Z	2015-04-22T17:02:42Z	38656435	3865643500	38656435	100	2476		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744417/SRR1744417.1	SRX832358		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810646	simple	9606	Homo sapiens	GSM1579151							no					GEO	SRA226716		public	67DF199A0E30E3AAEF725F0FED28A899	E3B5BE6EDDF50825EFB2DDC5C73266D8	3276994	A375_vitro_vem_6h_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810646	GSM1579151	A375	melanoma cell line	vemurafenib_6h_0.1µM	cells in vitro	melanoma
SAMN03276995	SRR1744416	2015-04-22T17:13:15Z	2015-04-22T17:10:34Z	32487663	3248766300	32487663	100	2099		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744416/SRR1744416.1	SRX832357		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810645	simple	9606	Homo sapiens	GSM1579150							no					GEO	SRA226716		public	FCF2C2612585BDEF7DAF4221A0CE1568	3E7DA0D45998904934B1D436321A71FE	3276995	A375_vitro_vem_6h_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810645	GSM1579150	A375	melanoma cell line	vemurafenib_6h_0.1µM	cells in vitro	melanoma
SAMN03276996	SRR1744415	2015-04-22T17:09:15Z	2015-04-22T17:06:01Z	32747460	3274746000	32747460	100	2094		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744415/SRR1744415.1	SRX832356		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810643	simple	9606	Homo sapiens	GSM1579149							no					GEO	SRA226716		public	EE3DCE21028B3A3D3FBB8714C91359C1	2083A4BF36738B4E8DDFF9C6D84234B9	3276996	A375_vitro_vehicle_rep3	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810643	GSM1579149	A375	melanoma cell line	vehicle	cells in vitro	melanoma
SAMN03276997	SRR1744413	2015-04-22T17:09:15Z	2015-04-22T17:05:29Z	32102464	3210246400	32102464	100	2060		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744413/SRR1744413.1	SRX832354		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810642	simple	9606	Homo sapiens	GSM1579147							no					GEO	SRA226716		public	23DA7C800F143393E3EF72C52CA0AE86	68A294CC9A97E54BA7000A48A7038FA0	3276997	A375_vitro_vehicle_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810642	GSM1579147	A375	melanoma cell line	vehicle	cells in vitro	melanoma
SAMN03276998	SRR1744436	2015-04-22T17:16:15Z	2015-04-22T17:13:00Z	39291338	3929133800	39291338	100	1778		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744436/SRR1744436.1	SRX832377		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810665	simple	9606	Homo sapiens	GSM1579170							no					GEO	SRA226716		public	EA0222B3497172F70A9545DDEC78CAE9	05F8EA89981BC5EDA6411FDAE52808D9	3276998	UACC62_vitro_vem_48h_rep1	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810665	GSM1579170	UACC62	melanoma cell line	vemurafenib_48h_1µM	cells in vitro	melanoma
SAMN03276999	SRR1744437	2015-04-22T17:12:15Z	2015-04-22T17:09:14Z	37526045	3752604500	37526045	100	1703		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1744437/SRR1744437.1	SRX832378		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051765	PRJNA271773	2	271773	SRS810667	simple	9606	Homo sapiens	GSM1579171							no					GEO	SRA226716		public	D33E79709CEBEF4C1ADC4B69DACEED0E	CC592C90E825183A8A6F0AFFE27DC78C	3276999	UACC62_vitro_vem_48h_rep2	Genomics Core, Memorial Sloan Kettering Cancer Center	9606	SRS810667	GSM1579171	UACC62	melanoma cell line	vemurafenib_48h_1µM	cells in vitro	melanoma
