BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	agent	cell line	cell type	genotype	passages	source_name	group
SAMN03329236	SRR1787534	2015-08-31T16:08:12Z	2015-02-04T15:27:38Z	12003872	588189728	0	49	390		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787534/SRR1787534.1	SRX865301		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836667	simple	9606	Homo sapiens	GSM1602247							no					GEO	SRA236343		public	A2B8815BD277B384BCAED99870F5459E	C4D9EB6FA9287ECE2E3D95C6D195ECE7	3329236	C1_AICAR_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836667	GSM1602247	AICAR	C1	fibroblast	control	15-20	Fibroblasts	C1.AICAR
SAMN03329231	SRR1787535	2015-08-31T16:08:12Z	2015-02-04T15:27:18Z	12117546	593759754	0	49	388		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787535/SRR1787535.1	SRX865302		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836666	simple	9606	Homo sapiens	GSM1602248							no					GEO	SRA236343		public	DD6D52B03C60790B9379A62A7DB1474C	E7AE23F101EEE49D7FEADE63707E1B0B	3329231	C1_AICAR_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836666	GSM1602248	AICAR	C1	fibroblast	control	15-20	Fibroblasts	C1.AICAR
SAMN03329237	SRR1787536	2015-08-31T16:08:12Z	2015-02-04T15:27:29Z	11805043	578447107	0	49	380		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787536/SRR1787536.1	SRX865303		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836665	simple	9606	Homo sapiens	GSM1602249							no					GEO	SRA236343		public	5A707FD5B8169857882D4D569A15F6B7	803C489AE0F1F9C2EC1BE730AE3899F1	3329237	C1_CAP_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836665	GSM1602249	chloramphenicol	C1	fibroblast	control	15-20	Fibroblasts	C1.chloramphenicol
SAMN03329232	SRR1787537	2015-08-31T16:08:12Z	2015-02-04T15:27:43Z	11849077	580604773	0	49	381		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787537/SRR1787537.1	SRX865304		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836664	simple	9606	Homo sapiens	GSM1602250							no					GEO	SRA236343		public	1B041BF1E618620B77178183CD27AA3C	57FD265146A6E6820B77091BB6B7401E	3329232	C1_CAP_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836664	GSM1602250	chloramphenicol	C1	fibroblast	control	15-20	Fibroblasts	C1.chloramphenicol
SAMN03329229	SRR1787538	2015-08-31T16:08:12Z	2015-02-04T15:27:35Z	12219780	598769220	0	49	387		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787538/SRR1787538.1	SRX865305		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836663	simple	9606	Homo sapiens	GSM1602251							no					GEO	SRA236343		public	FE5608D26F5F0214E4429B9AAACDD74A	0FB2332307E82FF8AC68052451CDABD9	3329229	C1_DMSO_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836663	GSM1602251	DMSO	C1	fibroblast	control	15-20	Fibroblasts	C1.DMSO
SAMN03329238	SRR1787539	2015-08-31T16:08:12Z	2015-02-04T15:27:12Z	12008450	588414050	0	49	385		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787539/SRR1787539.1	SRX865306		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836661	simple	9606	Homo sapiens	GSM1602252							no					GEO	SRA236343		public	AC5E1903904E9A19B631540D32D4FC42	67A426B8E9E885334156A97F98766595	3329238	C1_DMSO_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836661	GSM1602252	DMSO	C1	fibroblast	control	15-20	Fibroblasts	C1.DMSO
SAMN03329240	SRR1787540	2015-08-31T16:08:12Z	2015-02-04T15:27:27Z	11941964	585156236	0	49	381		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787540/SRR1787540.1	SRX865307		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836660	simple	9606	Homo sapiens	GSM1602253							no					GEO	SRA236343		public	ACD960B2B3F66D0553C85CC4F622C503	ED0F7114726EBC2DA8B4CBEC1221644A	3329240	C1_RES_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836660	GSM1602253	resveratrol	C1	fibroblast	control	15-20	Fibroblasts	C1.resveratrol
SAMN03329259	SRR1787541	2015-08-31T16:08:12Z	2015-02-04T15:27:47Z	12089616	592391184	0	49	387		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787541/SRR1787541.1	SRX865308		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836662	simple	9606	Homo sapiens	GSM1602254							no					GEO	SRA236343		public	2B05B6C5813E938DA0F3C0E95C32C55D	5113659423F4B43814053EB5F8903165	3329259	C1_RES_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836662	GSM1602254	resveratrol	C1	fibroblast	control	15-20	Fibroblasts	C1.resveratrol
SAMN03329242	SRR1787542	2015-08-31T16:08:12Z	2015-02-04T15:27:31Z	12342150	604765350	0	49	419		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787542/SRR1787542.1	SRX865309		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836659	simple	9606	Homo sapiens	GSM1602255							no					GEO	SRA236343		public	E01AF845422BA7B6281DBEFA6986C962	B5C7AD78B4176ACAFDF71F507F7ACC48	3329242	C2_AICAR_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836659	GSM1602255	AICAR	C2	fibroblast	control	15-20	Fibroblasts	C2.AICAR
SAMN03329257	SRR1787543	2015-08-31T16:08:12Z	2015-02-04T15:27:21Z	12446566	609881734	0	49	400		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787543/SRR1787543.1	SRX865310		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836658	simple	9606	Homo sapiens	GSM1602256							no					GEO	SRA236343		public	622C2B9D7927E35765E94BF76B5804B6	26400DA2A2D28475E6C39C59CA2E38E5	3329257	C2_AICAR_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836658	GSM1602256	AICAR	C2	fibroblast	control	15-20	Fibroblasts	C2.AICAR
SAMN03329255	SRR1787544	2015-08-31T16:08:12Z	2015-02-04T15:27:12Z	12037941	589859109	0	49	387		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787544/SRR1787544.1	SRX865311		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836657	simple	9606	Homo sapiens	GSM1602257							no					GEO	SRA236343		public	36E6A7DB0B2445D90CE71CDB2B184EDC	0E03FE1122011CAE4068F6C5C39271C0	3329255	C2_CAP_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836657	GSM1602257	chloramphenicol	C2	fibroblast	control	15-20	Fibroblasts	C2.chloramphenicol
SAMN03329248	SRR1787545	2015-08-31T16:08:12Z	2015-02-04T15:27:41Z	12315328	603451072	0	49	392		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787545/SRR1787545.1	SRX865312		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836656	simple	9606	Homo sapiens	GSM1602258							no					GEO	SRA236343		public	F8993FAEEDDD4848F6AE5818155CF357	C9DCD41431991AC7B442E14A59C06323	3329248	C2_CAP_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836656	GSM1602258	chloramphenicol	C2	fibroblast	control	15-20	Fibroblasts	C2.chloramphenicol
SAMN03329245	SRR1787546	2015-08-31T16:08:12Z	2015-02-04T15:27:26Z	12290742	602246358	0	49	394		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787546/SRR1787546.1	SRX865313		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836655	simple	9606	Homo sapiens	GSM1602259							no					GEO	SRA236343		public	4E5AFDB3430560F371046DB37014BFBC	4560958B30C47ED3192B74FEF651B8B1	3329245	C2_DMSO_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836655	GSM1602259	DMSO	C2	fibroblast	control	15-20	Fibroblasts	C2.DMSO
SAMN03329251	SRR1787547	2015-08-31T16:08:12Z	2015-02-04T15:27:39Z	12582868	616560532	0	49	402		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787547/SRR1787547.1	SRX865314		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836654	simple	9606	Homo sapiens	GSM1602260							no					GEO	SRA236343		public	C382F614C1905C47315FA3EAE9391DC9	5190D4A61BEEA4648D6D9152938B0B99	3329251	C2_DMSO_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836654	GSM1602260	DMSO	C2	fibroblast	control	15-20	Fibroblasts	C2.DMSO
SAMN03329243	SRR1787548	2015-08-31T16:08:12Z	2015-02-04T15:27:02Z	12399269	607564181	0	49	399		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787548/SRR1787548.1	SRX865315		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836653	simple	9606	Homo sapiens	GSM1602261							no					GEO	SRA236343		public	6C53087DCDD643C201D9E4FA4503639E	5FDAE895A5E5615558BE5DB7B13C0D39	3329243	C2_RES_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836653	GSM1602261	resveratrol	C2	fibroblast	control	15-20	Fibroblasts	C2.resveratrol
SAMN03329246	SRR1787549	2015-08-31T16:08:12Z	2015-02-04T15:27:16Z	12406666	607926634	0	49	395		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787549/SRR1787549.1	SRX865316		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836652	simple	9606	Homo sapiens	GSM1602262							no					GEO	SRA236343		public	96ACE266E23BEA95576C8C5B9A0AECC8	9DFDDA57929DC8CDD60F268075077F3B	3329246	C2_RES_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836652	GSM1602262	resveratrol	C2	fibroblast	control	15-20	Fibroblasts	C2.resveratrol
SAMN03329239	SRR1787550	2015-08-31T16:08:12Z	2015-02-04T15:25:50Z	12244706	599990594	0	49	391		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787550/SRR1787550.1	SRX865317		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836651	simple	9606	Homo sapiens	GSM1602263							no					GEO	SRA236343		public	67946DDAFFE48CD3541C36C64EC56BA7	B641973508F157373A6D5319FFE55151	3329239	P1_AICAR_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836651	GSM1602263	AICAR	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts	P1.AICAR
SAMN03329250	SRR1787551	2015-08-31T16:08:12Z	2015-02-04T15:26:32Z	11917597	583962253	0	49	370		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1787551/SRR1787551.1	SRX865318		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP053190	PRJNA274569	2	274569	SRS836650	simple	9606	Homo sapiens	GSM1602264							no					GEO	SRA236343		public	F2DCEF8C68B132B6087B1176B2810C39	25937E9B85126A82710A7E50BEB5C872	3329250	P1_AICAR_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836650	GSM1602264	AICAR	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts	P1.AICAR
