accession	uid	title	organization	taxonomy	sra	geo	agent	cell line	cell type	genotype	passages	source_name
SAMN03329227	3329227	P2_DMSO_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836637	GSM1602276	DMSO	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts
SAMN03329228	3329228	P2_RES_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836638	GSM1602277	resveratrol	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts
SAMN03329229	3329229	C1_DMSO_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836663	GSM1602251	DMSO	C1	fibroblast	control	15-20	Fibroblasts
SAMN03329230	3329230	P2_CAP_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836639	GSM1602274	chloramphenicol	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts
SAMN03329231	3329231	C1_AICAR_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836666	GSM1602248	AICAR	C1	fibroblast	control	15-20	Fibroblasts
SAMN03329232	3329232	C1_CAP_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836664	GSM1602250	chloramphenicol	C1	fibroblast	control	15-20	Fibroblasts
SAMN03329233	3329233	P2_DMSO_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836641	GSM1602275	DMSO	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts
SAMN03329234	3329234	P2_RES_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836636	GSM1602278	resveratrol	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts
SAMN03329236	3329236	C1_AICAR_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836667	GSM1602247	AICAR	C1	fibroblast	control	15-20	Fibroblasts
SAMN03329237	3329237	C1_CAP_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836665	GSM1602249	chloramphenicol	C1	fibroblast	control	15-20	Fibroblasts
SAMN03329238	3329238	C1_DMSO_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836661	GSM1602252	DMSO	C1	fibroblast	control	15-20	Fibroblasts
SAMN03329239	3329239	P1_AICAR_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836651	GSM1602263	AICAR	P1	fibroblast	complex I deficient (patient NDUFS2)	15-20	Fibroblasts
SAMN03329240	3329240	C1_RES_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836660	GSM1602253	resveratrol	C1	fibroblast	control	15-20	Fibroblasts
SAMN03329241	3329241	P2_CAP_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836640	GSM1602273	chloramphenicol	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts
SAMN03329242	3329242	C2_AICAR_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836659	GSM1602255	AICAR	C2	fibroblast	control	15-20	Fibroblasts
SAMN03329243	3329243	C2_RES_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836653	GSM1602261	resveratrol	C2	fibroblast	control	15-20	Fibroblasts
SAMN03329244	3329244	P2_AICAR_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836642	GSM1602272	AICAR	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts
SAMN03329245	3329245	C2_DMSO_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836655	GSM1602259	DMSO	C2	fibroblast	control	15-20	Fibroblasts
SAMN03329246	3329246	C2_RES_2	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836652	GSM1602262	resveratrol	C2	fibroblast	control	15-20	Fibroblasts
SAMN03329247	3329247	P2_AICAR_1	Nijmegen Center for Mitochondrial Disorders, Pediatrics, Radboud university medical center	9606	SRS836645	GSM1602271	AICAR	P2	fibroblast	complex I deficient (patient ND5)	15-20	Fibroblasts
