BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	treatment time	group
SAMN03737816	SRR2042580	2016-01-04T11:42:07Z	2015-05-27T16:28:06Z	32296190	1647105690	0	51	1056		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042580/SRR2042580.1	SRX1040857		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947371	simple	9606	Homo sapiens	GSM1697096							no					GEO	SRA270091		public	41CF16B70495EDE151F49A6B62886B25	2945551744872F1C1D82708BABA1EAF6	3737816	RNA-seq at 2.5 h EtOH, replicate A	Institute of Biomedicine, University of Eastern Finland	9606	SRS947371	GSM1697096	THP-1	monocytic cell line	Ethanol	2.5 h	EtOH_2.5hr
SAMN03737817	SRR2042581	2016-01-04T11:42:07Z	2015-05-27T16:28:12Z	37986407	1937306757	0	51	1240		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042581/SRR2042581.1	SRX1040858		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947372	simple	9606	Homo sapiens	GSM1697097							no					GEO	SRA270091		public	6F636A4E37A850556FF50813360C55F9	51FA591865A8E26520ADCCBE4C0C3CA0	3737817	RNA-seq at 2.5 h 1,25(OH)2D3, replicate A	Institute of Biomedicine, University of Eastern Finland	9606	SRS947372	GSM1697097	THP-1	monocytic cell line	100 nM 1,25(OH)2D3	2.5 h	vitaminD_2.5hr
SAMN03737819	SRR2042582	2016-01-04T11:42:07Z	2015-05-27T16:28:39Z	40326273	2056639923	0	51	1316		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042582/SRR2042582.1	SRX1040859		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947370	simple	9606	Homo sapiens	GSM1697098							no					GEO	SRA270091		public	0C56ED5D0CFE7A9E6A184B4D8EF22B69	F6F05CA81711F31F0EDE1E4DD6369ADD	3737819	RNA-seq at 4 h EtOH, replicate A	Institute of Biomedicine, University of Eastern Finland	9606	SRS947370	GSM1697098	THP-1	monocytic cell line	Ethanol	4 h	EtOH_4hr
SAMN03737820	SRR2042583	2016-01-04T11:42:07Z	2015-05-27T16:29:01Z	39694459	2024417409	0	51	1306		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042583/SRR2042583.1	SRX1040860		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947369	simple	9606	Homo sapiens	GSM1697099							no					GEO	SRA270091		public	5BD28503ABBD1FEA5118B8DACCCCC64B	4C48AA9CD625E862AA20678F4F13A79C	3737820	RNA-seq at 4 h 1,25(OH)2D3, replicate A	Institute of Biomedicine, University of Eastern Finland	9606	SRS947369	GSM1697099	THP-1	monocytic cell line	100 nM 1,25(OH)2D3	4 h	vitaminD_4hr
SAMN03737821	SRR2042584	2016-01-04T11:42:07Z	2015-05-27T16:26:57Z	26407049	1346759499	0	51	881		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042584/SRR2042584.1	SRX1040861		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947367	simple	9606	Homo sapiens	GSM1697100							no					GEO	SRA270091		public	F89C4004B7F15E7AC12AE4A5CF390C62	769FAC2FC93EAE4AA8D587D25E1BD036	3737821	RNA-seq at 24 h EtOH, replicate A	Institute of Biomedicine, University of Eastern Finland	9606	SRS947367	GSM1697100	THP-1	monocytic cell line	Ethanol	24 h	EtOH_24hr
SAMN03737804	SRR2042585	2016-01-04T11:42:07Z	2015-05-27T16:24:42Z	21613073	1102266723	0	51	718		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042585/SRR2042585.1	SRX1040862		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947368	simple	9606	Homo sapiens	GSM1697101							no					GEO	SRA270091		public	26617FE2096B855A3E46E006C9BE82EB	EACB3FA5FD6D4335229D91676DB13983	3737804	RNA-seq at 24 h 1,25(OH)2D3, replicate A	Institute of Biomedicine, University of Eastern Finland	9606	SRS947368	GSM1697101	THP-1	monocytic cell line	100 nM 1,25(OH)2D3	24 h	vitaminD_24hr
SAMN03737805	SRR2042586	2016-01-04T11:42:07Z	2015-05-27T16:28:24Z	37642055	1919744805	0	51	1228		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042586/SRR2042586.1	SRX1040863		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947366	simple	9606	Homo sapiens	GSM1697102							no					GEO	SRA270091		public	E5AF58C5804C3D567366022438575F7F	2896DDB79738E9FAA4113AC9BDCA0868	3737805	RNA-seq at 2.5 h EtOH, replicate B	Institute of Biomedicine, University of Eastern Finland	9606	SRS947366	GSM1697102	THP-1	monocytic cell line	Ethanol	2.5 h	EtOH_2.5hr
SAMN03737806	SRR2042587	2016-01-04T11:42:07Z	2015-05-27T16:27:10Z	27373823	1396064973	0	51	892		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042587/SRR2042587.1	SRX1040864		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947365	simple	9606	Homo sapiens	GSM1697103							no					GEO	SRA270091		public	5DCDEF13B99CFC8E54D9051144E7A5C5	421FAD48BB66EB3BE37573FBE3309ED5	3737806	RNA-seq at 2.5 h 1,25(OH)2D3, replicate B	Institute of Biomedicine, University of Eastern Finland	9606	SRS947365	GSM1697103	THP-1	monocytic cell line	100 nM 1,25(OH)2D3	2.5 h	vitaminD_2.5hr
SAMN03737807	SRR2042588	2016-01-04T11:42:07Z	2015-05-27T16:27:26Z	29828746	1521266046	0	51	978		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042588/SRR2042588.1	SRX1040865		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947361	simple	9606	Homo sapiens	GSM1697104							no					GEO	SRA270091		public	C43A320217E31A755C76C3D695D9A3FE	3CB8B1ABBD0CBE8905639147B8985BD2	3737807	RNA-seq at 4 h EtOH, replicate B	Institute of Biomedicine, University of Eastern Finland	9606	SRS947361	GSM1697104	THP-1	monocytic cell line	Ethanol	4 h	EtOH_4hr
SAMN03737808	SRR2042589	2016-01-04T11:42:07Z	2015-05-27T16:28:00Z	34153313	1741818963	0	51	1116		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2042589/SRR2042589.1	SRX1040866		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP058771	PRJNA285092	2	285092	SRS947362	simple	9606	Homo sapiens	GSM1697105							no					GEO	SRA270091		public	9DD0BD92FBDF6B71D4255B2BCD8A60D5	D84D38D9EB0C95DCFEFCDED3AD50801C	3737808	RNA-seq at 4 h 1,25(OH)2D3, replicate B	Institute of Biomedicine, University of Eastern Finland	9606	SRS947362	GSM1697105	THP-1	monocytic cell line	100 nM 1,25(OH)2D3	4 h	vitaminD_4hr
