BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	clone	source_name	treatment	group
SAMN03744006	SRR2045023	2016-01-07T15:57:17Z	2015-05-30T02:27:12Z	9488202	948820200	9488202	100	604		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045023/SRR2045023.1	SRX1043772		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949257	simple	9606	Homo sapiens	GSM1700496							no					GEO	SRA270447		public	DFAB944975AAC83BEF1B7EA183786900	931F7BE945CDAF88060517C1A05B5455	3744006	A375_Parental_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949257	GSM1700496	A375	A375 parental	SL44051	None	A375_parental.None
SAMN03744006	SRR2045024	2016-01-07T15:57:17Z	2015-05-30T02:25:29Z	9289146	928914600	9289146	100	586		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045024/SRR2045024.1	SRX1043772		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949257	simple	9606	Homo sapiens	GSM1700496							no					GEO	SRA270447		public	CAF2EAEB978B75C214D1B4CC648843D1	4F430362F32861EB264D2E31E682E044	3744006	A375_Parental_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949257	GSM1700496	A375	A375 parental	SL44051	None	A375_parental.None
SAMN03744006	SRR2045025	2016-01-07T15:57:17Z	2015-05-30T02:25:20Z	9228052	922805200	9228052	100	581		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045025/SRR2045025.1	SRX1043772		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949257	simple	9606	Homo sapiens	GSM1700496							no					GEO	SRA270447		public	9892DA48E052F57640F528D53C4C517B	6AD02BDA9AEBD80E98B40661713A742C	3744006	A375_Parental_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949257	GSM1700496	A375	A375 parental	SL44051	None	A375_parental.None
SAMN03744006	SRR2045026	2016-01-07T15:57:17Z	2015-05-30T02:25:29Z	9300868	930086800	9300868	100	586		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045026/SRR2045026.1	SRX1043772		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949257	simple	9606	Homo sapiens	GSM1700496							no					GEO	SRA270447		public	1C7A94775FE5592819BBBFC0447B54A0	F941A90A528FC6D63F00EF6B8FB02C87	3744006	A375_Parental_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949257	GSM1700496	A375	A375 parental	SL44051	None	A375_parental.None
SAMN03744007	SRR2045027	2016-01-07T15:57:17Z	2015-05-30T02:25:23Z	9485414	948541400	9485414	100	601		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045027/SRR2045027.1	SRX1043773		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949256	simple	9606	Homo sapiens	GSM1700497							no					GEO	SRA270447		public	B05FA3E96C6A8BBBDE6BBC6B6DEEBAA0	74C20A543CDEC2FF73276110DC62CAEE	3744007	A375_Parental_None_0h_R2	Constellation Pharmaceuticals	9606	SRS949256	GSM1700497	A375	A375 parental	SL44052	None	A375_parental.None
SAMN03744007	SRR2045028	2016-01-07T15:57:17Z	2015-05-30T02:24:04Z	9342705	934270500	9342705	100	586		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045028/SRR2045028.1	SRX1043773		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949256	simple	9606	Homo sapiens	GSM1700497							no					GEO	SRA270447		public	633766A954066FBFF0A732FE8C8DF2C3	4AA69D07D4C0B84CAAA573718EA418DF	3744007	A375_Parental_None_0h_R2	Constellation Pharmaceuticals	9606	SRS949256	GSM1700497	A375	A375 parental	SL44052	None	A375_parental.None
SAMN03744007	SRR2045029	2016-01-07T15:57:17Z	2015-05-30T02:22:18Z	9251115	925111500	9251115	100	579		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045029/SRR2045029.1	SRX1043773		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949256	simple	9606	Homo sapiens	GSM1700497							no					GEO	SRA270447		public	AFBC59314B38D8C690FAA095DFBEBCA8	CDA4FF396F05665A22D42A4DD6F5DA5A	3744007	A375_Parental_None_0h_R2	Constellation Pharmaceuticals	9606	SRS949256	GSM1700497	A375	A375 parental	SL44052	None	A375_parental.None
SAMN03744007	SRR2045030	2016-01-07T15:57:17Z	2015-05-30T02:22:14Z	9335587	933558700	9335587	100	586		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045030/SRR2045030.1	SRX1043773		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949256	simple	9606	Homo sapiens	GSM1700497							no					GEO	SRA270447		public	395155810A4DD013781E8CDA86706B23	18DEB45F9D1F48B6A27F4CAAA779D468	3744007	A375_Parental_None_0h_R2	Constellation Pharmaceuticals	9606	SRS949256	GSM1700497	A375	A375 parental	SL44052	None	A375_parental.None
SAMN03744008	SRR2045031	2016-01-07T15:57:17Z	2015-05-30T02:22:15Z	9318118	931811800	9318118	100	594		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045031/SRR2045031.1	SRX1043774		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949255	simple	9606	Homo sapiens	GSM1700498							no					GEO	SRA270447		public	5E0B4C79AC4995BD27B0CA1F19990616	7F03132E1225748F423A1268B270F65F	3744008	A375_Resistant1_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949255	GSM1700498	A375	A375 parental	SL44053	None	A375_parental.None
SAMN03744008	SRR2045032	2016-01-07T15:57:17Z	2015-05-30T02:22:22Z	9138975	913897500	9138975	100	577		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2045032/SRR2045032.1	SRX1043774		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP058856	PRJNA285337	2	285337	SRS949255	simple	9606	Homo sapiens	GSM1700498							no					GEO	SRA270447		public	66D44E1DA83A2EA9D4511FA3059D6A95	35989BEF16A341882E774D1782A5C2CC	3744008	A375_Resistant1_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949255	GSM1700498	A375	A375 parental	SL44053	None	A375_parental.None
