accession	uid	title	organization	taxonomy	sra	geo	cell line	clone	source_name	treatment
SAMN03744004	3744004	A375_Resistant4_CPI203_6h_R2	Constellation Pharmaceuticals	9606	SRS949240	GSM1700513	A375	A375 resistant clone 4	SL44078	CPI203
SAMN03744005	3744005	A375_Resistant4_CPI203_6h_R1	Constellation Pharmaceuticals	9606	SRS949241	GSM1700512	A375	A375 resistant clone 4	SL44077	CPI203
SAMN03744006	3744006	A375_Parental_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949257	GSM1700496	A375	A375 parental	SL44051	None
SAMN03744007	3744007	A375_Parental_None_0h_R2	Constellation Pharmaceuticals	9606	SRS949256	GSM1700497	A375	A375 parental	SL44052	None
SAMN03744008	3744008	A375_Resistant1_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949255	GSM1700498	A375	A375 parental	SL44053	None
SAMN03744009	3744009	A375_Resistant1_None_0h_R2	Constellation Pharmaceuticals	9606	SRS949254	GSM1700499	A375	A375 parental	SL44054	None
SAMN03744010	3744010	A375_Resistant4_None_0h_R1	Constellation Pharmaceuticals	9606	SRS949253	GSM1700500	A375	A375 parental	SL44055	None
SAMN03744017	3744017	A375_Resistant4_None_0h_R2	Constellation Pharmaceuticals	9606	SRS949252	GSM1700501	A375	A375 parental	SL44056	None
SAMN03744018	3744018	A375_Parental_DMSO_6h_R1	Constellation Pharmaceuticals	9606	SRS949251	GSM1700502	A375	A375 parental	SL44057	DMSO
SAMN03744019	3744019	A375_Parental_DMSO_6h_R2	Constellation Pharmaceuticals	9606	SRS949250	GSM1700503	A375	A375 parental	SL44058	DMSO
SAMN03744020	3744020	A375_Parental_CPI203_6h_R1	Constellation Pharmaceuticals	9606	SRS949249	GSM1700504	A375	A375 parental	SL44061	CPI203
SAMN03744021	3744021	A375_Parental_CPI203_6h_R2	Constellation Pharmaceuticals	9606	SRS949248	GSM1700505	A375	A375 parental	SL44062	CPI203
SAMN03744022	3744022	A375_Resistant1_DMSO_6h_R1	Constellation Pharmaceuticals	9606	SRS949247	GSM1700506	A375	A375 resistant clone 1	SL44065	DMSO
SAMN03744023	3744023	A375_Resistant1_DMSO_6h_R2	Constellation Pharmaceuticals	9606	SRS949246	GSM1700507	A375	A375 resistant clone 1	SL44066	DMSO
SAMN03744024	3744024	A375_Resistant1_CPI203_6h_R1	Constellation Pharmaceuticals	9606	SRS949245	GSM1700508	A375	A375 resistant clone 1	SL44069	CPI203
SAMN03744025	3744025	A375_Resistant1_CPI203_6h_R2	Constellation Pharmaceuticals	9606	SRS949244	GSM1700509	A375	A375 resistant clone 1	SL44070	CPI203
SAMN03744026	3744026	A375_Resistant4_DMSO_6h_R1	Constellation Pharmaceuticals	9606	SRS949243	GSM1700510	A375	A375 resistant clone 4	SL44073	DMSO
SAMN03744027	3744027	A375_Resistant4_DMSO_6h_R2	Constellation Pharmaceuticals	9606	SRS949242	GSM1700511	A375	A375 resistant clone 4	SL44074	DMSO
SAMN03744028	3744028	NOMO1_DMSO_1	Constellation Pharmaceuticals	9606	SRS949239	GSM1700514	NOMO1	NOMO1 parental	SL98445	DMSO
SAMN03744029	3744029	NOMO1_CPI203_1	Constellation Pharmaceuticals	9606	SRS949238	GSM1700515	NOMO1	NOMO1 parental	SL98446	CPI203
SAMN03744030	3744030	NOMO1R_DMSO_1	Constellation Pharmaceuticals	9606	SRS949237	GSM1700516	NOMO1	NOMO1 resistant clone	SL98447	DMSO
SAMN03744031	3744031	NOMO1R_CPI203_1	Constellation Pharmaceuticals	9606	SRS949236	GSM1700517	NOMO1	NOMO1 resistant clone	SL98448	CPI203
SAMN03744032	3744032	NOMO1_DMSO_2	Constellation Pharmaceuticals	9606	SRS949235	GSM1700518	NOMO1	NOMO1 parental	SL98449	DMSO
SAMN03744033	3744033	NOMO1_CPI203_2	Constellation Pharmaceuticals	9606	SRS949234	GSM1700519	NOMO1	NOMO1 parental	SL98450	CPI203
SAMN03744034	3744034	NOMO1R_DMSO_2	Constellation Pharmaceuticals	9606	SRS949233	GSM1700520	NOMO1	NOMO1 resistant clone	SL98451	DMSO
SAMN03744035	3744035	NOMO1R_CPI203_2	Constellation Pharmaceuticals	9606	SRS949232	GSM1700521	NOMO1	NOMO1 resistant clone	SL98452	CPI203
