accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	gender	grade	source_name	treatment
SAMN04160973	4160973	GSK343_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112800	GSM1906862	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	GSK343
SAMN04160974	4160974	DAC+GSK343_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112799	GSM1906863	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+GSK343
SAMN04160975	4160975	Depsi_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112798	GSM1906864	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	Depsi
SAMN04160976	4160976	DAC+Depsi_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112797	GSM1906865	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+Depsi
SAMN04160977	4160977	S2101_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112804	GSM1906858	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	S2101
SAMN04160978	4160978	DAC+S2101_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112803	GSM1906859	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+S2101
SAMN04160979	4160979	UNC0638_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112802	GSM1906860	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	UNC0638
SAMN04160980	4160980	DAC+UNC0638_3 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112801	GSM1906861	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+UNC0638
SAMN04160981	4160981	Cntrl (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112790	GSM1906836	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	Cntrl
SAMN04160982	4160982	DAC (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112789	GSM1906837	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC
SAMN04160983	4160983	S2101 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112788	GSM1906838	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	S2101
SAMN04160984	4160984	DAC+S2101 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112787	GSM1906839	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+S2101
SAMN04160985	4160985	UNC0638 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112786	GSM1906840	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	UNC0638
SAMN04160986	4160986	DAC+UNC0638 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112785	GSM1906841	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+UNC0638
SAMN04160987	4160987	GSK343 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112784	GSM1906842	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	GSK343
SAMN04160988	4160988	DAC+GSK343 (YB5)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1112782	GSM1906843	colon cancer cell line YB5	colorectal adenocarcinoma	female	IV	YB5 colon cancer cell line	DAC+GSK343
