BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	er status	gender	source_name	tissue	treatment	group
SAMN04166681	SRR2653980	2017-01-03T09:55:17Z	2015-10-14T23:05:37Z	9187739	455409093	0	49	237		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653980/SRR2653980.1	SRX1336992		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114781	simple	9606	Homo sapiens	GSM1908538							no					GEO	SRA304889		public	E3E3018FDA17AC4BB80A3FDCD2A8B9BE	B09820235A01F008FA2322CC6713A9BA	4166681	Cntrl (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114781	GSM1908538	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	Cntrl	dmso
SAMN04166681	SRR2653981	2017-01-03T09:55:17Z	2015-10-14T23:05:22Z	9425047	467170241	0	49	244		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653981/SRR2653981.1	SRX1336992		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114781	simple	9606	Homo sapiens	GSM1908538							no					GEO	SRA304889		public	10E5D72DA8635B974F202A195F16C276	486312834B2B5FE3F8F597625D22B5D6	4166681	Cntrl (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114781	GSM1908538	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	Cntrl	dmso
SAMN04166682	SRR2653982	2017-01-03T09:55:17Z	2015-10-14T23:08:46Z	19572716	970032029	0	49	505		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653982/SRR2653982.1	SRX1336993		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114780	simple	9606	Homo sapiens	GSM1908539							no					GEO	SRA304889		public	202E0A8DA859EB8E4C504EE2BF4D2392	4124B9A5D3EF681E2EF94878964329B4	4166682	DAC (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114780	GSM1908539	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC	dac
SAMN04166682	SRR2653983	2017-01-03T09:55:17Z	2015-10-14T23:07:50Z	20085369	995438430	0	49	520		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653983/SRR2653983.1	SRX1336993		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114780	simple	9606	Homo sapiens	GSM1908539							no					GEO	SRA304889		public	8B2610728AF50245319B98B1A09E1BF3	A383EEE9361240850D2963C702E699C9	4166682	DAC (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114780	GSM1908539	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC	dac
SAMN04166683	SRR2653984	2017-01-03T09:55:17Z	2015-10-14T23:15:39Z	20836144	1032752685	0	49	537		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653984/SRR2653984.1	SRX1336994		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114779	simple	9606	Homo sapiens	GSM1908540							no					GEO	SRA304889		public	4DDD90C49FD276412B5171606077CC99	B01EB8B454CC1431999D304946219719	4166683	S2101 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114779	GSM1908540	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	S2101	s2101
SAMN04166683	SRR2653985	2017-01-03T09:55:17Z	2015-10-14T23:15:27Z	21355757	1058507620	0	49	552		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653985/SRR2653985.1	SRX1336994		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114779	simple	9606	Homo sapiens	GSM1908540							no					GEO	SRA304889		public	F6A63C0C1E41E137B672704AF4F40A86	5095EE0EBBB7E29DF1B55EC1898FF9CC	4166683	S2101 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114779	GSM1908540	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	S2101	s2101
SAMN04166684	SRR2653986	2017-01-03T09:55:17Z	2015-10-14T23:09:29Z	27727698	1374271732	0	49	722		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653986/SRR2653986.1	SRX1336995		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114778	simple	9606	Homo sapiens	GSM1908541							no					GEO	SRA304889		public	68EE395416EC81F3F18B690E88B5FEE0	0634E84BBA79B029CC2ECC3EC63CC302	4166684	DAC+S2101 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114778	GSM1908541	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+S2101	dac_s2101
SAMN04166684	SRR2653987	2017-01-03T09:55:17Z	2015-10-14T23:11:03Z	28461459	1410629883	0	49	743		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653987/SRR2653987.1	SRX1336995		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114778	simple	9606	Homo sapiens	GSM1908541							no					GEO	SRA304889		public	0964E57EBA88074FF82CDC57AB4990A2	543DF3C1AF5F20293606A2ED856BD30C	4166684	DAC+S2101 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114778	GSM1908541	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+S2101	dac_s2101
SAMN04166685	SRR2653988	2017-01-03T09:55:17Z	2015-10-14T23:08:18Z	18275436	905857901	0	49	475		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653988/SRR2653988.1	SRX1336996		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114777	simple	9606	Homo sapiens	GSM1908542							no					GEO	SRA304889		public	F3FBE3EC8ADD58B5CFE6E032D28F0CE4	FCEA50F4669F93697BA7B402CFCCFFD7	4166685	UNC0638 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114777	GSM1908542	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	UNC0638	unc0638
SAMN04166685	SRR2653989	2017-01-03T09:55:17Z	2015-10-14T23:08:28Z	18763673	930060818	0	49	489		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653989/SRR2653989.1	SRX1336996		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114777	simple	9606	Homo sapiens	GSM1908542							no					GEO	SRA304889		public	391500A83AD93175AF9DD7C46E588C1D	0A13BB2F8A16F31225D22B051947F605	4166685	UNC0638 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114777	GSM1908542	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	UNC0638	unc0638
