accession	uid	title	organization	taxonomy	sra	geo	cell line	er status	gender	source_name	tissue	treatment
SAMN04166659	4166659	DAC_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114790	GSM1908559	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC
SAMN04166660	4166660	S2101_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114789	GSM1908560	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	S2101
SAMN04166661	4166661	DAC+S2101_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114788	GSM1908561	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+S2101
SAMN04166662	4166662	UNC0638_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114787	GSM1908562	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	UNC0638
SAMN04166663	4166663	DAC+UNC0638_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114786	GSM1908563	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+UNC0638
SAMN04166664	4166664	GSK343_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114785	GSM1908564	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	GSK343
SAMN04166665	4166665	DAC+GSK343_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114784	GSM1908565	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+GSK343
SAMN04166666	4166666	Depsi_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114783	GSM1908566	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	Depsi
SAMN04166667	4166667	DAC+Depsi_3 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114782	GSM1908567	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+Depsi
SAMN04166668	4166668	DAC+S2101_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114768	GSM1908551	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+S2101
SAMN04166669	4166669	UNC0638_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114767	GSM1908552	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	UNC0638
SAMN04166670	4166670	DAC+UNC0638_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114766	GSM1908553	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+UNC0638
SAMN04166671	4166671	GSK343_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114765	GSM1908554	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	GSK343
SAMN04166672	4166672	DAC+GSK343_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114764	GSM1908555	breast cancer cell line MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+GSK343
