BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	duration of treatment	genotype/variation	source_name	treated with	group
SAMN04267217	SRR2921243	2016-04-11T16:55:20Z	2015-11-17T15:51:12Z	45661650	4566165000	45661650	100	2691		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921243/SRR2921243.1	SRX1431703		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162717	simple	9606	Homo sapiens	GSM1940164							no					GEO	SRA311494		public	B9282431213A761EBCD12105898333C8	81FDD7326828526DC840A1CA8CA3B1C6	4267217	K562 DMSO Vehicle Control RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162717	GSM1940164	K562	myelogenous leukemia cell line	72 hours		K562 DMSO Vehicle Control RNA-seq	0.01% DMSO vehicle	K562.DMSO_Vehicle_Control
SAMN04267218	SRR2921244	2016-04-11T16:55:20Z	2015-11-17T15:34:30Z	52634432	5263443200	52634432	100	3098		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921244/SRR2921244.1	SRX1431704		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162716	simple	9606	Homo sapiens	GSM1940165							no					GEO	SRA311494		public	4D40135AC26731BB97C94BF0652C975D	BBD73D1194448EBC440C92DC81BA4C2F	4267218	K562 DMSO Vehicle Control RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162716	GSM1940165	K562	myelogenous leukemia cell line	72 hours		K562 DMSO Vehicle Control RNA-seq	0.01% DMSO vehicle	K562.DMSO_Vehicle_Control
SAMN04267219	SRR2921245	2016-04-11T16:55:20Z	2015-11-17T15:33:41Z	60917145	6091714500	60917145	100	3597		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921245/SRR2921245.1	SRX1431705		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162715	simple	9606	Homo sapiens	GSM1940166							no					GEO	SRA311494		public	A27D259480689D8F511BD188472483D9	E9370D06728F8F9AC92BACCD529D334D	4267219	K562 SAHA 72hr RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162715	GSM1940166	K562	myelogenous leukemia cell line	72 hours		K562 SAHA 72hr RNA-seq	1 μM SAHA	K562.SAHA
SAMN04267220	SRR2921246	2016-04-11T16:55:20Z	2015-11-17T15:38:18Z	59137747	5913774700	59137747	100	3476		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921246/SRR2921246.1	SRX1431706		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162714	simple	9606	Homo sapiens	GSM1940167							no					GEO	SRA311494		public	BDFA6D22295F8EE92B978AF492777D84	D903F8E7ED228ACB13F15EB24DD41C68	4267220	K562 SAHA 72hr RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162714	GSM1940167	K562	myelogenous leukemia cell line	72 hours		K562 SAHA 72hr RNA-seq	1 μM SAHA	K562.SAHA
SAMN04267221	SRR2921247	2016-04-11T16:55:20Z	2015-11-17T15:29:24Z	44649718	4464971800	44649718	100	2576		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921247/SRR2921247.1	SRX1431707		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162713	simple	9606	Homo sapiens	GSM1940168							no					GEO	SRA311494		public	0E55FE6084F43C3D94FEDB70BB2189F2	7677CF652378253A0BF50DD3E305D3F8	4267221	K562 PBS Vehicle Control RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162713	GSM1940168	K562	myelogenous leukemia cell line	72 hours		K562 PBS Vehicle Control RNA-seq	0.5% 1xPBS vehicle	K562.PBS_Vehicle_Control
SAMN04267222	SRR2921248	2016-04-11T16:55:20Z	2015-11-17T15:36:56Z	48365057	4836505700	48365057	100	2777		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921248/SRR2921248.1	SRX1431708		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162712	simple	9606	Homo sapiens	GSM1940169							no					GEO	SRA311494		public	9D4D8BB65EC72F74AEE0813CE4851FC6	4D55B8F412D0645287214B6939207B6B	4267222	K562 PBS Vehicle Control RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162712	GSM1940169	K562	myelogenous leukemia cell line	72 hours		K562 PBS Vehicle Control RNA-seq	0.5% 1xPBS vehicle	K562.PBS_Vehicle_Control
SAMN04267223	SRR2921249	2016-04-11T16:55:20Z	2015-11-17T15:42:35Z	53430692	5343069200	53430692	100	3146		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921249/SRR2921249.1	SRX1431709		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162711	simple	9606	Homo sapiens	GSM1940170							no					GEO	SRA311494		public	605E8BC1845C53EF2433916EA8719A03	498983711519EA539C1109047FECE7BE	4267223	K562 PBS Vehicle Control RNA-seq Rep 3	Gregory Crawford, Duke University	9606	SRS1162711	GSM1940170	K562	myelogenous leukemia cell line	72 hours		K562 PBS Vehicle Control RNA-seq	0.5% 1xPBS vehicle	K562.PBS_Vehicle_Control
SAMN04267224	SRR2921250	2016-04-11T16:55:20Z	2015-11-17T15:30:05Z	42734753	4273475300	42734753	100	2481		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921250/SRR2921250.1	SRX1431710		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162710	simple	9606	Homo sapiens	GSM1940171							no					GEO	SRA311494		public	EC4EEC7510C3FE09B9095645C9C7D967	A385D9287B7740986667F94274B5A1C4	4267224	K562 NaBut 72hr RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162710	GSM1940171	K562	myelogenous leukemia cell line	72 hours		K562 NaBut 72hr RNA-seq	0.5 mM NaBut	K562.NaBut
SAMN04267225	SRR2921251	2016-04-11T16:55:20Z	2015-11-17T15:34:18Z	41498981	4149898100	41498981	100	2403		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921251/SRR2921251.1	SRX1431711		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162709	simple	9606	Homo sapiens	GSM1940172							no					GEO	SRA311494		public	B0A844C7B808EAE645B38355CA08521B	0F5AE986DC8186D272CF478B6D1B777B	4267225	K562 NaBut 72hr RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162709	GSM1940172	K562	myelogenous leukemia cell line	72 hours		K562 NaBut 72hr RNA-seq	0.5 mM NaBut	K562.NaBut
SAMN04267226	SRR2921252	2016-04-11T16:55:20Z	2015-11-17T15:35:00Z	53847449	5384744900	53847449	100	3170		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR2921252/SRR2921252.1	SRX1431712		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066171	PRJNA302159	2	302159	SRS1162708	simple	9606	Homo sapiens	GSM1940173							no					GEO	SRA311494		public	B035F741E13D1685F54E17FEA1B135C1	D7E7024425688B4D087FC5489E17460F	4267226	K562 NaBut 72hr RNA-seq Rep 3	Gregory Crawford, Duke University	9606	SRS1162708	GSM1940173	K562	myelogenous leukemia cell line	72 hours		K562 NaBut 72hr RNA-seq	0.5 mM NaBut	K562.NaBut
