accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	duration of treatment	genotype/variation	source_name	treated with
SAMN04267217	4267217	K562 DMSO Vehicle Control RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162717	GSM1940164	K562	myelogenous leukemia cell line	72 hours		K562 DMSO Vehicle Control RNA-seq	0.01% DMSO vehicle
SAMN04267218	4267218	K562 DMSO Vehicle Control RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162716	GSM1940165	K562	myelogenous leukemia cell line	72 hours		K562 DMSO Vehicle Control RNA-seq	0.01% DMSO vehicle
SAMN04267219	4267219	K562 SAHA 72hr RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162715	GSM1940166	K562	myelogenous leukemia cell line	72 hours		K562 SAHA 72hr RNA-seq	1 μM SAHA
SAMN04267220	4267220	K562 SAHA 72hr RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162714	GSM1940167	K562	myelogenous leukemia cell line	72 hours		K562 SAHA 72hr RNA-seq	1 μM SAHA
SAMN04267221	4267221	K562 PBS Vehicle Control RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162713	GSM1940168	K562	myelogenous leukemia cell line	72 hours		K562 PBS Vehicle Control RNA-seq	0.5% 1xPBS vehicle
SAMN04267222	4267222	K562 PBS Vehicle Control RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162712	GSM1940169	K562	myelogenous leukemia cell line	72 hours		K562 PBS Vehicle Control RNA-seq	0.5% 1xPBS vehicle
SAMN04267223	4267223	K562 PBS Vehicle Control RNA-seq Rep 3	Gregory Crawford, Duke University	9606	SRS1162711	GSM1940170	K562	myelogenous leukemia cell line	72 hours		K562 PBS Vehicle Control RNA-seq	0.5% 1xPBS vehicle
SAMN04267224	4267224	K562 NaBut 72hr RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162710	GSM1940171	K562	myelogenous leukemia cell line	72 hours		K562 NaBut 72hr RNA-seq	0.5 mM NaBut
SAMN04267225	4267225	K562 NaBut 72hr RNA-seq Rep 2	Gregory Crawford, Duke University	9606	SRS1162709	GSM1940172	K562	myelogenous leukemia cell line	72 hours		K562 NaBut 72hr RNA-seq	0.5 mM NaBut
SAMN04267226	4267226	K562 NaBut 72hr RNA-seq Rep 3	Gregory Crawford, Duke University	9606	SRS1162708	GSM1940173	K562	myelogenous leukemia cell line	72 hours		K562 NaBut 72hr RNA-seq	0.5 mM NaBut
SAMN04267227	4267227	K562 PU.1 Overexpression RNA-seq Rep 1	Gregory Crawford, Duke University	9606	SRS1162707	GSM1940174	K562	myelogenous leukemia cell line	n/a	PU.1 overexpression	K562 PU.1 Overexpression RNA-seq	none (untreated)
