BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex.x	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	Sex.y	cell line	cell type	source_name	tissue	group
SAMN04503369	SRR3179520	2017-02-08T16:25:37Z	2016-02-19T13:03:10Z	34319015	1715950750	0	50	1111		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179520/SRR3179520.1	SRX1593783		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301760	simple	9606	Homo sapiens	GSM2067372							no					GEO	SRA355817		public	9913425E119AEC088C7566516C2C3531	2EF2200DACCC1776EBB0ED5A5AA207B0	4503369	Cntrl-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301760	GSM2067372	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dmso
SAMN04503369	SRR3179521	2017-02-08T16:25:37Z	2016-02-19T13:05:07Z	34549983	1727499150	0	50	1127		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179521/SRR3179521.1	SRX1593783		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301760	simple	9606	Homo sapiens	GSM2067372							no					GEO	SRA355817		public	FAF5559F8213250020940ABF511A683B	4736CEFC216F43C81CB0693F920AF029	4503369	Cntrl-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301760	GSM2067372	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dmso
SAMN04503370	SRR3179522	2017-02-08T16:25:37Z	2016-02-19T13:10:08Z	31624501	1581225050	0	50	1027		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179522/SRR3179522.1	SRX1593784		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301759	simple	9606	Homo sapiens	GSM2067373							no					GEO	SRA355817		public	7A19E0AF8D6BB262725EF79CB9842863	04C5A76EFD288E901413B28C587A0EAB	4503370	DAC-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301759	GSM2067373	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac
SAMN04503370	SRR3179523	2017-02-08T16:25:37Z	2016-02-19T13:11:50Z	31835671	1591783550	0	50	1042		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179523/SRR3179523.1	SRX1593784		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301759	simple	9606	Homo sapiens	GSM2067373							no					GEO	SRA355817		public	D9217068FC9FFABC44DAB52603F5E45C	0ACFCCF999732879EF3D9209049DCAFA	4503370	DAC-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301759	GSM2067373	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac
SAMN04503371	SRR3179524	2017-02-08T16:25:37Z	2016-02-19T13:12:08Z	32942199	1647109950	0	50	1070		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179524/SRR3179524.1	SRX1593785		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301758	simple	9606	Homo sapiens	GSM2067374							no					GEO	SRA355817		public	A2E4076E5410B7559279F37B8B550712	9815F62A57D2518FE6C8C49E13638403	4503371	S2101-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301758	GSM2067374	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	s2101
SAMN04503371	SRR3179525	2017-02-08T16:25:37Z	2016-02-19T13:11:50Z	33130093	1656504650	0	50	1085		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179525/SRR3179525.1	SRX1593785		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301758	simple	9606	Homo sapiens	GSM2067374							no					GEO	SRA355817		public	440058DE5C714BEF0F2A69E05DF93A93	A5713E6F2434BCA1129F6D704080925F	4503371	S2101-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301758	GSM2067374	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	s2101
SAMN04503372	SRR3179526	2017-02-08T16:25:37Z	2016-02-19T13:10:25Z	33172814	1658640700	0	50	1082		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3179526/SRR3179526.1	SRX1593786		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301757	simple	9606	Homo sapiens	GSM2067375							no					GEO	SRA355817		public	217A55B3E83100FB9AECE7F3F9A303D4	B6985F1643F6864256630F3B3DDEDA5A	4503372	DAC_S2101-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301757	GSM2067375	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_s2101
SAMN04503372	SRR3179527	2017-02-08T16:25:37Z	2016-02-19T13:12:26Z	33384575	1669228750	0	50	1097		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179527/SRR3179527.1	SRX1593786		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301757	simple	9606	Homo sapiens	GSM2067375							no					GEO	SRA355817		public	7E3DDA81DE47E93441C56F20C143A98E	BF2EA7B5758E0E68ADB5FFA1D734414E	4503372	DAC_S2101-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301757	GSM2067375	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	dac_s2101
SAMN04503373	SRR3179528	2017-02-08T16:25:37Z	2016-02-19T13:11:23Z	28701421	1435071050	0	50	937		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179528/SRR3179528.1	SRX1593787		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301756	simple	9606	Homo sapiens	GSM2067376							no					GEO	SRA355817		public	0565C07BD5537DB1D8B8D2F22EF0F71B	9F36897CFC846D0CD6E7BAC6D39B2477	4503373	UNC0638-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301756	GSM2067376	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	unc0638
SAMN04503373	SRR3179529	2017-02-08T16:25:37Z	2016-02-19T13:12:22Z	28892427	1444621350	0	50	951		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3179529/SRR3179529.1	SRX1593787		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP070564	PRJNA312611	2	312611	SRS1301756	simple	9606	Homo sapiens	GSM2067376							no					GEO	SRA355817		public	91C491F8BA08A452B46FC1624CE79E5A	ABC282270E1B1E4EDA313A982962B827	4503373	UNC0638-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301756	GSM2067376	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia	unc0638
