accession	uid	title	organization	taxonomy	sra	geo	Sex	cell line	cell type	source_name	tissue
SAMN04503334	4503334	DAC_GSK343-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301755	GSM2067379	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503335	4503335	Depsi-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301752	GSM2067380	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503336	4503336	DAC_Depsi-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301750	GSM2067381	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503337	4503337	Cntrl-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301749	GSM2067382	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503338	4503338	DAC-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301751	GSM2067383	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503339	4503339	S2101-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301748	GSM2067384	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503340	4503340	DAC_S2101-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301746	GSM2067385	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503341	4503341	UNC0638-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301747	GSM2067386	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503342	4503342	DAC_UNC0638-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301745	GSM2067387	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503343	4503343	GSK343-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301743	GSM2067388	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503344	4503344	DAC_GSK343-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301744	GSM2067389	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503345	4503345	Depsi-2	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301742	GSM2067390	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503369	4503369	Cntrl-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301760	GSM2067372	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503370	4503370	DAC-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301759	GSM2067373	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503371	4503371	S2101-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301758	GSM2067374	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
SAMN04503372	4503372	DAC_S2101-1	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1301757	GSM2067375	female	HL60	acute promyelocytic leukemia	HL60 cell line	Peripheral blood leukocytes were obtained by leukopheresis from a 36-year-old Caucasian female with acute promyelocytic leukemia
