BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	disease state	source_name	treatment	group
SAMN04558032	SRR3228429	2017-04-03T09:32:21Z	2016-03-15T16:43:48Z	80498373	20285589996	80498373	252	7335		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228429/SRR3228429.1	SRX1634190		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345491	simple	9606	Homo sapiens	GSM2089687							no					GEO	SRA385521		public	EB96922083A7A9ED069E3BDEA9F17237	37BC73503FB82D0886AA337C372B7F15	4558032	HCT116-p53WT_CTL rep1	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345491	GSM2089687	HCT116-p53_WT	colorectal cancer	HCT116	untreated	HCT116.p53_WT.control
SAMN04558033	SRR3228430	2017-04-03T09:32:21Z	2016-03-15T16:39:01Z	76719670	19333356840	76719670	252	6158		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228430/SRR3228430.1	SRX1634191		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345490	simple	9606	Homo sapiens	GSM2089688							no					GEO	SRA385521		public	0A088EF3ACDA3EABB19CBCDEA586EBBA	4B573D5016EA22E6C4372936A220BB2B	4558033	HCT116-p53WT_CTL rep2	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345490	GSM2089688	HCT116-p53_WT	colorectal cancer	HCT116	untreated	HCT116.p53_WT.control
SAMN04558034	SRR3228431	2017-04-03T09:32:21Z	2016-03-15T17:14:50Z	72148164	18181337328	72148164	252	5808		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228431/SRR3228431.1	SRX1634192		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345489	simple	9606	Homo sapiens	GSM2089689							no					GEO	SRA385521		public	ECB6C6D0D048AA19075747A65AADFF00	0F3CE63FEE1F30EB7840945DA778201F	4558034	HCT116-p53WT_DOXO rep1	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345489	GSM2089689	HCT116-p53_WT	colorectal cancer	HCT116	Doxorubicin at a final concentration of 300 nM for 16 hours	HCT116.p53_WT.doxorubicin.300nM.16h
SAMN04558035	SRR3228432	2017-04-03T09:32:21Z	2016-03-15T16:44:46Z	69630226	17546816952	69630226	252	5592		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228432/SRR3228432.1	SRX1634193		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345488	simple	9606	Homo sapiens	GSM2089690							no					GEO	SRA385521		public	DFCDC50DC07B5A1D6F6DE2653F1D8A11	86D7F054DB9FE800B0315040CC67A5D1	4558035	HCT116-p53WT_DOXO rep2	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345488	GSM2089690	HCT116-p53_WT	colorectal cancer	HCT116	Doxorubicin at a final concentration of 300 nM for 16 hours	HCT116.p53_WT.doxorubicin.300nM.16h
SAMN04558030	SRR3228433	2017-04-03T09:32:21Z	2016-03-15T16:43:44Z	75839872	19111647744	75839872	252	6962		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228433/SRR3228433.1	SRX1634194		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345487	simple	9606	Homo sapiens	GSM2089691							no					GEO	SRA385521		public	EC0805901A53D13D117566BFB4F73D10	E2267C2273E86CB5A603A792B0802E7C	4558030	HCT116-p53KO_CTL	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345487	GSM2089691	HCT116-p53_KO	colorectal cancer	HCT116	untreated	HCT116.p53_KO.control
SAMN04558031	SRR3228434	2017-04-03T09:32:22Z	2016-03-15T16:40:28Z	66259749	16697456748	66259749	252	5465		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228434/SRR3228434.1	SRX1634195		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345486	simple	9606	Homo sapiens	GSM2089692							no					GEO	SRA385521		public	5E83E162AA4146804E121FBD7982D694	F78AE43DE3332FBAC0511C6D43C537CB	4558031	HCT116-p53KO_DOXO	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345486	GSM2089692	HCT116-p53_KO	colorectal cancer	HCT116	Doxorubicin at a final concentration of 300 nM for 16 hours	HCT116.p53_KO.doxorubicin.300nM.16h
SAMN04558036	SRR3228435	2017-04-03T09:32:22Z	2016-03-15T16:43:16Z	71404348	17993895696	71404348	252	6485		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228435/SRR3228435.1	SRX1634196		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345485	simple	9606	Homo sapiens	GSM2089693							no					GEO	SRA385521		public	C3A5AD092E9D3A34191D7AEFDA048EF1	3208EE6AA844765AAF7B1C3A627910E9	4558036	RKO-p53WT_CTL	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345485	GSM2089693	RKO-p53_WT	colorectal cancer	RKO	untreated	RKO.p53_WT.control
SAMN04558037	SRR3228436	2017-04-03T09:32:22Z	2016-03-15T16:44:18Z	75463498	19016801496	75463498	252	6921		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228436/SRR3228436.1	SRX1634197		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345484	simple	9606	Homo sapiens	GSM2089694							no					GEO	SRA385521		public	9E0C88C66064BA9D2EE9F04B057D0F75	C19901D72B7F78E0545250A38C1AC3DA	4558037	RKO-p53WT_DOXO	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345484	GSM2089694	RKO-p53_WT	colorectal cancer	RKO	Doxorubicin at a final concentration of 300 nM for 16 hours	RKO.p53_WT.doxorubicin.300nM.16h
SAMN04558038	SRR3228437	2017-04-03T09:32:22Z	2016-03-15T16:33:25Z	79815374	20113474248	79815374	252	7313		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228437/SRR3228437.1	SRX1634198		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345483	simple	9606	Homo sapiens	GSM2089695							no					GEO	SRA385521		public	E2C6043F0E6E428D50BFEABE7DF71D95	9703A9D0CA34C3A7B9EFD34B490C85E6	4558038	RKO-p53KO_CTL	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345483	GSM2089695	RKO-p53_KO	colorectal cancer	RKO	untreated	RKO.p53_KO.control
SAMN04558039	SRR3228438	2017-04-03T09:32:22Z	2016-03-15T16:55:44Z	76512465	19281141180	76512465	252	7013		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3228438/SRR3228438.1	SRX1634199		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP071811	PRJNA315294	2	315294	SRS1345482	simple	9606	Homo sapiens	GSM2089696							no					GEO	SRA385521		public	21C41333F1FAFD00869909260FAC61CB	B8467123761535DA25EA94A8E5443EF2	4558039	RKO-p53KO_DOXO	Javed Khan, Genetics Branch, NCI, NIH	9606	SRS1345482	GSM2089696	RKO-p53_KO	colorectal cancer	RKO	Doxorubicin at a final concentration of 300 nM for 16 hours	RKO.p53_KO.doxorubicin.300nM.16h
