BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	time	treatment	group
SAMN04605049	SRR3330017	2016-09-26T16:48:44Z	2016-04-04T08:10:06Z	25481786	1921355417	0	75	658		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330017/SRR3330017.1	SRX1677207		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372885	simple	9606	Homo sapiens	GSM2107716							no					GEO	SRA404046		public	330C905F459CBBE20FF43C803688B849	8B0FA303A316BA3E5E84A205DD8BCC1C	4605049	No LNA-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372885	GSM2107716	REH	REH cell line	72h	medium	medium
SAMN04605050	SRR3330018	2016-09-26T16:48:44Z	2016-04-04T08:09:00Z	23846057	1796917399	0	75	617		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330018/SRR3330018.1	SRX1677208		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372884	simple	9606	Homo sapiens	GSM2107717							no					GEO	SRA404046		public	F4EC65043F9C8D7B91F6CB282336A994	0CB762C1B6F7BD399831F8597C3F8AC6	4605050	NTC-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372884	GSM2107717	REH	REH cell line	72h	non-targeting LNA GapmeR	non_targeting_LNA_GapmeR
SAMN04605051	SRR3330019	2016-09-26T16:48:44Z	2016-04-04T08:08:14Z	25288251	1905973617	0	75	653		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330019/SRR3330019.1	SRX1677209		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372883	simple	9606	Homo sapiens	GSM2107718							no					GEO	SRA404046		public	46DCF986075728BE4606F805E9193B9D	3AA0BADAEFA042BDB24B879CF21EB215	4605051	lnc-TIMM21-LNA1-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372883	GSM2107718	REH	REH cell line	72h	lnc-TIMM21-5 LNA GapmeR1	lnc_TIMM21_5_LNA_GapmeR1
SAMN04605052	SRR3330020	2016-09-26T16:48:44Z	2016-04-04T08:10:51Z	27888298	2101404868	0	75	726		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330020/SRR3330020.1	SRX1677210		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372882	simple	9606	Homo sapiens	GSM2107719							no					GEO	SRA404046		public	EAA8BB1CB91330243ABB00E12EC04279	DDA23841DD6861063DDB5BDE6D1979B9	4605052	lnc-TIMM21-LNA2-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372882	GSM2107719	REH	REH cell line	72h	lnc-TIMM21-5 LNA GapmeR2	lnc_TIMM21_5_LNA_GapmeR2
SAMN04605053	SRR3330021	2016-09-26T16:48:44Z	2016-04-04T08:11:02Z	29815561	2246438807	0	75	770		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3330021/SRR3330021.1	SRX1677211		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372881	simple	9606	Homo sapiens	GSM2107720							no					GEO	SRA404046		public	538381FBBB4BFF3891000A660A2BB336	BFB0E7ABB6E3BB538DA7FCBF63C917EE	4605053	lnc-NKX2-LNA1-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372881	GSM2107720	REH	REH cell line	72h	lnc-NKX2-3-1 LNA GapmeR1	lnc_NKX2_3_1_LNA_GapmeR1
SAMN04605054	SRR3330022	2016-09-26T16:48:44Z	2016-04-04T08:11:47Z	29965754	2257564259	0	75	777		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330022/SRR3330022.1	SRX1677212		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372880	simple	9606	Homo sapiens	GSM2107721							no					GEO	SRA404046		public	FBF487E01888A1A75BFB3FFF99B2D880	56931C644FF7914F0D7687B3D375B3A8	4605054	lnc-NKX2-LNA2-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372880	GSM2107721	REH	REH cell line	72h	lnc-NKX2-3-1 LNA GapmeR2	lnc_NKX2_3_1_LNA_GapmeR2
SAMN04605055	SRR3330023	2016-09-26T16:48:44Z	2016-04-04T08:09:06Z	26223472	1975587950	0	75	678		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330023/SRR3330023.1	SRX1677213		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372879	simple	9606	Homo sapiens	GSM2107722							no					GEO	SRA404046		public	1C6E5677C6B9735E3121DA03446AD21C	D138663222CCBB491DF25B679BBF88EA	4605055	lnc-RTN4R-LNA1-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372879	GSM2107722	REH	REH cell line	72h	lnc-RTN4R-1 LNA GapmeR1	lnc_RTN4R_1_LNA_GapmeR1
SAMN04605056	SRR3330024	2016-09-26T16:48:44Z	2016-04-04T08:17:38Z	23652494	1781359827	0	75	616		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330024/SRR3330024.1	SRX1677214		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372878	simple	9606	Homo sapiens	GSM2107723							no					GEO	SRA404046		public	1FC804D77523E651483E445448B15A2D	A88D7982BACBD0659C5B2F549C721F05	4605056	lnc-RTN4R-LNA2-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372878	GSM2107723	REH	REH cell line	72h	lnc-RTN4R-1 LNA GapmeR2	lnc_RTN4R_1_LNA_GapmeR2
SAMN04605057	SRR3330025	2016-09-26T16:48:44Z	2016-04-04T08:16:51Z	23651072	1785846586	0	75	612		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330025/SRR3330025.1	SRX1677215		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372877	simple	9606	Homo sapiens	GSM2107724							no					GEO	SRA404046		public	9A70923E1DD215BCB39E670237077B19	1B2131A18F07BE36F90D5CEF79626A75	4605057	lnc-ASTN1-LNA1-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372877	GSM2107724	REH	REH cell line	72h	lnc-ASTN1-1 LNA GapmeR1	lnc_ASTN1_1_LNA_GapmeR1
SAMN04605058	SRR3330026	2016-09-26T16:48:44Z	2016-04-04T08:07:36Z	23840706	1800506748	0	75	619		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3330026/SRR3330026.1	SRX1677216		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP072825	PRJNA317295		317295	SRS1372876	simple	9606	Homo sapiens	GSM2107725							no					GEO	SRA404046		public	AA072FDCF64DC1E3BC494C0343CBEA63	81638F8487D2C4B4BBA820778657525B	4605058	lnc-ASTN1-LNA2-rep1	Center of medical genetics, Gent university hospital	9606	SRS1372876	GSM2107725	REH	REH cell line	72h	lnc-ASTN1-1 LNA GapmeR2	lnc_ASTN1_1_LNA_GapmeR2
