BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell_line	source_name	treatment	mutation	group
SAMN04632322	SRR3355781	2016-07-11T22:13:52Z	2016-04-11T12:01:20Z	40227888	4022788800	0	100	1894		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3355781/SRR3355781.1	SRX1689698		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384132	simple	9606	Homo sapiens	GSM2113344							no					GEO	SRA409010		public	0BDC8F2F6250C23D2754A76381A82D00	5AADB83B676DBCC4CA32334602757DDC	4632322	Mock Campothecin	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384132	GSM2113344	THP-1	human monocytic cell line	Campothecin	Mock	Mock.Campothecin
SAMN04632322	SRR3355782	2016-07-11T22:13:52Z	2016-04-11T12:03:55Z	42706067	4270606700	0	100	1997		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3355782/SRR3355782.1	SRX1689698		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384132	simple	9606	Homo sapiens	GSM2113344							no					GEO	SRA409010		public	EB8B98E50FB564B92F35254C88B85D59	C150B48E4A9A0FD889B558642E0AF461	4632322	Mock Campothecin	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384132	GSM2113344	THP-1	human monocytic cell line	Campothecin	Mock	Mock.Campothecin
SAMN04632323	SRR3355783	2016-07-11T22:13:52Z	2016-04-11T12:02:43Z	50167414	5016741400	0	100	2349		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3355783/SRR3355783.1	SRX1689699		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384131	simple	9606	Homo sapiens	GSM2113345							no					GEO	SRA409010		public	05B5C401EC24F054D92F9CD4778FDA93	7F9BB21B3FE4D548722DEB1716833FCF	4632323	Mock DMSO	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384131	GSM2113345	THP-1	human monocytic cell line	DMSO	Mock	Mock.DMSO
SAMN04632323	SRR3355784	2016-07-11T22:13:52Z	2016-04-11T12:02:43Z	51544588	5154458800	0	100	2393		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3355784/SRR3355784.1	SRX1689699		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384131	simple	9606	Homo sapiens	GSM2113345							no					GEO	SRA409010		public	E3463BD8E31F867E9C3C13E823C79984	F93DA0DFF7D1167BFF8E3625098BDC36	4632323	Mock DMSO	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384131	GSM2113345	THP-1	human monocytic cell line	DMSO	Mock	Mock.DMSO
SAMN04632324	SRR3355785	2016-07-11T22:13:52Z	2016-04-11T11:59:18Z	41629927	4162992700	0	100	1943		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3355785/SRR3355785.1	SRX1689700		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384130	simple	9606	Homo sapiens	GSM2113346							no					GEO	SRA409010		public	C43E987E75AF77BB609CF888C4230ECD	5A6B1C7DDE13F1A90BD212364325B5F9	4632324	Mutated Ebola Campothecin	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384130	GSM2113346	THP-1	human monocytic cell line	Campothecin	Mut	Mut.Campothecin
SAMN04632324	SRR3355786	2016-07-11T22:13:52Z	2016-04-11T12:12:53Z	49168799	4916879900	0	100	2295		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3355786/SRR3355786.1	SRX1689700		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384130	simple	9606	Homo sapiens	GSM2113346							no					GEO	SRA409010		public	ABA47A9FF91A43DBDC062BA4E9392ECE	D40B7573D59309404E28FFACB2C6F1B4	4632324	Mutated Ebola Campothecin	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384130	GSM2113346	THP-1	human monocytic cell line	Campothecin	Mut	Mut.Campothecin
SAMN04632325	SRR3355787	2016-07-11T22:13:52Z	2016-04-11T12:02:43Z	43107809	4310780900	0	100	2007		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3355787/SRR3355787.1	SRX1689701		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384129	simple	9606	Homo sapiens	GSM2113347							no					GEO	SRA409010		public	D8F801DEB8F34D2B3BCDED82C4D963E8	85EBCD4186484183A90859152BECF7E3	4632325	Mutated Ebola DMSO	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384129	GSM2113347	THP-1	human monocytic cell line	DMSO	Mut	Mut.DMSO
SAMN04632325	SRR3355788	2016-07-11T22:13:52Z	2016-04-11T12:00:07Z	39192722	3919272200	0	100	1829		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3355788/SRR3355788.1	SRX1689701		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384129	simple	9606	Homo sapiens	GSM2113347							no					GEO	SRA409010		public	CE727483771238769C3E376198ADB07B	02C655E64FF60E0998BA56F19A765009	4632325	Mutated Ebola DMSO	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384129	GSM2113347	THP-1	human monocytic cell line	DMSO	Mut	Mut.DMSO
SAMN04632326	SRR3355789	2016-07-11T22:13:52Z	2016-04-11T12:05:59Z	51098319	5109831900	0	100	2399		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3355789/SRR3355789.1	SRX1689702		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384128	simple	9606	Homo sapiens	GSM2113348							no					GEO	SRA409010		public	1A53472E6F8373FD46F4537A03DB739D	B3093A1745DA07F13CD4630C709DC205	4632326	Wild-type Ebola Campothecin	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384128	GSM2113348	THP-1	human monocytic cell line	Campothecin	WT	WT.Campothecin
SAMN04632326	SRR3355790	2016-07-11T22:13:52Z	2016-04-11T12:03:42Z	43619501	4361950100	0	100	2039		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3355790/SRR3355790.1	SRX1689702		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384128	simple	9606	Homo sapiens	GSM2113348							no					GEO	SRA409010		public	50391219643B18235E2E7D99177022B5	9ED4BF592CDA119559590280A2B1DD6F	4632326	Wild-type Ebola Campothecin	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384128	GSM2113348	THP-1	human monocytic cell line	Campothecin	WT	WT.Campothecin
SAMN04632327	SRR3355791	2016-07-11T22:13:52Z	2016-04-11T12:05:35Z	42476179	4247617900	0	100	1998		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3355791/SRR3355791.1	SRX1689703		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384127	simple	9606	Homo sapiens	GSM2113349							no					GEO	SRA409010		public	061F20219C259CD16752A40634E9923E	320640AE2DBB04553C0BF17A4DF51971	4632327	Wild-type Ebola DMSO	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384127	GSM2113349	THP-1	human monocytic cell line	DMSO	WT	WT.DMSO
SAMN04632327	SRR3355792	2016-07-11T22:13:52Z	2016-04-11T12:01:32Z	45326206	4532620600	0	100	2112		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3355792/SRR3355792.1	SRX1689703		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073097	PRJNA318006	2	318006	SRS1384127	simple	9606	Homo sapiens	GSM2113349							no					GEO	SRA409010		public	E6158E1A4695A9464E9156C65C97BD28	2EB97A917213C2A3FC3242DF40CFDE03	4632327	Wild-type Ebola DMSO	Department of Microbiology, Icahn School of Medicine at Mount Sinai	9606	SRS1384127	GSM2113349	THP-1	human monocytic cell line	DMSO	WT	WT.DMSO
