BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	growth protocol	source_name	treatment	group
SAMN05441358	SRR3954084	2017-02-13T15:46:23Z	2016-07-26T14:53:27Z	33726493	1720051143	0	51	672	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954084/SRR3954084.1	SRX1978325		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585891	simple	9606	Homo sapiens	GSM2252624							no					GEO	SRA444664		public	4E9A910718C8024B27CB560AF079B759	2857E2D3ADE23254AD29DF27DA57D9CB	5441358	MDA-MB231_Control	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585891	GSM2252624	MDA-MB231	Breast cancer (Basal type)		Breast cancer MDA-MB231	DMSO	MDA.dmso
SAMN05441357	SRR3954085	2017-02-13T15:46:23Z	2016-07-26T14:54:07Z	32723303	1668888453	0	51	656	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954085/SRR3954085.1	SRX1978326		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585892	simple	9606	Homo sapiens	GSM2252625							no					GEO	SRA444664		public	70FC901CE87EFE0D903DE815B906C275	6C60F26C4C9168CC2EB0CEE5D74FE7D3	5441357	MDA-MB231_Doxorubicin	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585892	GSM2252625	MDA-MB231	Breast cancer (Basal type)		Breast cancer MDA-MB231	1μM Doxorubicin for 8 hours	MDA.doxorubicin_1uM
SAMN05441356	SRR3954086	2017-02-13T15:46:23Z	2016-07-26T14:55:53Z	38433887	1960128237	0	51	763	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR3954086/SRR3954086.1	SRX1978327		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585893	simple	9606	Homo sapiens	GSM2252626							no					GEO	SRA444664		public	AAC768D229DDC9DB67998854CC6DE2D5	F6BEBF62155A42FF3370C2FC87800963	5441356	MDA-MB231_Etoposide	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585893	GSM2252626	MDA-MB231	Breast cancer (Basal type)		Breast cancer MDA-MB231	20μM Etoposide for 8 hours	MDA.etoposide_20uM
SAMN05441355	SRR3954087	2017-02-13T15:46:23Z	2016-07-26T14:55:33Z	36945938	1884242838	0	51	738	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR3954087/SRR3954087.1	SRX1978328		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585894	simple	9606	Homo sapiens	GSM2252627							no					GEO	SRA444664		public	70B355AE5D46B1841FADD22C29476E03	84055B358FA3E74C42C6FC1245D994C1	5441355	MDA-MB231_Paclitaxel	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585894	GSM2252627	MDA-MB231	Breast cancer (Basal type)		Breast cancer MDA-MB231	0.2μM Paclitaxel for 8 hours	MDA.paclitaxel_0.2uM
SAMN05441354	SRR3954088	2017-02-13T15:46:23Z	2016-07-26T14:53:31Z	25002076	1275105876	0	51	505	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954088/SRR3954088.1	SRX1978329		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585896	simple	9606	Homo sapiens	GSM2252628							no					GEO	SRA444664		public	7699CB74A606D5FF17AE256779D5B7FB	E125571456627EE1544F9E5E7E0CB02F	5441354	U2OS_Control	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585896	GSM2252628	U2OS	Osteosarcoma		Osteosarcoma U2OS	DMSO	U2OS.dmso
SAMN05441362	SRR3954089	2017-02-13T15:46:23Z	2016-07-26T14:56:22Z	35977355	1834845105	0	51	728	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954089/SRR3954089.1	SRX1978330		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585897	simple	9606	Homo sapiens	GSM2252629							no					GEO	SRA444664		public	7FF310233F65A575D62D46A44B1E93CE	0458C3347FBCD6B67077D59549218737	5441362	U2OS_Doxorubicin	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585897	GSM2252629	U2OS	Osteosarcoma		Osteosarcoma U2OS	1μM Doxorubicin for 8 hours	U2OS.doxorubicin_1uM
SAMN05441361	SRR3954090	2017-02-13T15:46:23Z	2016-07-26T14:54:56Z	42690898	2177235798	0	51	865	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR3954090/SRR3954090.1	SRX1978331		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585898	simple	9606	Homo sapiens	GSM2252630							no					GEO	SRA444664		public	5D0D82FE2F3279A41A1D4EB2C2B17FFA	510DABBE66C93B6D6480C487FDAD52DF	5441361	U2OS_Etoposide	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585898	GSM2252630	U2OS	Osteosarcoma		Osteosarcoma U2OS	20μM Etoposide for 8 hours	U2OS.etoposide_20uM
SAMN05441360	SRR3954091	2017-02-13T15:46:23Z	2016-07-26T14:54:06Z	32766971	1671115521	0	51	660	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954091/SRR3954091.1	SRX1978332		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585899	simple	9606	Homo sapiens	GSM2252631							no					GEO	SRA444664		public	5A93CAF8A0FA195DE2AC453E0DA3C255	8A03A7B6D1DD8C48149CC28ECF26C1A1	5441360	U2OS_MMS	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585899	GSM2252631	U2OS	Osteosarcoma		Osteosarcoma U2OS	40μg/ml MMS for 8 hours	U2OS.mms_40ug_ml
SAMN05441359	SRR3954092	2017-02-13T15:46:23Z	2016-07-26T14:59:12Z	29877266	1523740566	0	51	607	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3954092/SRR3954092.1	SRX1978333		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1585900	simple	9606	Homo sapiens	GSM2252632							no					GEO	SRA444664		public	BF1A975DEB4A21F4777C51F6599DB706	252F80840199BA3F6F5F514EDA0741C8	5441359	U2OS_Paclitaxel	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1585900	GSM2252632	U2OS	Osteosarcoma		Osteosarcoma U2OS	0.2μM Paclitaxel for 8 hours	U2OS.paclitaxel_0.2uM
SAMN05591765	SRR4044027	2017-02-13T15:46:23Z	2016-08-19T15:42:55Z	21468231	1073411550	0	50	404	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044027/SRR4044027.1	SRX2034932		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079914	PRJNA335388	2	335388	SRS1628885	simple	9606	Homo sapiens	GSM2284967							no					GEO	SRA444664		public	88D424A1E4ACF70BD55F8841A7E5A8FE	8C80FDB1FC637BFBFEB7B0E4DA20BFEE	5591765	MDA-MB231_Ctrl_8hr	Epidemiology and Biostatistics, UT Health Science Center at San Antonio	9606	SRS1628885	GSM2284967	MDA-MB231	Breast cancer (Basal type)	Cells were grown in DMEM supplemented with 10%FBS	Breast cancer MDA-MB231	DMSO	MDA.dmso
