accession	uid	title	organization	taxonomy	sra	geo	cell line name	replicate	source_name	treatment	treatment time	tumor type
SAMN05597386	5597386	OCILY19_AZD5153_24_2	AstraZeneca	9606	SRS1629718	GSM2285379	OCILY19	2	Cancer cell line	AZD5153	24 h	dlbcl
SAMN05597387	5597387	OCILY19_AZD5153_24_1	AstraZeneca	9606	SRS1629716	GSM2285378	OCILY19	1	Cancer cell line	AZD5153	24 h	dlbcl
SAMN05597409	5597409	MV411_DMSO_24_2	AstraZeneca	9606	SRS1629745	GSM2285407	MV411	2	Cancer cell line	DMSO	24 h	aml
SAMN05597411	5597411	MV411_DMSO_24_1	AstraZeneca	9606	SRS1629744	GSM2285406	MV411	1	Cancer cell line	DMSO	24 h	aml
SAMN05597413	5597413	WILL2_DMSO_24_2	AstraZeneca	9606	SRS1629743	GSM2285405	WILL2	2	Cancer cell line	DMSO	24 h	dlbcl
SAMN05597415	5597415	WILL2_DMSO_24_1	AstraZeneca	9606	SRS1629742	GSM2285404	WILL2	1	Cancer cell line	DMSO	24 h	dlbcl
SAMN05597416	5597416	OCILY19_DMSO_24_2	AstraZeneca	9606	SRS1629740	GSM2285403	OCILY19	2	Cancer cell line	DMSO	24 h	dlbcl
SAMN05597418	5597418	OCILY19_DMSO_24_1	AstraZeneca	9606	SRS1629741	GSM2285402	OCILY19	1	Cancer cell line	DMSO	24 h	dlbcl
SAMN05597420	5597420	MOLM13_AZD5153_24_2	AstraZeneca	9606	SRS1629739	GSM2285401	MOLM13	2	Cancer cell line	AZD5153	24 h	aml
SAMN05597422	5597422	MOLM13_AZD5153_24_1	AstraZeneca	9606	SRS1629737	GSM2285400	MOLM13	1	Cancer cell line	AZD5153	24 h	aml
SAMN05597424	5597424	KG1A_AZD5153_24_2	AstraZeneca	9606	SRS1629738	GSM2285399	KG1A	2	Cancer cell line	AZD5153	24 h	aml
SAMN05597426	5597426	KG1A_AZD5153_24_1	AstraZeneca	9606	SRS1629735	GSM2285398	KG1A	1	Cancer cell line	AZD5153	24 h	aml
SAMN05597427	5597427	OCIAML2_AZD5153_24_2	AstraZeneca	9606	SRS1629736	GSM2285397	OCIAML2	2	Cancer cell line	AZD5153	24 h	aml
SAMN05597429	5597429	OCIAML2_AZD5153_24_1	AstraZeneca	9606	SRS1629733	GSM2285396	OCIAML2	1	Cancer cell line	AZD5153	24 h	aml
