BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	culture media	library preparation kit	source_name	time	treatment	xenograft	cell_line	group
SAMN05832102	SRR4299789	2017-01-23T09:30:33Z	2016-12-02T11:48:28Z	43574094	3311639124	0	76	670	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299789/SRR4299789.1	SRX2194339		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716656	simple	9606	Homo sapiens	GSM2330655							no					GEO	SRA480659		public	6EC341760C6B90F675924A2D98D7A4CB	95A1FD9F5BA3D84AEBB0034D974A657F	5832102	SUM159xenograft_mouse3_2mpktrametinib30mpkIBET151_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716656	GSM2330655	SUM159 breast carcinoma cell line xenograft	""	""	SUM159 breast carcinoma cell line: xenograft	48h	2mpk_trametinib_30mpkIBET151	SUM159 breast carcinoma cell line xenograft	SUM159_xenograft	SUM159_xenograft.2mpk_trametinib_30mpkIBET151.48h
SAMN05832103	SRR4299788	2017-01-23T09:30:33Z	2016-12-02T11:49:23Z	43503139	3306246316	0	76	676	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299788/SRR4299788.1	SRX2194338		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716653	simple	9606	Homo sapiens	GSM2330654							no					GEO	SRA480659		public	8981BA5F9852AE474BC85597DEF4479D	93E59942148440E1FC5E8DBE24A0B69E	5832103	SUM159xenograft_mouse2_2mpktrametinib30mpkIBET151_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716653	GSM2330654	SUM159 breast carcinoma cell line xenograft	""	""	SUM159 breast carcinoma cell line: xenograft	48h	2mpk_trametinib_30mpkIBET151	SUM159 breast carcinoma cell line xenograft	SUM159_xenograft	SUM159_xenograft.2mpk_trametinib_30mpkIBET151.48h
SAMN05832104	SRR4299785	2017-01-23T09:30:33Z	2016-12-02T11:50:07Z	46240776	3514305360	0	76	761	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299785/SRR4299785.1	SRX2194335		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716651	simple	9606	Homo sapiens	GSM2330651							no					GEO	SRA480659		public	34C60D95194A64F4384382C7F6C71ECB	D9440D7B531598F5A8EF757500F195C1	5832104	SUM159xenograft_mouse2_2mpktrametinib_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716651	GSM2330651	SUM159 breast carcinoma cell line xenograft	""	""	SUM159 breast carcinoma cell line: xenograft	48h	2mpk_trametinib	SUM159 breast carcinoma cell line xenograft	SUM159_xenograft	SUM159_xenograft.2mpk_trametinib.48h
SAMN05832108	SRR4299756	2017-01-23T09:30:33Z	2016-09-28T09:29:41Z	47566454	2378322700	0	50	1157	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299756/SRR4299756.1	SRX2194306		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP090547	PRJNA344725	2	344725	SRS1716622	simple	9606	Homo sapiens	GSM2330622							no					GEO	SRA480659		public	D6B738FFC3A4E3F3A16D40259E581B4A	C944433DB285917712BFCA22BE5B7983	5832108	SUM229pos_DMSO_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716622	GSM2330622	SUM229 breast carcinoma cell line, EpCAM/CD49f positive subpopulation	""	""	EpCAM/CD49f positive SUM229 breast carcinoma subpopulation	24h	DMSO	""	SUM229_EpCAM_CD49f_pos	SUM229_EpCAM_CD49f_pos.DMSO.24h
SAMN05832118	SRR4299759	2017-01-23T09:30:33Z	2016-09-28T09:24:03Z	49473947	2473697350	0	50	1213	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4299759/SRR4299759.1	SRX2194309		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP090547	PRJNA344725	2	344725	SRS1716625	simple	9606	Homo sapiens	GSM2330625							no					GEO	SRA480659		public	03AEE3C71B5FE37F38727AB7C0463602	4C42412EEA639CE58FA3845F7B48A98E	5832118	SUM229neg_30nMtrametinib_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716625	GSM2330625	SUM229 breast carcinoma cell line, EpCAM/CD49f negative subpopulation	""	""	EpCAM/CD49f negative SUM229 breast carcinoma subpopulation	24h	30nM_trametinib	""	SUM229_EpCAM_CD49f_neg	SUM229_EpCAM_CD49f_neg.30nM_trametinib.24h
SAMN05832119	SRR4299758	2017-01-23T09:30:33Z	2016-09-28T09:20:47Z	41060792	2053039600	0	50	1002	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR4299758/SRR4299758.1	SRX2194308		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP090547	PRJNA344725	2	344725	SRS1716623	simple	9606	Homo sapiens	GSM2330624							no					GEO	SRA480659		public	AA51B48A006F9A255DC1709A5B1194C7	9F2364F7575A325000507F64197CA9E4	5832119	SUM229neg_DMSO_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716623	GSM2330624	SUM229 breast carcinoma cell line, EpCAM/CD49f negative subpopulation	""	""	EpCAM/CD49f negative SUM229 breast carcinoma subpopulation	24h	DMSO	""	SUM229_EpCAM_CD49f_neg	SUM229_EpCAM_CD49f_neg.DMSO.24h
SAMN05832125	SRR4299757	2017-01-23T09:30:33Z	2016-09-28T09:29:21Z	39086375	1954318750	0	50	950	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4299757/SRR4299757.1	SRX2194307		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP090547	PRJNA344725	2	344725	SRS1716624	simple	9606	Homo sapiens	GSM2330623							no					GEO	SRA480659		public	E73CFAD0E47915281C14F6844FD8AF8C	A6F72A1A4587D09219FA64D6245BB68D	5832125	SUM229pos_30nMtrametinib_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716624	GSM2330623	SUM229 breast carcinoma cell line, EpCAM/CD49f positive subpopulation	""	""	EpCAM/CD49f positive SUM229 breast carcinoma subpopulation	24h	30nM_trametinib	""	SUM229_EpCAM_CD49f_pos	SUM229_EpCAM_CD49f_pos.30nM_trametinib.24h
SAMN05832126	SRR4299765	2017-01-23T09:30:33Z	2019-06-16T20:32:50Z	43490473	3305281572	0	76	520	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR4299765/SRR4299765.3	SRX2194315		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716631	simple	9606	Homo sapiens	GSM2330631							no					GEO	SRA480659		public	B225E0EE146298565EE77350AD0A109A	FD13E63D9C0CDA162C005FA9DB832C1C	5832126	SUM159_100nM_trametinib_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716631	GSM2330631	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	100nM_trametinib	""	SUM159	SUM159.100nM_trametinib.24h
SAMN05832127	SRR4299764	2017-01-23T09:30:33Z	2019-06-16T20:42:43Z	51027826	3878125492	0	76	569	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR4299764/SRR4299764.3	SRX2194314		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716629	simple	9606	Homo sapiens	GSM2330630							no					GEO	SRA480659		public	748975BB9BE67B5399FC5C1E4E9D05C5	5607C42C9BE914318991CBE6DF753453	5832127	SUM159_DMSO_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716629	GSM2330630	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	DMSO	""	SUM159	SUM159.DMSO.24h
SAMN05832128	SRR4299766	2017-01-23T09:30:33Z	2019-06-16T20:23:38Z	48667431	3698735016	0	76	570	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR4299766/SRR4299766.3	SRX2194316		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP090547	PRJNA344725	2	344725	SRS1716632	simple	9606	Homo sapiens	GSM2330632							no					GEO	SRA480659		public	8BEF0CABE3B7F869D6FD9F8F59B49D3E	175C52D1FE0F349EF3539A7C00FE0D54	5832128	SUM159_300nMJQ1_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716632	GSM2330632	SUM159 breast carcinoma cell line	""	""	SUM159 breast carcinoma cell line	24h	300nM_JQ1	""	SUM159	SUM159.300nM_JQ1.24h
