accession	uid	title	organization	taxonomy	sra	geo	cell line	culture media	library preparation kit	source_name	time	treatment	xenograft
SAMN05832102	5832102	SUM159xenograft_mouse3_2mpktrametinib30mpkIBET151_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716656	GSM2330655				SUM159 breast carcinoma cell line: xenograft	48h	2mpk trametinib 30mpkIBET151	SUM159 breast carcinoma cell line xenograft
SAMN05832103	5832103	SUM159xenograft_mouse2_2mpktrametinib30mpkIBET151_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716653	GSM2330654				SUM159 breast carcinoma cell line: xenograft	48h	2mpk trametinib 30mpkIBET151	SUM159 breast carcinoma cell line xenograft
SAMN05832104	5832104	SUM159xenograft_mouse2_2mpktrametinib_48h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716651	GSM2330651				SUM159 breast carcinoma cell line: xenograft	48h	2mpk trametinib	SUM159 breast carcinoma cell line xenograft
SAMN05832108	5832108	SUM229pos_DMSO_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716622	GSM2330622	SUM229 breast carcinoma cell line, EpCAM/CD49f positive subpopulation			EpCAM/CD49f positive SUM229 breast carcinoma subpopulation	24h	DMSO	
SAMN05832118	5832118	SUM229neg_30nMtrametinib_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716625	GSM2330625	SUM229 breast carcinoma cell line, EpCAM/CD49f negative subpopulation			EpCAM/CD49f negative SUM229 breast carcinoma subpopulation	24h	30nM trametinib	
SAMN05832119	5832119	SUM229neg_DMSO_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716623	GSM2330624	SUM229 breast carcinoma cell line, EpCAM/CD49f negative subpopulation			EpCAM/CD49f negative SUM229 breast carcinoma subpopulation	24h	DMSO	
SAMN05832125	5832125	SUM229pos_30nMtrametinib_24h	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716624	GSM2330623	SUM229 breast carcinoma cell line, EpCAM/CD49f positive subpopulation			EpCAM/CD49f positive SUM229 breast carcinoma subpopulation	24h	30nM trametinib	
SAMN05832126	5832126	SUM159_100nM_trametinib_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716631	GSM2330631	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	100nM trametinib	
SAMN05832127	5832127	SUM159_DMSO_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716629	GSM2330630	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	DMSO	
SAMN05832128	5832128	SUM159_300nMJQ1_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716632	GSM2330632	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	300nM JQ1	
SAMN05832129	5832129	SUM159_100nMtrametinib300nMJQ1_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716637	GSM2330637	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	100nM trametinib 300nM JQ1	
SAMN05832130	5832130	SUM159_300nMJQ1_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716636	GSM2330636	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	300nM JQ1	
SAMN05832131	5832131	SUM159_100nM_trametinib_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716635	GSM2330635	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	100nM trametinib	
SAMN05832132	5832132	SUM159_DMSO_24h_replicate2	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716634	GSM2330634	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	DMSO	
SAMN05832133	5832133	SUM159_100nMtrametinib300nMJQ1_24h_replicate1	Gary L. Johnson Lab, Pharmacology, University of North Carolina School of Medicine	9606	SRS1716633	GSM2330633	SUM159 breast carcinoma cell line			SUM159 breast carcinoma cell line	24h	100nM trametinib 300nM JQ1	
