BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	disease	chip antibody	drug treatment	source_name	cell_line	group
SAMN05971774	SRR4880385	2017-01-10T10:19:22Z	2016-11-04T16:59:04Z	24305018	1223253961	0	50	581		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880385/SRR4880385.1	SRX2323868		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779704	simple	9606	Homo sapiens	GSM2373679							no					GEO	SRA489616		public	69F7900FBB245BE5F3B1BBFBE8B92E04	74153CC54691DEC76482D65E05152295	5971774	MM6_IRAK4_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779704	GSM2373679	Acute monocytic leukemia	N/A	IRAK4 inhibitor	Mono-Mac-6(MLL-AF9)	Mono-Mac-6(MLL-AF9)	MM6_IRAK4i
SAMN05971773	SRR4880386	2017-01-10T10:19:22Z	2016-11-04T16:59:11Z	18790375	945529055	0	50	449		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4880386/SRR4880386.1	SRX2323869		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779706	simple	9606	Homo sapiens	GSM2373680							no					GEO	SRA489616		public	ED4F13AA1A6AA39B68B02756205CE81D	79F2AA121A747ED7F4995EBCA4140FEF	5971773	MM6_IRAK4_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779706	GSM2373680	Acute monocytic leukemia	N/A	IRAK4 inhibitor	Mono-Mac-6(MLL-AF9)	Mono-Mac-6(MLL-AF9)	MM6_IRAK4i
SAMN05971772	SRR4880387	2017-01-10T10:19:22Z	2016-11-04T17:01:58Z	26225146	1319256747	0	50	624		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880387/SRR4880387.1	SRX2323870		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779707	simple	9606	Homo sapiens	GSM2373681							no					GEO	SRA489616		public	5E4373C31E8D7E83228E5F68F34ECC68	729B7C8FB4BB8122CD7906DC62929291	5971772	MM6_DMSO_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779707	GSM2373681	Acute monocytic leukemia	N/A	DMSO	Mono-Mac-6(MLL-AF9)	Mono-Mac-6(MLL-AF9)	MM6_DMSO
SAMN05971771	SRR4880388	2017-01-10T10:19:22Z	2016-11-04T16:59:37Z	26347934	1325569306	0	50	625		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4880388/SRR4880388.1	SRX2323871		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779708	simple	9606	Homo sapiens	GSM2373682							no					GEO	SRA489616		public	E4332A2E1A3737BE4CD1E5E7C8FD767F	D513198E37A6D8E3C685DA80D6F5AE12	5971771	MM6_DMSO_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779708	GSM2373682	Acute monocytic leukemia	N/A	DMSO	Mono-Mac-6(MLL-AF9)	Mono-Mac-6(MLL-AF9)	MM6_DMSO
SAMN05971770	SRR4880389	2017-01-10T10:19:22Z	2016-11-04T17:00:23Z	24217809	1218230086	0	50	577		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880389/SRR4880389.1	SRX2323872		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779709	simple	9606	Homo sapiens	GSM2373683							no					GEO	SRA489616		public	42523CE9AE6D42302D0230E1F686563F	121DD87DEA0FA027A06B5ECFF1B7B9B5	5971770	MM6_IRAK_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779709	GSM2373683	Acute monocytic leukemia	N/A	IRAK1/4 inhibitor	Mono-Mac-6(MLL-AF9)	Mono-Mac-6(MLL-AF9)	MM6_IRAK1_4i
SAMN05971769	SRR4880390	2017-01-10T10:19:22Z	2016-11-04T17:00:28Z	29559885	1487265878	0	50	704		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4880390/SRR4880390.1	SRX2323873		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779710	simple	9606	Homo sapiens	GSM2373684							no					GEO	SRA489616		public	057A1945E71C8AAD2BA40D0743E6971E	35E6C1D6D098E7E0D21E92610C2BA109	5971769	MM6_IRAK_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779710	GSM2373684	Acute monocytic leukemia	N/A	IRAK1/4 inhibitor	Mono-Mac-6(MLL-AF9)	Mono-Mac-6(MLL-AF9)	MM6_IRAK1_4i
SAMN05971766	SRR4880391	2017-01-10T10:19:22Z	2016-11-04T17:00:35Z	29241494	1471099420	0	50	694		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880391/SRR4880391.1	SRX2323874		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779711	simple	9606	Homo sapiens	GSM2373685							no					GEO	SRA489616		public	D1271F25B834BB92ABC7AEDE55B8CA6C	C187C4CB2B794A9BAF429757BEEE5E64	5971766	REH_IRAK4_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779711	GSM2373685	B cell precursor leukemia	N/A	IRAK4 inhibitor	REH	REH	REH_IRAK4i
SAMN05971765	SRR4880392	2017-01-10T10:19:22Z	2016-11-04T17:04:02Z	29897598	1504086830	0	50	711		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880392/SRR4880392.1	SRX2323875		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779716	simple	9606	Homo sapiens	GSM2373686							no					GEO	SRA489616		public	807D6D5F7611BB200CE7EE9ADEAC6AB9	48A3D487471744DB86965546A4D2645C	5971765	REH_IRAK4_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779716	GSM2373686	B cell precursor leukemia	N/A	IRAK4 inhibitor	REH	REH	REH_IRAK4i
SAMN05971764	SRR4880393	2017-01-10T10:19:22Z	2016-11-04T17:02:59Z	29681872	1493078445	0	50	705		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4880393/SRR4880393.1	SRX2323876		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779712	simple	9606	Homo sapiens	GSM2373687							no					GEO	SRA489616		public	7617F202D64BAEED8110FF4C4D2E5B96	7DDCD2BBE8F8D679554A6800618F6A40	5971764	REH_DMSO_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779712	GSM2373687	B cell precursor leukemia	N/A	DMSO	REH	REH	REH_DMSO
SAMN05971763	SRR4880394	2017-01-10T10:19:22Z	2016-11-04T17:01:27Z	30087921	1513952382	0	50	713		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR4880394/SRR4880394.1	SRX2323877		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP092535	PRJNA352353	2	352353	SRS1779713	simple	9606	Homo sapiens	GSM2373688							no					GEO	SRA489616		public	1B33B48BDF237EB14938733F3B3C07C4	C9DD4141951BFC7239EEB96D957F4DAE	5971763	REH_DMSO_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779713	GSM2373688	B cell precursor leukemia	N/A	DMSO	REH	REH	REH_DMSO
