accession	uid	title	organization	taxonomy	sra	geo	cell line	chip antibody	drug treatment	source_name
SAMN05971757	5971757	SEM_IRAK_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779721	GSM2373696	B cell precursor leukemia	N/A	IRAK1/4 inhibitor	SEM(MLL-AFF1)
SAMN05971758	5971758	SEM_IRAK_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779718	GSM2373695	B cell precursor leukemia	N/A	IRAK1/4 inhibitor	SEM(MLL-AFF1)
SAMN05971759	5971759	SEM_DMSO_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779720	GSM2373694	B cell precursor leukemia	N/A	DMSO	SEM(MLL-AFF1)
SAMN05971760	5971760	SEM_DMSO_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779719	GSM2373693	B cell precursor leukemia	N/A	DMSO	SEM(MLL-AFF1)
SAMN05971761	5971761	REH_IRAK_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779714	GSM2373690	B cell precursor leukemia	N/A	IRAK1/4 inhibitor	REH
SAMN05971762	5971762	REH_IRAK_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779715	GSM2373689	B cell precursor leukemia	N/A	IRAK1/4 inhibitor	REH
SAMN05971763	5971763	REH_DMSO_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779713	GSM2373688	B cell precursor leukemia	N/A	DMSO	REH
SAMN05971764	5971764	REH_DMSO_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779712	GSM2373687	B cell precursor leukemia	N/A	DMSO	REH
SAMN05971765	5971765	REH_IRAK4_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779716	GSM2373686	B cell precursor leukemia	N/A	IRAK4 inhibitor	REH
SAMN05971766	5971766	REH_IRAK4_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779711	GSM2373685	B cell precursor leukemia	N/A	IRAK4 inhibitor	REH
SAMN05971767	5971767	SEM_IRAK4_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779717	GSM2373691	B cell precursor leukemia	N/A	IRAK4 inhibitor	SEM(MLL-AFF1)
SAMN05971768	5971768	SEM_IRAK4_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779723	GSM2373692	B cell precursor leukemia	N/A	IRAK4 inhibitor	SEM(MLL-AFF1)
SAMN05971769	5971769	MM6_IRAK_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779710	GSM2373684	Acute monocytic leukemia	N/A	IRAK1/4 inhibitor	Mono-Mac-6(MLL-AF9)
SAMN05971770	5971770	MM6_IRAK_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779709	GSM2373683	Acute monocytic leukemia	N/A	IRAK1/4 inhibitor	Mono-Mac-6(MLL-AF9)
SAMN05971771	5971771	MM6_DMSO_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779708	GSM2373682	Acute monocytic leukemia	N/A	DMSO	Mono-Mac-6(MLL-AF9)
SAMN05971772	5971772	MM6_DMSO_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779707	GSM2373681	Acute monocytic leukemia	N/A	DMSO	Mono-Mac-6(MLL-AF9)
SAMN05971773	5971773	MM6_IRAK4_inhibitor_2	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779706	GSM2373680	Acute monocytic leukemia	N/A	IRAK4 inhibitor	Mono-Mac-6(MLL-AF9)
SAMN05971774	5971774	MM6_IRAK4_inhibitor_1	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779704	GSM2373679	Acute monocytic leukemia	N/A	IRAK4 inhibitor	Mono-Mac-6(MLL-AF9)
SAMN05971800	5971800	SEM-hUBE2O-4587-REP2-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779745	GSM2373716	B cell precursor leukemia	N/A		SEM(MLL-AFF1)
SAMN05971801	5971801	SEM-shUBE2O-4587-REP1-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779744	GSM2373715	B cell precursor leukemia	N/A		SEM(MLL-AFF1)
SAMN05971802	5971802	SEM-shGFP-2-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779740	GSM2373714	B cell precursor leukemia	N/A		SEM(MLL-AFF1)
SAMN05971803	5971803	SEM-shGFP-1-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779742	GSM2373713	B cell precursor leukemia	N/A		SEM(MLL-AFF1)
SAMN05971804	5971804	SEM-shAFF4-426769-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779739	GSM2373712	B cell precursor leukemia	N/A		SEM(MLL-AFF1)
SAMN05971805	5971805	SEM-shAFF4-15825-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779738	GSM2373711	B cell precursor leukemia	N/A		SEM(MLL-AFF1)
SAMN05971806	5971806	SEM-GFPi-2-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779737	GSM2373710	B cell precursor leukemia	N/A		SEM(MLL-AFF1)
SAMN05971807	5971807	SEM-GFPi-1-DAY4	Shilatifard Lab, Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine	9606	SRS1779735	GSM2373709	B cell precursor leukemia	N/A		SEM(MLL-AFF1)
