BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	shRNA	source_name	time point	tissue	treatment	group
SAMN06075592	SRR5062128	2018-03-15T16:02:14Z	2016-11-30T08:06:23Z	15559102	793514202	0	51	540		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062128.sralite.1	SRX2382606		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824880	simple	9606	Homo sapiens	GSM2410407							no					GEO	SRA499824		public	734390F1628FD84C639E06C22BDDF0A1	652FDB5A0A77B634A02E5FAA5EAC5738	6075592	HepG2_shIGF2BP3_6h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824880	GSM2410407	shIGF2BP3	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D	HepG2.shIGF2BP3.5.μg.mL.actinomycin.D.6h
SAMN06075593	SRR5062127	2018-03-15T16:02:14Z	2016-11-30T08:08:56Z	41198005	2101098255	0	51	1417		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062127/SRR5062127.sralite.1	SRX2382605		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824879	simple	9606	Homo sapiens	GSM2410406							no					GEO	SRA499824		public	8096EF99EC3121CBB5AD8FE8D45C5888	C420B9BFC098DE98867196F6D07109AF	6075593	HepG2_shIGF2BP3_6h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824879	GSM2410406	shIGF2BP3	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D	HepG2.shIGF2BP3.5.μg.mL.actinomycin.D.6h
SAMN06075594	SRR5062126	2018-03-15T16:02:14Z	2016-11-30T08:08:05Z	27290558	1391818458	0	51	912		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062126.sralite.1	SRX2382604		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824878	simple	9606	Homo sapiens	GSM2410405							no					GEO	SRA499824		public	22899517295DCABE24E195336E537B3D	DBD2CC2BAB3016B7E25C134FEE7E716D	6075594	HepG2_shIGF2BP3_3h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824878	GSM2410405	shIGF2BP3	HepG2 cells	3h	HepG2 cells	5 μg/mL actinomycin D	HepG2.shIGF2BP3.5.μg.mL.actinomycin.D.3h
SAMN06075595	SRR5062125	2018-03-15T16:02:14Z	2016-11-30T08:14:55Z	68721470	3504794970	0	51	2347		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062125/SRR5062125.sralite.1	SRX2382603		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824877	simple	9606	Homo sapiens	GSM2410404							no					GEO	SRA499824		public	4C1CE402865531CAF027B186C7941081	DA7D789EC31802C5CC6CFAD8CC0ADA29	6075595	HepG2_shIGF2BP3_3h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824877	GSM2410404	shIGF2BP3	HepG2 cells	3h	HepG2 cells	5 μg/mL actinomycin D	HepG2.shIGF2BP3.5.μg.mL.actinomycin.D.3h
SAMN06075596	SRR5062124	2018-03-15T16:02:14Z	2016-11-30T08:05:22Z	25312418	1290933318	0	51	848		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062124.sralite.1	SRX2382602		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824876	simple	9606	Homo sapiens	GSM2410403							no					GEO	SRA499824		public	89EBE7F5D7641849E6AB6E3B2827AB63	52EEDE62A58E9DC81E156C8148BD07A1	6075596	HepG2_shIGF2BP3_1h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824876	GSM2410403	shIGF2BP3	HepG2 cells	1h	HepG2 cells	5 μg/mL actinomycin D	HepG2.shIGF2BP3.5.μg.mL.actinomycin.D.1h
SAMN06075597	SRR5062123	2018-03-15T16:02:14Z	2016-11-30T08:07:20Z	33113495	1688788245	0	51	1143		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062123.sralite.1	SRX2382601		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824875	simple	9606	Homo sapiens	GSM2410402							no					GEO	SRA499824		public	6698E757C43FEC83E20B68C3D8BDDC9A	ECD00EC31012833F2D017F5E42387A00	6075597	HepG2_shIGF2BP3_1h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824875	GSM2410402	shIGF2BP3	HepG2 cells	1h	HepG2 cells	5 μg/mL actinomycin D	HepG2.shIGF2BP3.5.μg.mL.actinomycin.D.1h
SAMN06075598	SRR5062122	2018-03-15T16:02:14Z	2016-11-30T08:15:34Z	56772970	2895421470	0	51	1874		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062122.sralite.1	SRX2382600		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824874	simple	9606	Homo sapiens	GSM2410401							no					GEO	SRA499824		public	41C1C9D4AED99A4A6468A4F76BB0594B	618EE72FEA766E3514E646872676D07C	6075598	HepG2_shIGF2BP3_0h_rep2 (RNA-seq_rep2)	Chen Lab, Systems Biology, City of Hope	9606	SRS1824874	GSM2410401	shIGF2BP3	HepG2 cells	0h	HepG2 cells	untreated	HepG2.shIGF2BP3.untreated.0h
SAMN06075599	SRR5062121	2018-03-15T16:02:14Z	2016-11-30T08:11:00Z	31897609	1626778059	0	51	1100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062121/SRR5062121.sralite.1	SRX2382599		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824873	simple	9606	Homo sapiens	GSM2410400							no					GEO	SRA499824		public	DA1D441E441340771C06C614719114B2	2CF6D31A469DE600FBE496EE7FEFD2A9	6075599	HepG2_shIGF2BP3_0h_rep1 (RNA-seq_rep1)	Chen Lab, Systems Biology, City of Hope	9606	SRS1824873	GSM2410400	shIGF2BP3	HepG2 cells	0h	HepG2 cells	untreated	HepG2.shIGF2BP3.untreated.0h
SAMN06075600	SRR5062120	2018-03-15T16:02:14Z	2016-11-30T08:05:51Z	26006060	1326309060	0	51	836		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062120/SRR5062120.sralite.1	SRX2382598		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824872	simple	9606	Homo sapiens	GSM2410399							no					GEO	SRA499824		public	85E6B5FB4852EC7B018B52AC15B77574	AD8570BBFDAFCFBFC04E3D2C51B830FD	6075600	HepG2_shIGF2BP1_6h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824872	GSM2410399	shIGF2BP1	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D	HepG2.shIGF2BP1.5.μg.mL.actinomycin.D.6h
SAMN06075601	SRR5062119	2018-03-15T16:02:14Z	2016-11-30T08:06:57Z	34254766	1746993066	0	51	1062		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062119.sralite.1	SRX2382597		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824871	simple	9606	Homo sapiens	GSM2410398							no					GEO	SRA499824		public	7BCA4070C989EFDA93F75542E861D7CC	B055477758C272E4565C6C9BD09D2DFC	6075601	HepG2_shIGF2BP1_6h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824871	GSM2410398	shIGF2BP1	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D	HepG2.shIGF2BP1.5.μg.mL.actinomycin.D.6h
