BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	disease	source_name	treated with	group
SAMN06348086	SRR5272675	2018-09-11T00:08:50Z	2017-02-19T20:59:35Z	62571514	12639445828	62571514	202	8150		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272675.sralite.1	SRX2576698		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991880	simple	9606	Homo sapiens	GSM2495762							no					GEO	SRA539037		public	0C31012B5FDC0E2A380DA73AA5890606	65F7DF9484FCAF090D04B3BF51393478	6348086	BM_DM_141057	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991880	GSM2495762	KMS-12	multiple myeloma	BM_DM	Untreated (DMSO)	KMS.12.Untreated..DMSO.
SAMN06348087	SRR5272674	2018-09-11T00:08:50Z	2017-02-19T20:53:07Z	50946237	10291139874	50946237	202	6082		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272674.sralite.1	SRX2576697		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991879	simple	9606	Homo sapiens	GSM2495761							no					GEO	SRA539037		public	0AED30806E70D902C1A65C2C7B018062	A59E10767771C88D98689032C755BAA4	6348087	BM_DM_141051	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991879	GSM2495761	KMS-12	multiple myeloma	BM_DM	Untreated (DMSO)	KMS.12.Untreated..DMSO.
SAMN06348088	SRR5272685	2018-09-11T00:08:51Z	2017-02-19T20:59:56Z	64447257	13018345914	64447257	202	8330		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272685.sralite.1	SRX2576708		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991890	simple	9606	Homo sapiens	GSM2495772							no					GEO	SRA539037		public	C7EFC186730B9AC3579BCE079A7DB2CD	30CE4E997E5ABF8BD5CDB6DD00F61438	6348088	JJ_AMIL_141062	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991890	GSM2495772	JJN3	plasma cell leukemia	JJ_AMIL	Amiloride 0.4 mM 24h	JJN3.Amiloride.0.4.mM.24h
SAMN06348089	SRR5272684	2018-09-11T00:08:51Z	2017-02-19T21:16:29Z	58656767	11848666934	58656767	202	7601		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272684.sralite.1	SRX2576707		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991889	simple	9606	Homo sapiens	GSM2495771							no					GEO	SRA539037		public	137CB7C1F30C01848B4B3FBD0CD6F5BD	36F9D3DDDE8452C21E64494FE3FB591D	6348089	JJ_AMIL_141056	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991889	GSM2495771	JJN3	plasma cell leukemia	JJ_AMIL	Amiloride 0.4 mM 24h	JJN3.Amiloride.0.4.mM.24h
SAMN06348090	SRR5272683	2018-09-11T00:08:51Z	2017-02-19T20:46:46Z	37568155	7588767310	37568155	202	4498		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272683.sralite.1	SRX2576706		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991888	simple	9606	Homo sapiens	GSM2495770							no					GEO	SRA539037		public	0D1468E5CB3F52CB25B8641D4DB6CE59	5409D045C64A85A81BA441101EC3CFF6	6348090	JJ_AMIL_141050	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991888	GSM2495770	JJN3	plasma cell leukemia	JJ_AMIL	Amiloride 0.4 mM 24h	JJN3.Amiloride.0.4.mM.24h
SAMN06348091	SRR5272682	2018-09-11T00:08:51Z	2017-02-19T21:02:48Z	40840185	8249717370	40840185	202	5279		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272682.sralite.1	SRX2576705		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991887	simple	9606	Homo sapiens	GSM2495769							no					GEO	SRA539037		public	97BB532BD3A48CC8AE90956B412FADA3	548F52C94DF976BCD99E23A1C9E9C7C7	6348091	JJ_DM_141060	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991887	GSM2495769	JJN3	plasma cell leukemia	JJ_DM	Untreated (DMSO)	JJN3.Untreated..DMSO.
SAMN06348092	SRR5272681	2018-09-11T00:08:51Z	2017-02-19T20:56:05Z	60376359	12196024518	60376359	202	8051		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272681.sralite.1	SRX2576704		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991886	simple	9606	Homo sapiens	GSM2495768							no					GEO	SRA539037		public	5E6F8E7C4DC63FC62E1BE153EEC99E8C	DAF22C58B2A190AB0B083826DDB012FB	6348092	JJ_DM_141054	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991886	GSM2495768	JJN3	plasma cell leukemia	JJ_DM	Untreated (DMSO)	JJN3.Untreated..DMSO.
SAMN06348093	SRR5272680	2018-09-11T00:08:51Z	2017-02-19T20:50:09Z	46810430	9455706860	46810430	202	5576		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272680.sralite.1	SRX2576703		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991885	simple	9606	Homo sapiens	GSM2495767							no					GEO	SRA539037		public	1C48EA87929ED53D8F3961D5A78A57AE	7403AB84B29DC23CC028F209B20AD73C	6348093	JJ_DM_141048	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991885	GSM2495767	JJN3	plasma cell leukemia	JJ_DM	Untreated (DMSO)	JJN3.Untreated..DMSO.
SAMN06348094	SRR5272679	2018-09-11T00:08:51Z	2017-02-19T20:51:29Z	45598113	9210818826	45598113	202	5578		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272679.sralite.1	SRX2576702		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991884	simple	9606	Homo sapiens	GSM2495766							no					GEO	SRA539037		public	DBFD6C013E167799704C2F6513F06E43	76CB80FC476C905F1D9D78CDFBFFAE3B	6348094	BM_AMIL_141065	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991884	GSM2495766	KMS-12	multiple myeloma	BM_AMIL	Amiloride 0.1 mM 24h	KMS.12.Amiloride.0.1.mM.24h
SAMN06348095	SRR5272678	2018-09-11T00:08:51Z	2017-02-19T20:58:24Z	66024375	13336923750	66024375	202	8561		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/272/SRR5272678.sralite.1	SRX2576701		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100328	PRJNA375938	2	375938	SRS1991883	simple	9606	Homo sapiens	GSM2495765							no					GEO	SRA539037		public	731A37B0EB5807A214435302DECCEBD4	CDDB4CFE51235C73D1D3DFA513F31301	6348095	BM_AMIL_141059	12, Hematologia, Centro de Investigación del Cáncer de Salamanca	9606	SRS1991883	GSM2495765	KMS-12	multiple myeloma	BM_AMIL	Amiloride 0.1 mM 24h	KMS.12.Amiloride.0.1.mM.24h
