accession	uid	title	organization	taxonomy	sra	geo	batch	cell line	compound	source_name	time-point
SAMN06611326	6611326	ML210_0.04_24 [CR08C6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054330	GSM2539965	8	H-STS NET	ML210	H-STS NET cell line, ML210, 24h	24h
SAMN06611327	6611327	Bafetinib_3.24_24 [CR06C3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054227	GSM2539860	6	H-STS NET	Bafetinib	H-STS NET cell line, Bafetinib, 24h	24h
SAMN06611328	6611328	AZD7762_0.03_24 [CR06D8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054226	GSM2539859	6	H-STS NET	AZD7762	H-STS NET cell line, AZD7762, 24h	24h
SAMN06611329	6611329	AZD7762_0.03_24 [CR06D7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054225	GSM2539858	6	H-STS NET	AZD7762	H-STS NET cell line, AZD7762, 24h	24h
SAMN06611330	6611330	AZD6482_0.322_24 [CR06D2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054224	GSM2539857	6	H-STS NET	AZD6482	H-STS NET cell line, AZD6482, 24h	24h
SAMN06611331	6611331	AZD6482_0.322_24 [CR06D1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054223	GSM2539856	6	H-STS NET	AZD6482	H-STS NET cell line, AZD6482, 24h	24h
SAMN06611332	6611332	Afatinib_1_24 [CR06C8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054222	GSM2539855	6	H-STS NET	Afatinib	H-STS NET cell line, Afatinib, 24h	24h
SAMN06611333	6611333	Afatinib_1_24 [CR06C7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054221	GSM2539854	6	H-STS NET	Afatinib	H-STS NET cell line, Afatinib, 24h	24h
SAMN06611334	6611334	(5Z)-7-Oxozeanol_0.22_24 [CR06C2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054220	GSM2539853	6	H-STS NET	(5Z)-7-Oxozeanol	H-STS NET cell line, (5Z)-7-Oxozeanol, 24h	24h
SAMN06611335	6611335	(5Z)-7-Oxozeanol_0.22_24 [CR06C1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054219	GSM2539852	6	H-STS NET	(5Z)-7-Oxozeanol	H-STS NET cell line, (5Z)-7-Oxozeanol, 24h	24h
SAMN06611336	6611336	DMSO__6 [CR06B4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054218	GSM2539851	6	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
