accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue
SAMN06754498	6754498	PANC-1_Ctrl 24hrs-II	Karolinska Institute	9606	SRS2122676	GSM2577107	PANC-1	Ctrl 24hrs-II	Pancreas
SAMN06754499	6754499	PANC-1_Ctrl 24hrs-I	Karolinska Institute	9606	SRS2122674	GSM2577106	PANC-1	Ctrl 24hrs-I	Pancreas
SAMN06754500	6754500	PANC-1_50uM Gen 24hrs-I	Karolinska Institute	9606	SRS2122665	GSM2577100	PANC-1	50uM Gen 24hrs-I	Pancreas
SAMN06754501	6754501	PANC-1_50uM Gen 24hrs-II	Karolinska Institute	9606	SRS2122671	GSM2577101	PANC-1	50uM Gen 24hrs-II	Pancreas
SAMN06754502	6754502	PANC-1_40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122672	GSM2577105	PANC-1	40nM Gem2 24hrs-II	Pancreas
SAMN06754503	6754503	PANC-1_40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122677	GSM2577104	PANC-1	40nM Gem2 24hrs-I	Pancreas
SAMN06754504	6754504	PANC-1_50uM Gen + 40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122675	GSM2577103	PANC-1	50uM Gen + 40nM Gem2 24hrs-II	Pancreas
SAMN06754505	6754505	PANC-1_50uM Gen + 40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122673	GSM2577102	PANC-1	50uM Gen + 40nM Gem2 24hrs-I	Pancreas
SAMN06754506	6754506	Mia-PaCa-2_Ctrl 24hrs-II	Karolinska Institute	9606	SRS2122670	GSM2577099	Mia-PaCa-2	Ctrl 24hrs-II	Pancreas
SAMN06754507	6754507	Mia-PaCa-2_Ctrl 24hrs-I	Karolinska Institute	9606	SRS2122666	GSM2577098	Mia-PaCa-2	Ctrl 24hrs-I	Pancreas
SAMN06754508	6754508	Mia-PaCa-2_40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122669	GSM2577097	Mia-PaCa-2	40nM Gem2 24hrs-II	Pancreas
SAMN06754509	6754509	Mia-PaCa-2_40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122668	GSM2577096	Mia-PaCa-2	40nM Gem2 24hrs-I	Pancreas
SAMN06754510	6754510	Mia-PaCa-2_50uM Gen + 40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122667	GSM2577095	Mia-PaCa-2	50uM Gen + 40nM Gem2 24hrs-II	Pancreas
SAMN06754511	6754511	Mia-PaCa-2_50uM Gen + 40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122663	GSM2577094	Mia-PaCa-2	50uM Gen + 40nM Gem2 24hrs-I	Pancreas
SAMN06754512	6754512	Mia-PaCa-2_50uM Gen 24hrs-II	Karolinska Institute	9606	SRS2122664	GSM2577093	Mia-PaCa-2	50uM Gen 24hrs-II	Pancreas
SAMN06754513	6754513	Mia-PaCa-2_50uM Gen 24hrs-I	Karolinska Institute	9606	SRS2122662	GSM2577092	Mia-PaCa-2	50uM Gen 24hrs-I	Pancreas
