BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue
SAMN06754498	SRR5445832	2020-01-01T12:37:37Z	2017-04-14T09:14:58Z	20176190	1028985690	0	51	440		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445832.sralite.1	SRX2734812		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122676	simple	9606	Homo sapiens	GSM2577107							no					GEO	SRA554049		public	790C76A416C1F3F813C80F9741377874	16CC8F4B92D9A414D16576CF945D0054	6754498	PANC-1_Ctrl 24hrs-II	Karolinska Institute	9606	SRS2122676	GSM2577107	PANC-1	Ctrl 24hrs-II	Pancreas
SAMN06754498	SRR5445833	2020-01-01T12:37:37Z	2017-04-14T09:16:35Z	20339581	1037318631	0	51	442		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445833.sralite.1	SRX2734812		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122676	simple	9606	Homo sapiens	GSM2577107							no					GEO	SRA554049		public	B4EB5B6A177D86E6F3CE52FE5414407D	F6352534000F9A1F7A556AFEA227AA91	6754498	PANC-1_Ctrl 24hrs-II	Karolinska Institute	9606	SRS2122676	GSM2577107	PANC-1	Ctrl 24hrs-II	Pancreas
SAMN06754499	SRR5445830	2020-01-01T12:37:37Z	2017-04-14T09:11:26Z	13698130	698604630	0	51	300		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445830.sralite.1	SRX2734811		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122674	simple	9606	Homo sapiens	GSM2577106							no					GEO	SRA554049		public	0125AF16187060A9E43A59246B04EA1A	29BAF81383EC356F37D6F8ADC45D2FB8	6754499	PANC-1_Ctrl 24hrs-I	Karolinska Institute	9606	SRS2122674	GSM2577106	PANC-1	Ctrl 24hrs-I	Pancreas
SAMN06754499	SRR5445831	2020-01-01T12:37:37Z	2017-04-14T09:12:50Z	13834383	705553533	0	51	302		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445831.sralite.1	SRX2734811		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122674	simple	9606	Homo sapiens	GSM2577106							no					GEO	SRA554049		public	91FB3F9502247361A605D126EB35A2F7	D0C4DB6DB81A5C427D989668E12F2D8B	6754499	PANC-1_Ctrl 24hrs-I	Karolinska Institute	9606	SRS2122674	GSM2577106	PANC-1	Ctrl 24hrs-I	Pancreas
SAMN06754500	SRR5445818	2020-01-01T12:37:36Z	2017-04-14T09:07:44Z	8139093	415093743	0	51	178		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445818.sralite.1	SRX2734805		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122665	simple	9606	Homo sapiens	GSM2577100							no					GEO	SRA554049		public	C64324D8F2B228E6A78DCD42184E9665	27CA39176E1CDDEAFB3B1A2E85AAF604	6754500	PANC-1_50uM Gen 24hrs-I	Karolinska Institute	9606	SRS2122665	GSM2577100	PANC-1	50uM Gen 24hrs-I	Pancreas
SAMN06754500	SRR5445819	2020-01-01T12:37:36Z	2017-04-14T09:06:19Z	8236263	420049413	0	51	179		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445819.sralite.1	SRX2734805		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122665	simple	9606	Homo sapiens	GSM2577100							no					GEO	SRA554049		public	9EB1F429A4DDEE11B623F7428F4E1A4A	A6696A7541EA2F664A663AA6C86DFF4E	6754500	PANC-1_50uM Gen 24hrs-I	Karolinska Institute	9606	SRS2122665	GSM2577100	PANC-1	50uM Gen 24hrs-I	Pancreas
SAMN06754501	SRR5445820	2020-01-01T12:37:36Z	2017-04-14T09:06:33Z	8542249	435654699	0	51	186		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445820.sralite.1	SRX2734806		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122671	simple	9606	Homo sapiens	GSM2577101							no					GEO	SRA554049		public	50BA3B8046A58B890488F7E60C37B21A	A1D6C18F44ECF11D554A80D35110BFCF	6754501	PANC-1_50uM Gen 24hrs-II	Karolinska Institute	9606	SRS2122671	GSM2577101	PANC-1	50uM Gen 24hrs-II	Pancreas
SAMN06754501	SRR5445821	2020-01-01T12:37:37Z	2017-04-14T09:07:01Z	8638088	440542488	0	51	187		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445821.sralite.1	SRX2734806		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122671	simple	9606	Homo sapiens	GSM2577101							no					GEO	SRA554049		public	29C4EC46ED62D28352FA0F7C84AD6D9B	E9185C8DA8717B2A2F4D36F4938CBEE4	6754501	PANC-1_50uM Gen 24hrs-II	Karolinska Institute	9606	SRS2122671	GSM2577101	PANC-1	50uM Gen 24hrs-II	Pancreas
SAMN06754502	SRR5445828	2020-01-01T12:37:37Z	2017-04-14T09:10:00Z	12267957	625665807	0	51	271		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445828.sralite.1	SRX2734810		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122672	simple	9606	Homo sapiens	GSM2577105							no					GEO	SRA554049		public	940666C9E2E5C517DCD5E3DAD266F1A3	277F28706E60D850870321551D49ECF1	6754502	PANC-1_40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122672	GSM2577105	PANC-1	40nM Gem2 24hrs-II	Pancreas
SAMN06754502	SRR5445829	2020-01-01T12:37:37Z	2017-04-14T09:10:33Z	12344825	629586075	0	51	271		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445829.sralite.1	SRX2734810		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122672	simple	9606	Homo sapiens	GSM2577105							no					GEO	SRA554049		public	18BC1BAE9581FF5ED3E57E2271B8BF0A	327E5CF7F0BBBD2D4A84F01705A7DB79	6754502	PANC-1_40nM Gem2 24hrs-II	Karolinska Institute	9606	SRS2122672	GSM2577105	PANC-1	40nM Gem2 24hrs-II	Pancreas
SAMN06754503	SRR5445826	2020-01-01T12:37:37Z	2017-04-14T09:08:46Z	10859474	553833174	0	51	240		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445826.sralite.1	SRX2734809		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122677	simple	9606	Homo sapiens	GSM2577104							no					GEO	SRA554049		public	5E862A3E6157B113856634486160B0C1	E691B7A1E5A7563060EF19DC2E3D23D5	6754503	PANC-1_40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122677	GSM2577104	PANC-1	40nM Gem2 24hrs-I	Pancreas
SAMN06754503	SRR5445827	2020-01-01T12:37:37Z	2017-04-14T09:08:58Z	10941463	558014613	0	51	240		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/445/SRR5445827.sralite.1	SRX2734809		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP103876	PRJNA382831	3	382831	SRS2122677	simple	9606	Homo sapiens	GSM2577104							no					GEO	SRA554049		public	3EA43274F1C0B084E7F8AD39AE4A3B43	42B69ADD3C63BDEAF5BFDD359436D9B1	6754503	PANC-1_40nM Gem2 24hrs-I	Karolinska Institute	9606	SRS2122677	GSM2577104	PANC-1	40nM Gem2 24hrs-I	Pancreas
