BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	agent	antibody	cell line	source_name	treated with	group
SAMN07260251	SRR5724775	2018-06-21T12:28:08Z	2017-06-21T11:03:24Z	6520999	485739141	0	74	170		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724775/SRR5724775.1	SRX2940761		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301881	simple	9606	Homo sapiens	GSM2677387							no					GEO	SRA578435		public	8CFDA023045EBABC3EF7A9EEF0DD9ABA	F490594066816B885CCDE3F0EA3BEDC4	7260251	MCF7_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301881	GSM2677387			MCF7	MCF7	none (untreated)	MCF7.control
SAMN07260252	SRR5724776	2018-06-21T12:28:08Z	2017-06-21T11:00:13Z	4362195	325129047	0	74	114		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724776/SRR5724776.1	SRX2940762		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301883	simple	9606	Homo sapiens	GSM2677388							no					GEO	SRA578435		public	B7E5DCF06550C644BCEABFD861DACDB1	7A84BCCE427D8EB7C699AA50FBAEB16E	7260252	LOXIMVI_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301883	GSM2677388			LOXIMVI	LOXIMVI	none (untreated)	LOXIMVI.control
SAMN07260236	SRR5724777	2018-06-21T12:28:08Z	2017-06-21T10:59:11Z	1341106	99849375	0	74	35		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724777/SRR5724777.1	SRX2940763		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301884	simple	9606	Homo sapiens	GSM2677389							no					GEO	SRA578435		public	F7374AD96C3E8ED5BFA4232C338E0A06	B70AA9A7257DCAA30805359E3BB01C98	7260236	UO31_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301884	GSM2677389			UO31	UO31	none (untreated)	UO31.control
SAMN07260274	SRR5724778	2018-06-21T12:28:08Z	2017-06-21T11:00:16Z	3394321	252842823	0	74	88		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724778/SRR5724778.1	SRX2940764		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301885	simple	9606	Homo sapiens	GSM2677390							no					GEO	SRA578435		public	7B9F71F8BD04BED2598BF6E4CF761AA9	346CDF057EE12F9846B36579B8ACC60A	7260274	A498_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301885	GSM2677390			A498	A498	none (untreated)	A498.control
SAMN07260273	SRR5724779	2018-06-21T12:28:08Z	2017-06-21T11:02:09Z	6263278	466542782	0	74	163		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724779/SRR5724779.1	SRX2940765		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301886	simple	9606	Homo sapiens	GSM2677391							no					GEO	SRA578435		public	A1E16E9441A06059CEAFB6257452BD84	6CA3A3F289A7E5BFBCC40406673324A5	7260273	U2OS_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301886	GSM2677391			U2OS	U2OS	none (untreated)	U2OS.control
SAMN07260272	SRR5724780	2018-06-21T12:28:08Z	2017-06-21T11:00:34Z	3470296	258606103	0	74	91		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724780/SRR5724780.1	SRX2940766		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301888	simple	9606	Homo sapiens	GSM2677392							no					GEO	SRA578435		public	9D465719E0CB753B2585A29B7819DE49	418A39E50A04CA915C3EA907AB33EEBE	7260272	SKMEL5_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301888	GSM2677392			SKMEL5	SKMEL5	none (untreated)	SKMEL5.control
SAMN07260271	SRR5724781	2018-06-21T12:28:08Z	2017-06-21T11:00:38Z	2396108	178537486	0	74	63		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724781/SRR5724781.1	SRX2940767		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301887	simple	9606	Homo sapiens	GSM2677393							no					GEO	SRA578435		public	8EF05D16DCFEED645C59FEAAAF25B974	5BF4546157A292C56DFE69B05E16134A	7260271	MALME3_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301887	GSM2677393			MALME3	MALME3	none (untreated)	MALME3.control
SAMN07260269	SRR5724782	2018-06-21T12:28:08Z	2017-06-21T11:01:30Z	4352167	324496185	0	74	116		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724782/SRR5724782.1	SRX2940768		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301889	simple	9606	Homo sapiens	GSM2677394							no					GEO	SRA578435		public	807FA9238A1CE337934B0ACD5D620CAB	4C2873810B4BD9C4C5BA67740E28F4DB	7260269	H460_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301889	GSM2677394			H460	H460	none (untreated)	H460.control
SAMN07260268	SRR5724783	2018-06-21T12:28:08Z	2017-06-21T11:02:21Z	6555540	488509772	0	74	172		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724783/SRR5724783.1	SRX2940769		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301891	simple	9606	Homo sapiens	GSM2677395							no					GEO	SRA578435		public	686F8C37586F0EFDACFD07DB3CCCB7B0	A601A336C99A4BC091E72CCBB48CB83D	7260268	A549_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301891	GSM2677395			A549	A549	none (untreated)	A549.control
SAMN07260267	SRR5724784	2018-06-21T12:28:08Z	2017-06-21T11:03:24Z	7197540	536301565	0	74	187		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR5724784/SRR5724784.1	SRX2940770		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP110004	PRJNA391270	3	391270	SRS2301890	simple	9606	Homo sapiens	GSM2677396							no					GEO	SRA578435		public	A9B2BCEAAC5D389872146127C509A1EB	A177BBA2345BD466C4542557D841B0EF	7260267	HCT116_RNA_NT	Lahav, systems biology, Harvard Medical School	9606	SRS2301890	GSM2677396			HCT116	HCT116	none (untreated)	HCT116.control
