BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell_line	source_name	time point	tissue	treatment	group
SAMN07283807	SRR5761881	2017-06-30T12:47:10Z	2017-06-27T16:12:52Z	17262591	880392141	0	51	386		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761881/SRR5761881.1	SRX2961630		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318409	simple	9606	Homo sapiens	GSM2687180							no					GEO	SRA581930		public	270750CC862101D49C921DF9270533F9	C50DCE055F635218A4A662DFF57925A3	7283807	CHP212_A0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318409	GSM2687180	CHP212	Neuroblastoma	EP	Tumor	AZA	CHP212.AZA.EP
SAMN07283806	SRR5761882	2017-06-30T12:47:10Z	2017-06-27T16:11:43Z	9903581	505082631	0	51	221		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761882/SRR5761882.1	SRX2961631		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318408	simple	9606	Homo sapiens	GSM2687181							no					GEO	SRA581930		public	894E2BEBDBE125949ED8A91550AE679A	BFE67409A6E081C70EA071B409934451	7283806	CHP212_A1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318408	GSM2687181	CHP212	Neuroblastoma	EP	Tumor	AZA	CHP212.AZA.EP
SAMN07283805	SRR5761883	2017-06-30T12:47:10Z	2017-06-27T16:17:30Z	10086714	514422414	0	51	225		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761883/SRR5761883.1	SRX2961632		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318411	simple	9606	Homo sapiens	GSM2687182							no					GEO	SRA581930		public	FF2A86A1F42E7F2243414DD20EBA4CCC	6F6DADDB237AD0BDE58669319E13B88A	7283805	CHP212_A2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318411	GSM2687182	CHP212	Neuroblastoma	EP	Tumor	AZA	CHP212.AZA.EP
SAMN07283804	SRR5761884	2017-06-30T12:47:10Z	2017-06-27T16:10:53Z	8364999	426614949	0	51	187		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761884/SRR5761884.1	SRX2961633		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318410	simple	9606	Homo sapiens	GSM2687183							no					GEO	SRA581930		public	F43E30F91288D3F2007A12F9BE427C99	E99C0C8068B27E7D619C541EACD8F39E	7283804	CHP212_A3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318410	GSM2687183	CHP212	Neuroblastoma	EP	Tumor	AZA	CHP212.AZA.EP
SAMN07283803	SRR5761885	2017-06-30T12:47:10Z	2017-06-27T16:12:20Z	12208169	622616619	0	51	273		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761885/SRR5761885.1	SRX2961634		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318412	simple	9606	Homo sapiens	GSM2687184							no					GEO	SRA581930		public	5FAB202D7C64BE479CB020EBF05C3FF7	B42CB923DDE3945269D4DEFC3AE67EFD	7283803	CHP212_A4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318412	GSM2687184	CHP212	Neuroblastoma	EP	Tumor	AZA	CHP212.AZA.EP
SAMN07283802	SRR5761886	2017-06-30T12:47:10Z	2017-06-27T16:11:00Z	8957334	456824034	0	51	201		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761886/SRR5761886.1	SRX2961635		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318413	simple	9606	Homo sapiens	GSM2687185							no					GEO	SRA581930		public	07DD92F40B0313E9B6D7CDAB58EC435B	F0F388F5B9C879F3BC2F8787CD4C2B20	7283802	CHP212_AR0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318413	GSM2687185	CHP212	Neuroblastoma	EP	Tumor	AZA + RA	CHP212.AZA_RA.EP
SAMN07283801	SRR5761887	2017-06-30T12:47:10Z	2017-06-27T16:10:17Z	7933648	404616048	0	51	178		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761887/SRR5761887.1	SRX2961636		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318414	simple	9606	Homo sapiens	GSM2687186							no					GEO	SRA581930		public	69C80F566A47C287C029544A08C58FBF	9438C21352E4C61F09A2B1CF92EA072E	7283801	CHP212_AR1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318414	GSM2687186	CHP212	Neuroblastoma	EP	Tumor	AZA + RA	CHP212.AZA_RA.EP
SAMN07283800	SRR5761888	2017-06-30T12:47:10Z	2017-06-27T16:10:49Z	10292700	524927700	0	51	230		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761888/SRR5761888.1	SRX2961637		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318415	simple	9606	Homo sapiens	GSM2687187							no					GEO	SRA581930		public	CD563216E55AF6052CAF4CB9CD0A81B8	A3A0BBD974DABEE18F008E1AC112F9F3	7283800	CHP212_AR2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318415	GSM2687187	CHP212	Neuroblastoma	EP	Tumor	AZA + RA	CHP212.AZA_RA.EP
SAMN07283799	SRR5761889	2017-06-30T12:47:10Z	2017-06-27T16:11:05Z	9138349	466055799	0	51	204		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761889/SRR5761889.1	SRX2961638		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318416	simple	9606	Homo sapiens	GSM2687188							no					GEO	SRA581930		public	2E59C4EAB54C93B8CBA4895A302E7A96	EA04249CFB03F1D4267A68CDC57C8D9D	7283799	CHP212_AR3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318416	GSM2687188	CHP212	Neuroblastoma	EP	Tumor	AZA + RA	CHP212.AZA_RA.EP
SAMN07283798	SRR5761890	2017-06-30T12:47:10Z	2017-06-27T16:11:50Z	11910864	607454064	0	51	266		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5761890/SRR5761890.1	SRX2961639		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110615	PRJNA392124	2	392124	SRS2318417	simple	9606	Homo sapiens	GSM2687189							no					GEO	SRA581930		public	1907110AA927F344543AB132B41614D6	663543643B63FD748250BB00C202F4D4	7283798	CHP212_AR4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318417	GSM2687189	CHP212	Neuroblastoma	EP	Tumor	AZA + RA	CHP212.AZA_RA.EP
