BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	chip antibody	internal id	method	replicate	source_name	treatment	group
SAMN07411187	SRR5863491	2018-03-03T12:41:06Z	2017-07-24T17:06:25Z	15529009	1552900900	15529009	100	704		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863491/SRR5863491.1	SRX3032029		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380876	simple	9606	Homo sapiens	GSM2716740							no					GEO	SRA590769		public	0B5E02C22D1B1BCCB80B2697489C5F0F	3DD3CCD43A4D7FEA83E4DEFBB6FF3D13	7411187	RNAseq_HL-60_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4251	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380876	GSM2716740	Not applicable	J4251	RNA-seq	rep1	HL-60 cells	BI00894999, 35nM, 4h	HL_60.BI00894999.35nM
SAMN07411186	SRR5863492	2018-03-03T12:41:06Z	2017-07-24T17:06:46Z	16480723	1648072300	16480723	100	745		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863492/SRR5863492.1	SRX3032030		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380877	simple	9606	Homo sapiens	GSM2716741							no					GEO	SRA590769		public	AB93C87344FFB6E63875BDD143D10D6F	7185E4D543C0044E5D1874E1EAE26D5F	7411186	RNAseq_HL-60_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4255	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380877	GSM2716741	Not applicable	J4255	RNA-seq	rep2	HL-60 cells	BI00894999, 35nM, 4h	HL_60.BI00894999.35nM
SAMN07411176	SRR5863493	2018-03-03T12:41:06Z	2017-07-24T17:09:16Z	12861818	1286181800	12861818	100	586		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863493/SRR5863493.1	SRX3032031		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380875	simple	9606	Homo sapiens	GSM2716742							no					GEO	SRA590769		public	45999FD2858920E752300E7420C0BEF4	B4276B643E2D88BE703E91BE4CF19FBA	7411176	RNAseq_HL-60_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4250	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380875	GSM2716742	Not applicable	J4250	RNA-seq	rep1	HL-60 cells	DMSO	HL_60.DMSO.NA
SAMN07411144	SRR5863494	2018-03-03T12:41:06Z	2017-07-24T17:06:39Z	15844710	1584471000	15844710	100	717		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863494/SRR5863494.1	SRX3032032		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380879	simple	9606	Homo sapiens	GSM2716743							no					GEO	SRA590769		public	46E20875D9E15794DCE21B48D4D1C806	9CCF62D2B231CC2743636BD4AB56861F	7411144	RNAseq_HL-60_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4254	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380879	GSM2716743	Not applicable	J4254	RNA-seq	rep2	HL-60 cells	DMSO	HL_60.DMSO.NA
SAMN07411175	SRR5863495	2018-03-03T12:41:06Z	2017-07-24T17:07:53Z	11659472	1165947200	11659472	100	513		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863495/SRR5863495.1	SRX3032033		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380878	simple	9606	Homo sapiens	GSM2716744							no					GEO	SRA590769		public	4A4C68D1E845CEBA866D04D574D9C857	FFB602C1C0D4CD2E89A07D1044143762	7411175	RNAseq_KASUMI-1_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4227	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380878	GSM2716744	Not applicable	J4227	RNA-seq	rep1	KASUMI-1 cells	BI00894999, 35nM, 4h	KASUMI_1.BI00894999.35nM
SAMN07411174	SRR5863496	2018-03-03T12:41:06Z	2017-07-24T17:07:07Z	10627758	1062775800	10627758	100	466		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863496/SRR5863496.1	SRX3032034		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380880	simple	9606	Homo sapiens	GSM2716745							no					GEO	SRA590769		public	BCD599ACDEFAB8A3B5FE842B6F06AA26	0B35EBA2518B53765C192FBBE2E77165	7411174	RNAseq_KASUMI-1_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4231	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380880	GSM2716745	Not applicable	J4231	RNA-seq	rep2	KASUMI-1 cells	BI00894999, 35nM, 4h	KASUMI_1.BI00894999.35nM
SAMN07411173	SRR5863497	2018-03-03T12:41:06Z	2017-07-24T17:06:20Z	11438008	1143800800	11438008	100	499		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863497/SRR5863497.1	SRX3032035		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380882	simple	9606	Homo sapiens	GSM2716746							no					GEO	SRA590769		public	FFED69B0A5D529944E7DB6E8542074DA	55F1FC636A5F5B2F622CAF88E1C1117F	7411173	RNAseq_KASUMI-1_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4226	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380882	GSM2716746	Not applicable	J4226	RNA-seq	rep1	KASUMI-1 cells	DMSO	KASUMI_1.DMSO.NA
SAMN07411171	SRR5863498	2018-03-03T12:41:06Z	2017-07-24T17:06:58Z	15066085	1506608500	15066085	100	656		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863498/SRR5863498.1	SRX3032036		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380881	simple	9606	Homo sapiens	GSM2716747							no					GEO	SRA590769		public	1F3DE23CBC4FFA20FE71AB861DC3B5AE	4ABD8F2BBC99251CD3602C0B9F7F7CFB	7411171	RNAseq_KASUMI-1_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4230	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380881	GSM2716747	Not applicable	J4230	RNA-seq	rep2	KASUMI-1 cells	DMSO	KASUMI_1.DMSO.NA
SAMN07411143	SRR5863499	2018-03-03T12:41:06Z	2017-07-24T17:08:25Z	11792702	1179270200	11792702	100	543		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863499/SRR5863499.1	SRX3032037		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380883	simple	9606	Homo sapiens	GSM2716748							no					GEO	SRA590769		public	E5AE837EFC71193C43D1C0A68E8D03AB	9EF96ED1132BAF84764593D74F6550E7	7411143	RNAseq_MOLM-13_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4242	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380883	GSM2716748	Not applicable	J4242	RNA-seq	rep1	MOLM-13 cells	BI00894999, 35nM, 4h	MOLM_13.BI00894999.35nM
SAMN07411142	SRR5863500	2018-03-03T12:41:06Z	2017-07-24T17:09:28Z	15534048	1553404800	15534048	100	713		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863500/SRR5863500.1	SRX3032038		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380884	simple	9606	Homo sapiens	GSM2716749							no					GEO	SRA590769		public	2D3358CFB2ED819F04A244726E4FF820	09E3E34DE89AF0691BF4392E930AEBF8	7411142	RNAseq_MOLM-13_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4246	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380884	GSM2716749	Not applicable	J4246	RNA-seq	rep2	MOLM-13 cells	BI00894999, 35nM, 4h	MOLM_13.BI00894999.35nM
SAMN07411204	SRR5863501	2018-03-03T12:41:06Z	2017-07-24T17:06:32Z	14541225	1454122500	14541225	100	664		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863501/SRR5863501.1	SRX3032039		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380885	simple	9606	Homo sapiens	GSM2716750							no					GEO	SRA590769		public	5A7120CF412C341D240D64AC2415D41E	FC73CDFBF57E2D49633480A0A5789F86	7411204	RNAseq_MOLM-13_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4249	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380885	GSM2716750	Not applicable	J4249	RNA-seq	rep1	MOLM-13 cells	DMSO	MOLM_13.DMSO.NA
SAMN07411203	SRR5863502	2018-03-03T12:41:06Z	2017-07-24T17:12:05Z	25769395	2576939500	25769395	100	1174		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863502/SRR5863502.1	SRX3032040		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380886	simple	9606	Homo sapiens	GSM2716751							no					GEO	SRA590769		public	CB0703EB2CE27C3853BF0B47A3D32120	12CCA81F34CAC9F3390EBAA32F2A4881	7411203	RNAseq_MOLM-13_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4245	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380886	GSM2716751	Not applicable	J4245	RNA-seq	rep2	MOLM-13 cells	DMSO	MOLM_13.DMSO.NA
SAMN07411201	SRR5863503	2018-03-03T12:41:06Z	2017-07-24T17:07:50Z	22014220	2201422000	22014220	100	1014		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863503/SRR5863503.1	SRX3032041		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380889	simple	9606	Homo sapiens	GSM2716752							no					GEO	SRA590769		public	54FFB56A94CF4A67880E045BE13F77D0	CDE2D97C3D2DD260C96B5258E9E8C5E5	7411201	RNAseq_MV-4-11-B_NA_BI00894999_1000nM_4h_NA_NA_NA_rep1_J3914	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380889	GSM2716752	Not applicable	J3914	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 1000nM, 4h	MV_4_11_B.BI00894999.1000nM
