accession	uid	title	organization	taxonomy	sra	geo	chip antibody	internal id	method	replicate	source_name	treatment
SAMN07411134	7411134	RNAseq_MV-4-11-B_NA_DMSO_NA_NA_NA_NA_NA_rep2_J3915	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380901	GSM2716766	Not applicable	J3915	RNA-seq	rep2	MV-4-11-B cells	DMSO
SAMN07411135	7411135	RNAseq_MV-4-11-B_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4194	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380902	GSM2716765	Not applicable	J4194	RNA-seq	rep1	MV-4-11-B cells	DMSO
SAMN07411142	7411142	RNAseq_MOLM-13_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4246	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380884	GSM2716749	Not applicable	J4246	RNA-seq	rep2	MOLM-13 cells	BI00894999, 35nM, 4h
SAMN07411143	7411143	RNAseq_MOLM-13_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4242	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380883	GSM2716748	Not applicable	J4242	RNA-seq	rep1	MOLM-13 cells	BI00894999, 35nM, 4h
SAMN07411144	7411144	RNAseq_HL-60_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4254	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380879	GSM2716743	Not applicable	J4254	RNA-seq	rep2	HL-60 cells	DMSO
SAMN07411145	7411145	RNAseq_MV-4-11-B_NA_BI00894999_1nM_4h_NA_NA_NA_rep1_J3911	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380891	GSM2716756	Not applicable	J3911	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 1nM, 4h
SAMN07411146	7411146	RNAseq_MV-4-11-B_NA_BI00894999_100nM_4h_NA_NA_NA_rep1_J3913	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380890	GSM2716754	Not applicable	J3913	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 100nM, 4h
SAMN07411171	7411171	RNAseq_KASUMI-1_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4230	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380881	GSM2716747	Not applicable	J4230	RNA-seq	rep2	KASUMI-1 cells	DMSO
SAMN07411173	7411173	RNAseq_KASUMI-1_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4226	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380882	GSM2716746	Not applicable	J4226	RNA-seq	rep1	KASUMI-1 cells	DMSO
SAMN07411174	7411174	RNAseq_KASUMI-1_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4231	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380880	GSM2716745	Not applicable	J4231	RNA-seq	rep2	KASUMI-1 cells	BI00894999, 35nM, 4h
SAMN07411175	7411175	RNAseq_KASUMI-1_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4227	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380878	GSM2716744	Not applicable	J4227	RNA-seq	rep1	KASUMI-1 cells	BI00894999, 35nM, 4h
SAMN07411176	7411176	RNAseq_HL-60_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4250	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380875	GSM2716742	Not applicable	J4250	RNA-seq	rep1	HL-60 cells	DMSO
SAMN07411177	7411177	RNAseq_MV-4-11-B_NA_DMSO_NA_NA_NA_NA_NA_rep1_J3910	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380900	GSM2716764	Not applicable	J3910	RNA-seq	rep1	MV-4-11-B cells	DMSO
SAMN07411178	7411178	RNAseq_MV-4-11-B_NA_EX00101218_5uM_4h_NA_NA_NA_rep1_J4196	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380904	GSM2716768	Not applicable	J4196	RNA-seq	rep1	MV-4-11-B cells	EX00101218, 5uM, 4h
SAMN07411179	7411179	RNAseq_MV-4-11-B_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4202	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380903	GSM2716767	Not applicable	J4202	RNA-seq	rep2	MV-4-11-B cells	DMSO
