accession	uid	title	organization	taxonomy	sra	geo	ID	age	biomaterial_provider	cell_line	disease	isolate	sex	tissue	treatment
SAMN07445216	7445216	KCL22 parental cellline, untreated, sample #1	University of Glasgow	9606	Sample name: KCL22 NDC 1	SRA: SRS2403276	KCL22 NDC 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445217	7445217	KCL22 parental cellline, untreated, sample #2	University of Glasgow	9606	Sample name: KCL22 NDC 2	SRA: SRS2403275	KCL22 NDC 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445218	7445218	KCL22 parental cellline, untreated, sample #3	University of Glasgow	9606	Sample name: KCL22 NDC 3	SRA: SRS2403271	KCL22 NDC 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445219	7445219	KCL22 parental cellline, untreated, sample #4	University of Glasgow	9606	Sample name: KCL22 NDC 4	SRA: SRS2403268	KCL22 NDC 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445220	7445220	KCL22 parental cellline, treated with 100nM Ponatinib (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22 PON 1	SRA: SRS2403273	KCL22 PON 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)
SAMN07445221	7445221	KCL22 parental cellline, treated with 100nM Ponatinib (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22 PON 2	SRA: SRS2403270	KCL22 PON 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)
SAMN07445222	7445222	KCL22 parental cellline, treated with 100nM Ponatinib (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22 PON 3	SRA: SRS2403269	KCL22 PON 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)
SAMN07445223	7445223	KCL22 parental cellline, treated with 100nM Ponatinib (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22 PON 4	SRA: SRS2403281	KCL22 PON 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)
SAMN07445224	7445224	KCL22 Pon-Res cellline, untreated, sample #1	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 1	SRA: SRS2403280	KCL22Pon-Res NDC 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445225	7445225	KCL22 Pon-Res cellline, untreated, sample #2	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 2	SRA: SRS2403267	KCL22Pon-Res NDC 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445226	7445226	KCL22 Pon-Res cellline, untreated, sample #3	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 3	SRA: SRS2403278	KCL22Pon-Res NDC 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445227	7445227	KCL22 Pon-Res cellline, untreated, sample #4	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 4	SRA: SRS2403277	KCL22Pon-Res NDC 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445228	7445228	KCL22 Pon-Res cellline, treated with 100nM Ponatinib (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22Pon-Res PON 1	SRA: SRS2403266	KCL22Pon-Res PON 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)
SAMN07445229	7445229	KCL22 Pon-Res cellline, treated with 100nM Ponatinib (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22Pon-Res PON 2	SRA: SRS2403279	KCL22Pon-Res PON 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)
SAMN07445230	7445230	KCL22 Pon-Res cellline, treated with 100nM Ponatinib (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22Pon-Res PON 3	SRA: SRS2403274	KCL22Pon-Res PON 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)
SAMN07445231	7445231	KCL22 Pon-Res cellline, treated with 100nM Ponatinib (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22Pon-Res PON 4	SRA: SRS2403272	KCL22Pon-Res PON 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)
SAMN07445452	7445452	KCL22 parental cellline, untreated, sample #5	University of Glasgow	9606	Sample name: KCL22 NDC 5	SRA: SRS2403787	KCL22 NDC 5	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445453	7445453	KCL22 parental cellline, untreated, sample #6	University of Glasgow	9606	Sample name: KCL22 NDC 6	SRA: SRS2403786	KCL22 NDC 6	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445454	7445454	KCL22 parental cellline, untreated, sample #7	University of Glasgow	9606	Sample name: KCL22 NDC 7	SRA: SRS2403785	KCL22 NDC 7	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445455	7445455	KCL22 parental cellline, untreated, sample #8	University of Glasgow	9606	Sample name: KCL22 NDC 8	SRA: SRS2403784	KCL22 NDC 8	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445456	7445456	KCL22 parental cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22 BEZ 1	SRA: SRS2403791	KCL22 BEZ 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)
SAMN07445457	7445457	KCL22 parental cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22 BEZ 2	SRA: SRS2403790	KCL22 BEZ 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)
SAMN07445458	7445458	KCL22 parental cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22 BEZ 3	SRA: SRS2403789	KCL22 BEZ 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)
SAMN07445459	7445459	KCL22 parental cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22 BEZ 4	SRA: SRS2403788	KCL22 BEZ 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)
SAMN07445460	7445460	KCL22 parental cellline, treated with 100nM NVP-BEZ235 and 100nM Ponatinib (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22 PON+BEZ 1	SRA: SRS2403793	KCL22 PON+BEZ 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)
SAMN07445461	7445461	KCL22 parental cellline, treated with 100nM NVP-BEZ235 and 100nM Ponatinib (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22 PON+BEZ 2	SRA: SRS2403792	KCL22 PON+BEZ 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)
SAMN07445462	7445462	KCL22 parental cellline, treated with 100nM NVP-BEZ235 and 100nM Ponatinib (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22 PON+BEZ 3	SRA: SRS2403795	KCL22 PON+BEZ 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)
SAMN07445463	7445463	KCL22 parental cellline, treated with 100nM NVP-BEZ235 and 100nM Ponatinib (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22 PON+BEZ 4	SRA: SRS2403794	KCL22 PON+BEZ 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)
SAMN07445464	7445464	KCL22 Pon-Res cellline, untreated, sample #5	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 5	SRA: SRS2403797	KCL22Pon-Res NDC 5	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445465	7445465	KCL22 Pon-Res cellline, untreated, sample #6	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 6	SRA: SRS2403796	KCL22Pon-Res NDC 6	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445466	7445466	KCL22 Pon-Res cellline, untreated, sample #7	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 7	SRA: SRS2403799	KCL22Pon-Res NDC 7	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445467	7445467	KCL22 Pon-Res cellline, untreated, sample #8	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 8	SRA: SRS2403798	KCL22Pon-Res NDC 8	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC
SAMN07445468	7445468	KCL22 Pon-Res cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22Pon-Res BEZ 1	SRA: SRS2403801	KCL22Pon-Res BEZ 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)
SAMN07445469	7445469	KCL22 Pon-Res cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22Pon-Res BEZ 2	SRA: SRS2403800	KCL22Pon-Res BEZ 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)
SAMN07445470	7445470	KCL22 Pon-Res cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22Pon-Res BEZ 3	SRA: SRS2403803	KCL22Pon-Res BEZ 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)
SAMN07445471	7445471	KCL22 Pon-Res cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22Pon-Res BEZ 4	SRA: SRS2403802	KCL22Pon-Res BEZ 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)
SAMN07445472	7445472	KCL22 Pon-Res cellline, treated with 100nM BEZ and 100nM Ponatinib (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22Pon-Res PON+BEZ 1	SRA: SRS2403780	KCL22Pon-Res PON+BEZ 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)
