accession	uid	title	organization	taxonomy	sra	geo	internal id	method	replicate	source_name	treatment
SAMN07555356	7555356	BI00894999_35nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464722	GSM2753270	J2760	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 24h
SAMN07555357	7555357	BI00894999_1nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464715	GSM2753263	J2723	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 1nM, 4h
SAMN07555358	7555358	BI00894999_35nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464721	GSM2753269	J2752	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 24h
SAMN07555359	7555359	BI00894999_1nM_4h_Volasertib_20nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464720	GSM2753268	J2742	RNA-seq	rep3	MV-4-11-B cells	BI00894999, 1nM, 4h and Volasertib, 20nM, 4h
SAMN07555360	7555360	BI00894999_1nM_4h_Volasertib_20nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464719	GSM2753267	J2733	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 1nM, 4h and Volasertib, 20nM, 4h
SAMN07555361	7555361	BI00894999_1nM_4h_Volasertib_20nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464718	GSM2753266	J2724	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 1nM, 4h and Volasertib, 20nM, 4h
SAMN07555362	7555362	BI00894999_1nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464717	GSM2753265	J2741	RNA-seq	rep3	MV-4-11-B cells	BI00894999, 1nM, 4h
SAMN07555363	7555363	BI00894999_1nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464716	GSM2753264	J2732	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 1nM, 4h
SAMN07555364	7555364	BI00894999_1nM_24h_Volasertib_20nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464713	GSM2753261	J2759	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 1nM, 24h and Volasertib, 20nM, 24h
SAMN07555365	7555365	BI00894999_1nM_24h_Volasertib_20nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464712	GSM2753260	J2751	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 1nM, 24h and Volasertib, 20nM, 24h
SAMN07555366	7555366	BI00894999_1nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464711	GSM2753259	J2766	RNA-seq	rep3	MV-4-11-B cells	BI00894999, 1nM, 24h
SAMN07555367	7555367	BI00894999_1nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464710	GSM2753258	J2758	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 1nM, 24h
SAMN07555368	7555368	BI00894999_1nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464709	GSM2753257	J2750	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 1nM, 24h
SAMN07555369	7555369	BI00894999_1nM_24h_Volasertib_20nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464714	GSM2753262	J2767	RNA-seq	rep3	MV-4-11-B cells	BI00894999, 1nM, 24h and Volasertib, 20nM, 24h
SAMN07555370	7555370	Volasertib_20nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464744	GSM2753292	J2745	RNA-seq	rep3	MV-4-11-B cells	Volasertib, 20nM, 4h
SAMN07555371	7555371	Volasertib_20nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464743	GSM2753291	J2736	RNA-seq	rep2	MV-4-11-B cells	Volasertib, 20nM, 4h
SAMN07555372	7555372	Volasertib_20nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464741	GSM2753290	J2727	RNA-seq	rep1	MV-4-11-B cells	Volasertib, 20nM, 4h
SAMN07555373	7555373	Volasertib_20nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464742	GSM2753289	J2876	RNA-seq	rep3	MV-4-11-B cells	Volasertib, 20nM, 24h
SAMN07555374	7555374	Volasertib_20nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464740	GSM2753288	J2775	RNA-seq	rep2	MV-4-11-B cells	Volasertib, 20nM, 24h
SAMN07555375	7555375	Volasertib_20nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464739	GSM2753287	J2754	RNA-seq	rep1	MV-4-11-B cells	Volasertib, 20nM, 24h
SAMN07555376	7555376	DMSO_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464737	GSM2753285	J2731	RNA-seq	rep2	MV-4-11-B cells	DMSO, 4h
SAMN07555377	7555377	DMSO_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464736	GSM2753284	J2722	RNA-seq	rep1	MV-4-11-B cells	DMSO, 4h
SAMN07555378	7555378	DMSO_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464735	GSM2753283	J2765	RNA-seq	rep3	MV-4-11-B cells	DMSO, 24h
SAMN07555379	7555379	DMSO_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464734	GSM2753282	J2757	RNA-seq	rep2	MV-4-11-B cells	DMSO, 24h
