BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	disease state	gender	source_name	treatment	group
SAMN07775183	SRR6159235	2018-10-26T16:18:29Z	2017-10-11T15:35:13Z	17389283	869464150	0	50	316		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159235/SRR6159235.1	SRX3270872		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582481	simple	9606	Homo sapiens	GSM2808531							no					GEO	SRA618760		public	B641A06A841CEBC9A350CF34CC111538	CCF9D80D52606544CF6E0CBED77BFB71	7775183	DMSO_2hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582481	GSM2808531	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_2hr	dmso..2
SAMN07775183	SRR6159236	2018-10-26T16:18:29Z	2017-10-11T15:33:19Z	17291961	864598050	0	50	313		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR6159236/SRR6159236.1	SRX3270872		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582481	simple	9606	Homo sapiens	GSM2808531							no					GEO	SRA618760		public	42226B83010A070E073360D63C46420D	D859F8C57890F694C2C5E24726920232	7775183	DMSO_2hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582481	GSM2808531	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_2hr	dmso..2
SAMN07775182	SRR6159237	2018-10-26T16:18:29Z	2017-10-11T15:35:29Z	17892313	894615650	0	50	327		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159237/SRR6159237.1	SRX3270873		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582482	simple	9606	Homo sapiens	GSM2808532							no					GEO	SRA618760		public	10A43458C0D8F2E3D410355019D0544B	71DDFA12D5D0CA81889A7F42A4EEBFC6	7775182	DMSO_2hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582482	GSM2808532	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_2hr	dmso..2
SAMN07775182	SRR6159238	2018-10-26T16:18:29Z	2017-10-11T15:35:50Z	17812944	890647200	0	50	324		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159238/SRR6159238.1	SRX3270873		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582482	simple	9606	Homo sapiens	GSM2808532							no					GEO	SRA618760		public	6B9A96F2FC1A3EE2D9CC5792C158A795	614B233A414DC29BE0D3B3A975AB9017	7775182	DMSO_2hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582482	GSM2808532	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_2hr	dmso..2
SAMN07775181	SRR6159239	2018-10-26T16:18:29Z	2017-10-11T15:37:18Z	22123682	1106184100	0	50	424		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR6159239/SRR6159239.1	SRX3270874		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582483	simple	9606	Homo sapiens	GSM2808533							no					GEO	SRA618760		public	2D75915FB6A76972C0D2F75EFA4E4CED	205996C0FC18FBB017C8EB566E563671	7775181	DMSO_2hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582483	GSM2808533	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_2hr	dmso..2
SAMN07775181	SRR6159240	2018-10-26T16:18:29Z	2017-10-11T15:37:26Z	22224633	1111231650	0	50	424		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159240/SRR6159240.1	SRX3270874		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582483	simple	9606	Homo sapiens	GSM2808533							no					GEO	SRA618760		public	54E3E8E14397F68F7D534C311E3697AD	26465E2B0897B9057DB781B58DBBF040	7775181	DMSO_2hr_3	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582483	GSM2808533	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	DMSO_2hr	dmso..2
SAMN07775180	SRR6159241	2018-10-26T16:18:29Z	2017-10-11T15:39:52Z	33729243	1686462150	0	50	643		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159241/SRR6159241.1	SRX3270875		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582484	simple	9606	Homo sapiens	GSM2808534							no					GEO	SRA618760		public	18C451776F2138326D35F38A80890CCD	A11C867F1D295DE85E9A87D22E9E2817	7775180	HH1_10uM_2hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582484	GSM2808534	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_2hr	hh1.10uM.2
SAMN07775180	SRR6159242	2018-10-26T16:18:29Z	2017-10-11T15:45:01Z	33881310	1694065500	0	50	642		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159242/SRR6159242.1	SRX3270875		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582484	simple	9606	Homo sapiens	GSM2808534							no					GEO	SRA618760		public	77BA6FF860E1880EDAF441A70B9F04F8	5B87D01EACD711FEEF13A4E1C73CDAEE	7775180	HH1_10uM_2hr_1	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582484	GSM2808534	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_2hr	hh1.10uM.2
SAMN07775179	SRR6159243	2018-10-26T16:18:29Z	2017-10-11T15:31:05Z	15452213	772610650	0	50	300		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159243/SRR6159243.1	SRX3270876		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582485	simple	9606	Homo sapiens	GSM2808535							no					GEO	SRA618760		public	FBA00864A159DA7D923A3B8D704FD9D5	52BC95C11F9CBFD11E50AC60925ECE9C	7775179	HH1_10uM_2hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582485	GSM2808535	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_2hr	hh1.10uM.2
SAMN07775179	SRR6159244	2018-10-26T16:18:29Z	2017-10-11T15:31:21Z	15630266	781513300	0	50	302		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6159244/SRR6159244.1	SRX3270876		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119776	PRJNA413957	3	413957	SRS2582485	simple	9606	Homo sapiens	GSM2808535							no					GEO	SRA618760		public	0BE7E24D13AB3E791BB26B634B66D675	C27C6D50763299E243D2CE9AFA15DC58	7775179	HH1_10uM_2hr_2	Jean-Pierre Issa's lab, Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS2582485	GSM2808535	colon cancer cell line	Dukes' type C, grade IV, colorectal adenocarcinoma	female	YB5 colon cancer cell line	HH1_10uM_2hr	hh1.10uM.2
