BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	mycn status	source_name	tp53 status	treatment
SAMN07780231	SRR6166454	2019-10-31T16:49:07Z	2017-10-12T19:07:28Z	40831248	8166249600	40831248	200	2571		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166454.sralite.1	SRX3277325		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588600	simple	9606	Homo sapiens	GSM2810007							no					GEO	SRA619438		public	C4CADC001239A2FBC07840349418EF84	4A46C5011F3F8BDA5B077789D61455F0	7780231	NB1691_TMZ_72hr_n=3	Bioinformatics Support Unit, Newcastle University	9606	SRS2588600	GSM2810007	NB1691	MYCN amplified	Neuroblastoma	WT	Temozolomide 72h
SAMN07780232	SRR6166453	2019-10-31T16:49:07Z	2017-10-12T19:04:02Z	37110184	7422036800	37110184	200	2699		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166453.sralite.1	SRX3277324		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588599	simple	9606	Homo sapiens	GSM2810006							no					GEO	SRA619438		public	0C388FFC28E6E6105938F9C5C9FA68E5	798AFE76DA7CD44C20FE746030879598	7780232	NB1691_TMZ_72hr_n=2	Bioinformatics Support Unit, Newcastle University	9606	SRS2588599	GSM2810006	NB1691	MYCN amplified	Neuroblastoma	WT	Temozolomide 72h
SAMN07780233	SRR6166452	2019-10-31T16:49:07Z	2017-10-12T19:14:34Z	43691140	8738228000	43691140	200	2930		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166452.sralite.1	SRX3277323		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588598	simple	9606	Homo sapiens	GSM2810005							no					GEO	SRA619438		public	7E091DA3192A2346B80C67F85F925C22	33DDA0EE860AA30EBCF59E88841AD71D	7780233	NB1691_TMZ_72hr_n=1	Bioinformatics Support Unit, Newcastle University	9606	SRS2588598	GSM2810005	NB1691	MYCN amplified	Neuroblastoma	WT	Temozolomide 72h
SAMN07780234	SRR6166451	2019-10-31T16:49:07Z	2017-10-12T19:03:31Z	32453709	6490741800	32453709	200	2179		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166451.sralite.1	SRX3277322		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588597	simple	9606	Homo sapiens	GSM2810004							no					GEO	SRA619438		public	1B5A5094711E3A0214A3153DC82C94DF	B5613B7F66B8E0DFA7C957D0743EB7F1	7780234	NB1691_TMZ_24hr_n=3	Bioinformatics Support Unit, Newcastle University	9606	SRS2588597	GSM2810004	NB1691	MYCN amplified	Neuroblastoma	WT	Temozolomide 24h
SAMN07780235	SRR6166450	2019-10-31T16:49:07Z	2017-10-12T19:19:53Z	45952345	9190469000	45952345	200	3108		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166450.sralite.1	SRX3277321		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588596	simple	9606	Homo sapiens	GSM2810003							no					GEO	SRA619438		public	A6B08F942217CF2E1E9281C2053D7B3E	E8BA031BFDC18F86F8BE440F98F0D674	7780235	NB1691_TMZ_24hr_n=2	Bioinformatics Support Unit, Newcastle University	9606	SRS2588596	GSM2810003	NB1691	MYCN amplified	Neuroblastoma	WT	Temozolomide 24h
SAMN07780236	SRR6166449	2019-10-31T16:49:07Z	2017-10-12T19:06:43Z	31419705	6283941000	31419705	200	2262		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166449.sralite.1	SRX3277320		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588595	simple	9606	Homo sapiens	GSM2810002							no					GEO	SRA619438		public	19D42CA95130F253C033CA7C12BF1A03	DCCAAF4D8A20ECE34BD5CFA3B4E39AFF	7780236	NB1691_TMZ_24hr_n=1	Bioinformatics Support Unit, Newcastle University	9606	SRS2588595	GSM2810002	NB1691	MYCN amplified	Neuroblastoma	WT	Temozolomide 24h
SAMN07780237	SRR6166448	2019-10-31T16:49:07Z	2017-10-12T19:06:07Z	37482615	7496523000	37482615	200	2512		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166448.sralite.1	SRX3277319		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588594	simple	9606	Homo sapiens	GSM2810001							no					GEO	SRA619438		public	A7E418BE6D12A46241B100FFA24A48CE	B0F8E4930C2F54F6061ED772EE3A21E6	7780237	NB1691_R+T_72hr_n=3	Bioinformatics Support Unit, Newcastle University	9606	SRS2588594	GSM2810001	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 + Temozolomide 72h
SAMN07780238	SRR6166447	2019-10-31T16:49:07Z	2017-10-12T19:02:18Z	27428728	5485745600	27428728	200	1868		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166447.sralite.1	SRX3277318		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588593	simple	9606	Homo sapiens	GSM2810000							no					GEO	SRA619438		public	EFD60D53F70D889389F6AA931B810D8B	0C2B8750F0C4276475AAD32E4AC57EE7	7780238	NB1691_R+T_72hr_n=2	Bioinformatics Support Unit, Newcastle University	9606	SRS2588593	GSM2810000	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 + Temozolomide 72h
SAMN07780239	SRR6166446	2019-10-31T16:49:07Z	2017-10-12T19:01:38Z	28487629	5697525800	28487629	200	1930		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166446.sralite.1	SRX3277317		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588592	simple	9606	Homo sapiens	GSM2809999							no					GEO	SRA619438		public	1D3B792A4FF37E2CD8656AA1C9B3A574	FD37752FE4F2B9D40880FCE5F481EB2C	7780239	NB1691_R+T_72hr_n=1	Bioinformatics Support Unit, Newcastle University	9606	SRS2588592	GSM2809999	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 + Temozolomide 72h
SAMN07780240	SRR6166445	2019-10-31T16:49:07Z	2017-10-12T19:02:18Z	36915369	7383073800	36915369	200	2334		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166445.sralite.1	SRX3277316		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588591	simple	9606	Homo sapiens	GSM2809998							no					GEO	SRA619438		public	B9A90CD682B03705D68CC6711EEA5C10	26CC632E76CF3A723E1BDA056ADF5DD3	7780240	NB1691_R+T_24hr_n=3	Bioinformatics Support Unit, Newcastle University	9606	SRS2588591	GSM2809998	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 + Temozolomide 24h
SAMN07780241	SRR6166444	2019-10-31T16:49:07Z	2017-10-12T19:02:07Z	27495038	5499007600	27495038	200	2015		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166444.sralite.1	SRX3277315		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588590	simple	9606	Homo sapiens	GSM2809997							no					GEO	SRA619438		public	AC08B8ADC92DA7043F047CAD0BB12D7F	05349A35B97ACED6CF69A0E98AA0FCEE	7780241	NB1691_R+T_24hr_n=2	Bioinformatics Support Unit, Newcastle University	9606	SRS2588590	GSM2809997	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 + Temozolomide 24h
SAMN07780242	SRR6166443	2019-10-31T16:49:07Z	2017-10-12T19:01:51Z	29795386	5959077200	29795386	200	2033		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166443.sralite.1	SRX3277314		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588589	simple	9606	Homo sapiens	GSM2809996							no					GEO	SRA619438		public	84802400F9B1A4986E9CFEE6F2B4C99A	705A8F7817F34901AC12951C1CFE966D	7780242	NB1691_R+T_24hr_n=1	Bioinformatics Support Unit, Newcastle University	9606	SRS2588589	GSM2809996	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 + Temozolomide 24h
SAMN07780243	SRR6166442	2019-10-31T16:49:07Z	2017-10-12T19:19:36Z	56547441	11309488200	56547441	200	4059		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166442.sralite.1	SRX3277313		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588588	simple	9606	Homo sapiens	GSM2809995							no					GEO	SRA619438		public	11EDFE0AEE912A5BCA806A64248E84BB	DCE7F9FB4C0C7A8455ABA64F09C2AE37	7780243	NB1691_RG_72hr_n=3	Bioinformatics Support Unit, Newcastle University	9606	SRS2588588	GSM2809995	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 72h
SAMN07780244	SRR6166441	2019-10-31T16:49:07Z	2017-10-12T19:09:46Z	31956215	6391243000	31956215	200	2158		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166441.sralite.1	SRX3277312		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588587	simple	9606	Homo sapiens	GSM2809994							no					GEO	SRA619438		public	0297AF12C6BF42A0637039FBFD693345	B27368584C187CE9E955B6F522B2A5B2	7780244	NB1691_RG_72hr_n=2	Bioinformatics Support Unit, Newcastle University	9606	SRS2588587	GSM2809994	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 72h
SAMN07780245	SRR6166440	2019-10-31T16:49:07Z	2017-10-12T18:59:58Z	28548308	5709661600	28548308	200	1924		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166440.sralite.1	SRX3277311		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588586	simple	9606	Homo sapiens	GSM2809993							no					GEO	SRA619438		public	63496CCD21F0CE005DD0E74587A2B37D	08132E1A8F81889C51A089596AD1912D	7780245	NB1691_RG_72hr_n=1	Bioinformatics Support Unit, Newcastle University	9606	SRS2588586	GSM2809993	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 72h
SAMN07780246	SRR6166439	2019-10-31T16:49:07Z	2017-10-12T19:01:22Z	26080009	5216001800	26080009	200	1772		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166439.sralite.1	SRX3277310		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588585	simple	9606	Homo sapiens	GSM2809992							no					GEO	SRA619438		public	008DAEFAD4F0B012339B0832B6799FE4	C4D018C4D4A77FC84F6C38A6412D3253	7780246	NB1691_RG_24hr_n=3	Bioinformatics Support Unit, Newcastle University	9606	SRS2588585	GSM2809992	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 24h
SAMN07780247	SRR6166438	2019-10-31T16:49:07Z	2017-10-12T19:09:43Z	52925639	10585127800	52925639	200	3716		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166438.sralite.1	SRX3277309		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588584	simple	9606	Homo sapiens	GSM2809991							no					GEO	SRA619438		public	2450904C508BA7C01DC2C4895BB2EAE7	F0A898196036600D5F58CC6A8387AFC7	7780247	NB1691_RG_24hr_n=2	Bioinformatics Support Unit, Newcastle University	9606	SRS2588584	GSM2809991	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 24h
SAMN07780248	SRR6166437	2019-10-31T16:49:07Z	2017-10-12T19:04:54Z	33886055	6777211000	33886055	200	2317		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166437.sralite.1	SRX3277308		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588583	simple	9606	Homo sapiens	GSM2809990							no					GEO	SRA619438		public	F5E27A5BE474682AC6EDA9ECE7972741	0858CA187B7320D71EF14E03AB9C1F11	7780248	NB1691_RG_24hr_n=1	Bioinformatics Support Unit, Newcastle University	9606	SRS2588583	GSM2809990	NB1691	MYCN amplified	Neuroblastoma	WT	RG7388 24h
SAMN07780249	SRR6166436	2019-10-31T16:49:07Z	2017-10-12T18:58:43Z	24873326	4974665200	24873326	200	1765		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166436.sralite.1	SRX3277307		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588582	simple	9606	Homo sapiens	GSM2809989							no					GEO	SRA619438		public	D66F24B994D22BB7FE0E48C4973A34EF	05DF0E33B1D4536B9958DD2E89B56651	7780249	NB1691_DMSO_72hr_n=3	Bioinformatics Support Unit, Newcastle University	9606	SRS2588582	GSM2809989	NB1691	MYCN amplified	Neuroblastoma	WT	DMSO 72h
SAMN07780250	SRR6166435	2019-10-31T16:49:07Z	2017-10-12T19:09:17Z	46438692	9287738400	46438692	200	3095		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166435.sralite.1	SRX3277306		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588581	simple	9606	Homo sapiens	GSM2809988							no					GEO	SRA619438		public	8E5489A94EE405BCF92B9E6F1EF29ABC	BC6693F71B2AEE63C0C7E3E9EE5CC4B5	7780250	NB1691_DMSO_72hr_n=2	Bioinformatics Support Unit, Newcastle University	9606	SRS2588581	GSM2809988	NB1691	MYCN amplified	Neuroblastoma	WT	DMSO 72h
SAMN07780251	SRR6166434	2019-10-31T16:49:07Z	2017-10-12T19:02:36Z	31076304	6215260800	31076304	200	2250		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/166/SRR6166434.sralite.1	SRX3277305		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119874	PRJNA414128	3	414128	SRS2588580	simple	9606	Homo sapiens	GSM2809987							no					GEO	SRA619438		public	75BA46EEBD474014D76D26F7358D9323	6ED132E5ECC3DF86D0B1725BAF63B37B	7780251	NB1691_DMSO_72hr_n=1	Bioinformatics Support Unit, Newcastle University	9606	SRS2588580	GSM2809987	NB1691	MYCN amplified	Neuroblastoma	WT	DMSO 72h
