BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	replicate	source_name	treatment	group
SAMN08045533	SRR6308396	2020-01-01T12:01:15Z	2017-11-20T11:32:11Z	38148660	1945581660	0	51	632		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308396/SRR6308396.1	SRX3408784		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706565	simple	9606	Homo sapiens	GSM2861678							no					GEO	SRA631908		public	919511EE8549F6712FF0F4685AB54E67	180FFB2D3712A4FB2DC5907CF60B9FDB	8045533	A1: control_1	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706565	GSM2861678	K562	CML	1	CML Cell line	control	control
SAMN08045532	SRR6308397	2020-01-01T12:01:15Z	2017-11-20T11:32:46Z	39896482	2034720582	0	51	670		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308397/SRR6308397.1	SRX3408785		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706566	simple	9606	Homo sapiens	GSM2861679							no					GEO	SRA631908		public	E7CF9188A650B408AB6BF9CC16EF865E	1BE946AB5F91358D97960DC9B52603EE	8045532	A2: TNF_1	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706566	GSM2861679	K562	CML	1	CML Cell line	TNF	TNF
SAMN08045531	SRR6308398	2020-01-01T12:01:15Z	2017-11-20T11:33:08Z	31650247	1614162597	0	51	596		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308398/SRR6308398.1	SRX3408786		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706567	simple	9606	Homo sapiens	GSM2861680							no					GEO	SRA631908		public	DB7AF25A2864DAB5BFA42A7FF0C99671	2769D77C5BA3BF50D0C497D5AEFDEE3D	8045531	A3: SG_1	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706567	GSM2861680	K562	CML	1	CML Cell line	SG	SG
SAMN08045530	SRR6308399	2020-01-01T12:01:15Z	2017-11-20T11:39:08Z	47265223	2410526373	0	51	795		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308399/SRR6308399.1	SRX3408787		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706594	simple	9606	Homo sapiens	GSM2861681							no					GEO	SRA631908		public	99EE468CFC3EB394FE06928E935C4533	8336FDCDA0A302FECF3969D2492A2D82	8045530	A4: TNFSG_1	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706594	GSM2861681	K562	CML	1	CML Cell line	TNFSG	TNFSG
SAMN08045529	SRR6308400	2020-01-01T12:01:15Z	2017-11-20T11:32:02Z	36377366	1855245666	0	51	606		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308400/SRR6308400.1	SRX3408788		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706568	simple	9606	Homo sapiens	GSM2861682							no					GEO	SRA631908		public	4685A3668AEDC39638ABCE76C4747A7E	A37DF209CEEA0D537C92F89A7DD3C6BB	8045529	B1: control_2	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706568	GSM2861682	K562	CML	2	CML Cell line	control	control
SAMN08045528	SRR6308401	2020-01-01T12:01:15Z	2017-11-20T11:32:08Z	36471343	1860038493	0	51	607		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308401/SRR6308401.1	SRX3408789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706570	simple	9606	Homo sapiens	GSM2861683							no					GEO	SRA631908		public	D009B28314FE4E5646C88F74B7B17346	62D313490E2FB583E91EA23BDB573E8A	8045528	B2: TNF_2	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706570	GSM2861683	K562	CML	2	CML Cell line	TNF	TNF
SAMN08045527	SRR6308402	2020-01-01T12:01:15Z	2017-11-20T11:30:14Z	32247335	1644614085	0	51	540		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308402/SRR6308402.1	SRX3408790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706569	simple	9606	Homo sapiens	GSM2861684							no					GEO	SRA631908		public	309D8CF6E1F664DEB5BEF6ED02B8EF22	D6F157E698ECC8ECB5578CBD496E33BE	8045527	B3: SG_2	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706569	GSM2861684	K562	CML	2	CML Cell line	SG	SG
SAMN08045526	SRR6308403	2020-01-01T12:01:15Z	2017-11-20T11:31:45Z	33600583	1713629733	0	51	565		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308403/SRR6308403.1	SRX3408791		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706571	simple	9606	Homo sapiens	GSM2861685							no					GEO	SRA631908		public	4A807D594C85E923FDDFB97D999190A0	1142CE03905B4B24877417B9493322A5	8045526	B4: TNFSG_2	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706571	GSM2861685	K562	CML	2	CML Cell line	TNFSG	TNFSG
SAMN08045525	SRR6308404	2020-01-01T12:01:15Z	2017-11-20T11:29:47Z	30505112	1555760712	0	51	514		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308404/SRR6308404.1	SRX3408792		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706580	simple	9606	Homo sapiens	GSM2861686							no					GEO	SRA631908		public	633EBA30AFBB165FDA89BCE168961E7F	08C9827D99025252CC36F8683523D458	8045525	C1: control_3	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706580	GSM2861686	K562	CML	3	CML Cell line	control	control
SAMN08045524	SRR6308405	2020-01-01T12:01:15Z	2017-11-20T11:31:55Z	33267343	1696634493	0	51	559		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6308405/SRR6308405.1	SRX3408793		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP125299	PRJNA419159	3	419159	SRS2706595	simple	9606	Homo sapiens	GSM2861687							no					GEO	SRA631908		public	A7A523FF4370C05ED39CC6AB15F60AE7	2AC74789EA1F4A7F8B5296687F4E442E	8045524	C2: TNF_3	Molecular Oncology, College of Pharmacy, Seoul National University	9606	SRS2706595	GSM2861687	K562	CML	3	CML Cell line	TNF	TNF
