accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	treatment duration
SAMN08196707	8196707	CaCO-2et KRAS G12V treated with DMSO for 1 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764399	GSM2892124	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_DMSO for 1 hrs	DMSO	1 hrs
SAMN08196708	8196708	CaCO-2et KRAS G12V treated with MS-275 for 72 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764417	GSM2892142	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 72 hrs	MS-275	72 hrs
SAMN08196709	8196709	CaCO-2et KRAS G12V treated with MS-275 for 24 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764413	GSM2892138	CaCO-2et KRAS G12V	CaCO-2et KRAS G12V_MS-275 for 24 hrs	MS-275	24 hrs
SAMN08196714	8196714	CaCO-2et KRAS WT treated with MS-275 for 72 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764436	GSM2892163	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 72 hrs	MS-275	72 hrs
SAMN08196715	8196715	CaCO-2et KRAS WT treated with MS-275 for 72 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764437	GSM2892162	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 72 hrs	MS-275	72 hrs
SAMN08196716	8196716	CaCO-2et KRAS WT treated with MS-275 for 72 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764435	GSM2892161	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 72 hrs	MS-275	72 hrs
SAMN08196717	8196717	CaCO-2et KRAS WT treated with DMSO for 72 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764434	GSM2892160	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 72 hrs	DMSO	72 hrs
SAMN08196718	8196718	CaCO-2et KRAS WT treated with DMSO for 72 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764433	GSM2892159	CaCO-2et KRAS WT	CaCO-2et KRAS WT_DMSO for 72 hrs	DMSO	72 hrs
SAMN08196719	8196719	CaCO-2et KRAS WT treated with MS-275 for 24 hrs replicate N3	Charité - Universitätsmedizin Berlin	9606	SRS2764432	GSM2892158	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 24 hrs	MS-275	24 hrs
SAMN08196720	8196720	CaCO-2et KRAS WT treated with MS-275 for 24 hrs replicate N2	Charité - Universitätsmedizin Berlin	9606	SRS2764431	GSM2892157	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 24 hrs	MS-275	24 hrs
SAMN08196721	8196721	CaCO-2et KRAS WT treated with MS-275 for 24 hrs replicate N1	Charité - Universitätsmedizin Berlin	9606	SRS2764430	GSM2892156	CaCO-2et KRAS WT	CaCO-2et KRAS WT_MS-275 for 24 hrs	MS-275	24 hrs
