accession	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	time	tissue	treatment
SAMN08537894	8537894	mtHKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960626	GSM3004846	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 30 mins post stimulation with TGF-alpha	30 mins	Colon	TGF-alpha
SAMN08537895	8537895	mtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960631	GSM3004851	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537896	8537896	mtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960633	GSM3004852	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537897	8537897	mtHKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960628	GSM3004848	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 60 mins post stimulation with TGF-alpha	60 mins	Colon	TGF-alpha
SAMN08537898	8537898	mtHKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960627	GSM3004847	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 30 mins post stimulation with TGF-alpha	30 mins	Colon	TGF-alpha
SAMN08537899	8537899	mtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960632	GSM3004853	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537900	8537900	mtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960634	GSM3004854	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537901	8537901	mtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960635	GSM3004855	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537902	8537902	mtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960636	GSM3004856	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537903	8537903	mtHKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960629	GSM3004849	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 60 mins post stimulation with TGF-alpha	60 mins	Colon	TGF-alpha
