BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	time	tissue	treatment
SAMN08537894	SRR6728277	2019-09-18T15:35:12Z	2018-02-15T08:45:28Z	44875069	4486401044	0	99	1511		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728277/SRR6728277.1	SRX3701197		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960626	simple	9606	Homo sapiens	GSM3004846							no					GEO	SRA659722		public	A1E40F6DED9E5FC5FABD3D2685F1370C	7F8210CB9B5B0CA7BC889072B48E773F	8537894	mtHKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960626	GSM3004846	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 30 mins post stimulation with TGF-alpha	30 mins	Colon	TGF-alpha
SAMN08537895	SRR6728282	2019-09-18T15:35:12Z	2018-02-15T08:46:59Z	31453511	3159341861	0	100	1115		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728282/SRR6728282.1	SRX3701202		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960631	simple	9606	Homo sapiens	GSM3004851							no					GEO	SRA659722		public	828AA463F9454C08D378CF4DADC58076	68C5500F49AAAF4E9E26E59FDE55A214	8537895	mtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960631	GSM3004851	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537896	SRR6728283	2019-09-18T15:35:12Z	2018-02-15T08:51:30Z	50949360	5109233753	0	100	1773		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728283/SRR6728283.1	SRX3701203		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960633	simple	9606	Homo sapiens	GSM3004852							no					GEO	SRA659722		public	1AA96C2BA1B63447D188802F79E6D628	B6776BE726218C6A1730A81D64FFDFAF	8537896	mtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960633	GSM3004852	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537897	SRR6728279	2019-09-18T15:35:12Z	2018-02-15T08:45:25Z	40813216	4073280846	0	99	1364		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728279/SRR6728279.1	SRX3701199		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960628	simple	9606	Homo sapiens	GSM3004848							no					GEO	SRA659722		public	27986AB703B8E78234C523861ABC112D	71236FDE0FA5FD8BFA72747578B46CA1	8537897	mtHKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960628	GSM3004848	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 60 mins post stimulation with TGF-alpha	60 mins	Colon	TGF-alpha
SAMN08537898	SRR6728278	2019-09-18T15:35:12Z	2018-02-15T08:48:44Z	39766585	3923812038	0	98	1328		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728278/SRR6728278.1	SRX3701198		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960627	simple	9606	Homo sapiens	GSM3004847							no					GEO	SRA659722		public	28E5A2CAC7F7F41339DA0390D27635C6	ED133AB09963BE79113338262699492B	8537898	mtHKE3 cells 30 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960627	GSM3004847	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 30 mins post stimulation with TGF-alpha	30 mins	Colon	TGF-alpha
SAMN08537899	SRR6728284	2019-09-18T15:35:12Z	2018-02-15T09:09:50Z	74061994	7437996069	0	100	2607		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728284/SRR6728284.1	SRX3701204		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960632	simple	9606	Homo sapiens	GSM3004853							no					GEO	SRA659722		public	98CF5E56BE79DD14E5BA115474C2F0E3	4C5D7FBC67DA35CBAF82497502A986CF	8537899	mtHKE3 cells 90 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960632	GSM3004853	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 90 mins post stimulation with TGF-alpha	90 mins	Colon	TGF-alpha
SAMN08537900	SRR6728285	2019-09-18T15:35:12Z	2018-02-15T08:56:32Z	67943680	6823783451	0	100	2435		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728285/SRR6728285.1	SRX3701205		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960634	simple	9606	Homo sapiens	GSM3004854							no					GEO	SRA659722		public	FC055CF501ED8EF0BA4B758B8B011299	E3618BA2EC5CF6D27C8D3DE045351338	8537900	mtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960634	GSM3004854	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537901	SRR6728286	2019-09-18T15:35:12Z	2018-02-15T08:48:29Z	44950362	4514346408	0	100	1572		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728286/SRR6728286.1	SRX3701206		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960635	simple	9606	Homo sapiens	GSM3004855							no					GEO	SRA659722		public	F66A22725F6E3529CFC4D37CC639A829	666A4F7D0A6BBDC2B3FC292BF7E76947	8537901	mtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960635	GSM3004855	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537902	SRR6728287	2019-09-18T15:35:12Z	2018-02-15T08:51:30Z	43607016	4379111679	0	100	1506		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728287/SRR6728287.1	SRX3701207		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960636	simple	9606	Homo sapiens	GSM3004856							no					GEO	SRA659722		public	B6D704BCDACA7518CB403E5C09169C0D	3F269ECE339F913E09CF14EAE27C442F	8537902	mtHKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960636	GSM3004856	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 120 mins post stimulation with TGF-alpha	120 mins	Colon	TGF-alpha
SAMN08537903	SRR6728280	2019-09-18T15:35:12Z	2018-02-15T09:06:13Z	44533873	4430729086	0	99	1564		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6728280/SRR6728280.1	SRX3701200		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132910	PRJNA434191	3	434191	SRS2960629	simple	9606	Homo sapiens	GSM3004849							no					GEO	SRA659722		public	0DB0F3FB9C1B792376E9902B23506B5F	1F13F813AEF97BF37E3C936EB238F8FB	8537903	mtHKE3 cells 60 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2960629	GSM3004849	mtHKE3 colorectal cancer cells	mutant-KRAS	mtHKE3 cells 60 mins post stimulation with TGF-alpha	60 mins	Colon	TGF-alpha
