accession	uid	title	organization	taxonomy	sra	geo	disease state	source_name	tissue	treatment	tumor source
SAMN09007002	9007002	519x5b3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239496	GSM3123666	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	519
SAMN09007003	9007003	519x6b3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239502	GSM3123671	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	519
SAMN09007004	9007004	828x5b2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239521	GSM3123693	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	828
SAMN09007005	9007005	828x5b1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239523	GSM3123692	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	828
SAMN09007006	9007006	828x5a5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239522	GSM3123691	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	828
SAMN09007007	9007007	827x4j3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239520	GSM3123690	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	827
SAMN09007008	9007008	827x4i4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239517	GSM3123689	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	827
SAMN09007009	9007009	827x4i3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239519	GSM3123688	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	827
SAMN09007010	9007010	827x4h3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239518	GSM3123687	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	827
SAMN09007011	9007011	827x4h1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239515	GSM3123686	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	827
SAMN09007012	9007012	827x4d2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239516	GSM3123685	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	827
SAMN09007013	9007013	827x4c2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239514	GSM3123684	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	827
SAMN09007014	9007014	827x4b5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239513	GSM3123683	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	827
SAMN09007015	9007015	827x4a5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239512	GSM3123682	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	827
SAMN09007016	9007016	810x2j3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239511	GSM3123681	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	810
SAMN09007017	9007017	810x2j1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239508	GSM3123680	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	810
SAMN09007018	9007018	810x2g4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239509	GSM3123679	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	810
SAMN09007019	9007019	810x2e5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239510	GSM3123678	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	810
SAMN09007020	9007020	810oix2d1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239507	GSM3123677	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	810
SAMN09007021	9007021	810oix2c4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239505	GSM3123676	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	810
SAMN09007022	9007022	810oix2b5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239506	GSM3123675	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	810
SAMN09007023	9007023	810oix2b2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239503	GSM3123674	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	810
SAMN09007024	9007024	810oix2b1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239500	GSM3123673	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	810
SAMN09007025	9007025	519x6c1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239501	GSM3123672	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	519
SAMN09007026	9007026	519x5h5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239525	GSM3123667	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	519
SAMN09007027	9007027	1013x3j3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239465	GSM3123635	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	1013
SAMN09007028	9007028	1013x3j2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239466	GSM3123634	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	1013
SAMN09007029	9007029	1013x3i3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239464	GSM3123633	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	1013
SAMN09007030	9007030	1013x3h5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239463	GSM3123632	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	1013
SAMN09007031	9007031	1013x3g4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239462	GSM3123631	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	1013
SAMN09007032	9007032	1013x3g2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239461	GSM3123630	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	1013
SAMN09007033	9007033	1013x3e4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239460	GSM3123629	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	1013
SAMN09007034	9007034	1013x3e2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239459	GSM3123628	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	1013
SAMN09007055	9007055	519x6b1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239498	GSM3123670	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	519
SAMN09007056	9007056	828x5j1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239529	GSM3123698	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	828
SAMN09007057	9007057	828x5h2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239544	GSM3123697	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	828
SAMN09007058	9007058	828x5e5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239526	GSM3123696	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	828
