accession	uid	title	organization	taxonomy	sra	geo	cell line	disease state	passages	source_name	treatment
SAMN09112760	9112760	MOLM13 Pair #2 (M2)_Ro 08-2750	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283709	GSM3139447	MOLM13	Acute Myeloid Leukemia	8-12	AML FAB M5a	Ro 08-2750 20 uM
SAMN09112761	9112761	MOLM13 Pair #2 (M2)_DMSO	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283712	GSM3139446	MOLM13	Acute Myeloid Leukemia	8-12	AML FAB M5a	DMSO
SAMN09112762	9112762	MOLM13 Pair #1 (M1)_Ro 08-2750	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283710	GSM3139445	MOLM13	Acute Myeloid Leukemia	8-12	AML FAB M5a	Ro 08-2750 20 uM
SAMN09112763	9112763	MOLM13 Pair #1 (M1)_DMSO	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283708	GSM3139444	MOLM13	Acute Myeloid Leukemia	8-12	AML FAB M5a	DMSO
SAMN09112765	9112765	K562 Pair #4 (K4)_Ro 08-2750	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283723	GSM3139459	K562	Chronic Myelogenous Leukemia (CML)	12-18	CML-BC (erythroid line)	Ro 08-2750 20 uM
SAMN09112766	9112766	K562 Pair #4 (K4)_DMSO	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283722	GSM3139458	K562	Chronic Myelogenous Leukemia (CML)	12-18	CML-BC (erythroid line)	DMSO
SAMN09112767	9112767	K562 Pair #3 (K3)_Ro 08-2750	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283721	GSM3139457	K562	Chronic Myelogenous Leukemia (CML)	12-18	CML-BC (erythroid line)	Ro 08-2750 20 uM
SAMN09112768	9112768	K562 Pair #3 (K3)_DMSO	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283720	GSM3139456	K562	Chronic Myelogenous Leukemia (CML)	12-18	CML-BC (erythroid line)	DMSO
SAMN09112769	9112769	K562 Pair #2 (K2)_Ro 08-2750	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283719	GSM3139455	K562	Chronic Myelogenous Leukemia (CML)	12-18	CML-BC (erythroid line)	Ro 08-2750 20 uM
SAMN09112770	9112770	K562 Pair #2 (K2)_DMSO	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283718	GSM3139454	K562	Chronic Myelogenous Leukemia (CML)	12-18	CML-BC (erythroid line)	DMSO
SAMN09112771	9112771	K562 Pair #1 (K1)_Ro 08-2750	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283717	GSM3139453	K562	Chronic Myelogenous Leukemia (CML)	12-18	CML-BC (erythroid line)	Ro 08-2750 20 uM
SAMN09112772	9112772	K562 Pair #1 (K1)_DMSO	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283716	GSM3139452	K562	Chronic Myelogenous Leukemia (CML)	12-18	CML-BC (erythroid line)	DMSO
SAMN09112773	9112773	MOLM13 Pair #4 (M4)_Ro 08-2750	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283715	GSM3139451	MOLM13	Acute Myeloid Leukemia	8-12	AML FAB M5a	Ro 08-2750 20 uM
SAMN09112774	9112774	MOLM13 Pair #4 (M4)_DMSO	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283713	GSM3139450	MOLM13	Acute Myeloid Leukemia	8-12	AML FAB M5a	DMSO
SAMN09112775	9112775	MOLM13 Pair #3 (M3)_Ro 08-2750	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283714	GSM3139449	MOLM13	Acute Myeloid Leukemia	8-12	AML FAB M5a	Ro 08-2750 20 uM
SAMN09112776	9112776	MOLM13 Pair #3 (M3)_DMSO	Kharas Laboratory, Molecular Pharmacology, Memorial Sloan Kettering Cancer Center	9606	SRS3283711	GSM3139448	MOLM13	Acute Myeloid Leukemia	8-12	AML FAB M5a	DMSO
