BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	source_name	cell_line	treatment	group
SAMN09354163	SRR7257611	2021-06-06T09:34:45Z	2018-06-04T17:58:24Z	32450514	3309952428	32450514	102	1401		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257611	SRX4161902		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374268	simple	9606	Homo sapiens	GSM3175563							no					GEO	SRA715152		public	4EF27AD374BF7471D52CAB5DD1C85F13	E2BB9B5D6F688D346125368D9D5BB1F9	9354163	OSUCLL DMSO 0 5h rep 1	The Ohio State University	9606	SRS3374268	GSM3175563	OSU-CLL cell line	OSU-CLL	DMSO	DMSO.5
SAMN09354160	SRR7257612	2021-06-06T09:34:45Z	2018-06-04T17:57:40Z	30006258	3060638316	30006258	102	1295		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257612	SRX4161903		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374290	simple	9606	Homo sapiens	GSM3175564							no					GEO	SRA715152		public	4DE489CEA872228D2714B7411765ED32	66314AC517BD6CA29A273F57105A8905	9354160	OSUCLL CC122 0.1 5h rep 1	The Ohio State University	9606	SRS3374290	GSM3175564	OSU-CLL cell line	OSU-CLL	CC122	CC122.5
SAMN09354157	SRR7257613	2021-06-06T09:34:45Z	2018-06-04T17:58:11Z	28952301	2953134702	28952301	102	1248		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257613	SRX4161904		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374269	simple	9606	Homo sapiens	GSM3175565							no					GEO	SRA715152		public	7BDB8F553835A407D9B74AFF92F11A9B	21E22749AC3107549B1B4775B3AC5A4E	9354157	OSUCLL CC122 1 5h rep 1	The Ohio State University	9606	SRS3374269	GSM3175565	OSU-CLL cell line	OSU-CLL	CC122	CC122.5
SAMN09354155	SRR7257614	2021-06-06T09:34:45Z	2018-06-04T18:02:11Z	31028727	3164930154	31028727	102	1337		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257614	SRX4161905		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374270	simple	9606	Homo sapiens	GSM3175566							no					GEO	SRA715152		public	D86E2A09F18A363AABE24329875D6198	CB4B171A8717BE1BB2BE7746036A5CF0	9354155	OSUCLL LEN 1 5h rep 1	The Ohio State University	9606	SRS3374270	GSM3175566	OSU-CLL cell line	OSU-CLL	LEN	LEN.5
SAMN09354153	SRR7257615	2021-06-06T09:34:45Z	2018-06-04T17:57:38Z	29842057	3043889814	29842057	102	1269		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257615	SRX4161906		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374271	simple	9606	Homo sapiens	GSM3175567							no					GEO	SRA715152		public	9985D3E34B384A7EF03A7FF3542B2EFC	BF064E5F872CD74C25990F93755F4AC3	9354153	OSUCLL DMSO 0 24h rep 1	The Ohio State University	9606	SRS3374271	GSM3175567	OSU-CLL cell line	OSU-CLL	DMSO	DMSO.24
SAMN09354279	SRR7257616	2021-06-06T09:34:45Z	2018-06-04T17:58:17Z	29784676	3038036952	29784676	102	1275		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257616	SRX4161907		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374272	simple	9606	Homo sapiens	GSM3175568							no					GEO	SRA715152		public	F443D2FE3B76007A6C72D124D56C5C48	A1C3F7C2CEA60267B701EE8472892512	9354279	OSUCLL CC122 0.1 24h rep 1	The Ohio State University	9606	SRS3374272	GSM3175568	OSU-CLL cell line	OSU-CLL	CC122	CC122.24
SAMN09354277	SRR7257617	2021-06-06T09:34:45Z	2018-06-04T17:58:03Z	28073762	2863523724	28073762	102	1202		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257617	SRX4161908		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374273	simple	9606	Homo sapiens	GSM3175569							no					GEO	SRA715152		public	21A98BD83DFAB88F79DC533C6CD77B80	67AF2F46B911FDC21A56422E4B5676D1	9354277	OSUCLL CC122 1 24h rep 1	The Ohio State University	9606	SRS3374273	GSM3175569	OSU-CLL cell line	OSU-CLL	CC122	CC122.24
SAMN09354275	SRR7257618	2021-06-06T09:34:45Z	2018-06-04T17:56:40Z	27048233	2758919766	27048233	102	1156		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257618	SRX4161909		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374274	simple	9606	Homo sapiens	GSM3175570							no					GEO	SRA715152		public	22868816F2C9ACCC50F4E2F00DE1AC76	52C8FBC502FF96AFF8B46A57BD83CBFB	9354275	OSUCLL LEN 1 24h rep 1	The Ohio State University	9606	SRS3374274	GSM3175570	OSU-CLL cell line	OSU-CLL	LEN	LEN.24
SAMN09354274	SRR7257619	2021-06-06T09:34:45Z	2018-06-04T17:58:07Z	29390924	2997874248	29390924	102	1259		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257619	SRX4161910		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374275	simple	9606	Homo sapiens	GSM3175571							no					GEO	SRA715152		public	C16EB092D5882F18DF7A6BFFF14F46C6	3077F9EAF045CDC76A5E321EBF4C5C11	9354274	OSUCLL DMSO 0 5h rep 2	The Ohio State University	9606	SRS3374275	GSM3175571	OSU-CLL cell line	OSU-CLL	DMSO	DMSO.5
SAMN09354272	SRR7257620	2021-06-06T09:34:45Z	2018-06-04T18:03:57Z	30384578	3099226956	30384578	102	1313		https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/007087/SRR7257620	SRX4161911		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP149738	PRJNA474537		474537	SRS3374276	simple	9606	Homo sapiens	GSM3175572							no					GEO	SRA715152		public	782F0B9D1FC5C61F757F1EEA0B4703ED	7E6C3BF70449F716ADC23BC1EEF00C22	9354272	OSUCLL CC122 0.1 5h rep 2	The Ohio State University	9606	SRS3374276	GSM3175572	OSU-CLL cell line	OSU-CLL	CC122	CC122.5
