accession	uid	title	organization	taxonomy	sra	geo	cell line	disease	genotype	source_name	treatment
SAMN09445361	9445361	C_1KO_rep3	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431395	GSM3197049	U2OS	osteosarcoma	heat shock farctor 1 KO	cell	control
SAMN09445362	9445362	HS_WT_rep3	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431394	GSM3197048	U2OS	osteosarcoma	wild type	cell	heat shock 1 h in 42 degrees
SAMN09445363	9445363	10h_WT_rep3	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431391	GSM3197047	U2OS	osteosarcoma	wild type	cell	treated with Bortezomib for 10 h
SAMN09445364	9445364	6h_WT_rep3	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431392	GSM3197046	U2OS	osteosarcoma	wild type	cell	treated with Bortezomib for 6 h
SAMN09445365	9445365	C_WT_rep3	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431390	GSM3197045	U2OS	osteosarcoma	wild type	cell	control
SAMN09445366	9445366	HS_1KO_rep3	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431399	GSM3197052	U2OS	osteosarcoma	heat shock farctor 1 KO	cell	heat shock 1 h in 42 degrees
SAMN09445367	9445367	10h_1KO_rep3	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431398	GSM3197051	U2OS	osteosarcoma	heat shock farctor 1 KO	cell	treated with Bortezomib for 10 h
SAMN09445368	9445368	HS_2KO_rep2	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431389	GSM3197044	U2OS	osteosarcoma	heat shock farctor 2 KO	cell	heat shock 1 h in 42 degrees
SAMN09445369	9445369	10h_2KO_rep2	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431393	GSM3197043	U2OS	osteosarcoma	heat shock farctor 2 KO	cell	treated with Bortezomib for 10 h
SAMN09445370	9445370	6h_2KO_rep2	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431388	GSM3197042	U2OS	osteosarcoma	heat shock farctor 2 KO	cell	treated with Bortezomib for 6 h
SAMN09445371	9445371	C_2KO_rep2	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431384	GSM3197041	U2OS	osteosarcoma	heat shock farctor 2 KO	cell	control
SAMN09445372	9445372	HS_1KO_rep2	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431387	GSM3197040	U2OS	osteosarcoma	heat shock farctor 1 KO	cell	heat shock 1 h in 42 degrees
SAMN09445373	9445373	10h_1KO_rep2	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431385	GSM3197039	U2OS	osteosarcoma	heat shock farctor 1 KO	cell	treated with Bortezomib for 10 h
SAMN09445374	9445374	6h_1KO_rep2	Lea Sistonen, Cell Biology, Åbo Akademi University	9606	SRS3431386	GSM3197038	U2OS	osteosarcoma	heat shock farctor 1 KO	cell	treated with Bortezomib for 6 h
