accession	uid	title	organization	taxonomy	sra	geo	source_name	treatment
SAMN09466877	9466877	PAR_DMSO_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444459	GSM3209399	Mantle cell lymphoma	none
SAMN09466878	9466878	PAR_DMSO_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444458	GSM3209398	Mantle cell lymphoma	none
SAMN09466879	9466879	L20_THZ1_250NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444457	GSM3209397	Mantle cell lymphoma	250nM THZ1
SAMN09466880	9466880	L20_THZ1_250NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444455	GSM3209396	Mantle cell lymphoma	250nM THZ1
SAMN09466881	9466881	L20_THZ1_250NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444456	GSM3209395	Mantle cell lymphoma	250nM THZ1
SAMN09466882	9466882	L20_THZ1_50NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444452	GSM3209394	Mantle cell lymphoma	50nM THZ1
SAMN09466883	9466883	L20_THZ1_50NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444454	GSM3209393	Mantle cell lymphoma	50nM THZ1
SAMN09466884	9466884	L20_THZ1_50NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444453	GSM3209392	Mantle cell lymphoma	50nM THZ1
SAMN09466885	9466885	L20_DMSO_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444451	GSM3209391	Mantle cell lymphoma	none
SAMN09466886	9466886	L20_DMSO_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444450	GSM3209390	Mantle cell lymphoma	none
SAMN09466887	9466887	L20_DMSO_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444449	GSM3209389	Mantle cell lymphoma	none
SAMN09466888	9466888	J4_THZ1_250NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444448	GSM3209388	Mantle cell lymphoma	250nM THZ1
SAMN09466889	9466889	J4_THZ1_250NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444447	GSM3209387	Mantle cell lymphoma	250nM THZ1
