BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	genotype	source_name	tissue	treatment	group
SAMN09697968	SRR7547639	2019-06-07T16:19:42Z	2018-07-20T16:24:19Z	62448128	12489625600	62448128	200	4674		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547639/SRR7547639.1	SRX4413880		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567223	simple	9606	Homo sapiens	GSM3294968							no					GEO	SRA743317		public	A13A0C91EE0E71FF4A62BBFE1E5A06B9	A67D0DD95D825A17FE5A41A0573C555C	9697968	BT245-DMSO-D5	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567223	GSM3294968	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697971	SRR7547638	2019-06-07T16:19:42Z	2018-07-20T16:09:12Z	56636840	11327368000	56636840	200	4474		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547638/SRR7547638.1	SRX4413879		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567201	simple	9606	Homo sapiens	GSM3294967							no					GEO	SRA743317		public	37D55F97B2C600C76E786D1E3D5515FF	6570E651F209E7F65DBE0F19638474BE	9697971	BT245-NKO-P18	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567201	GSM3294967	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697973	SRR7547637	2019-06-07T16:19:41Z	2018-07-20T16:21:48Z	60355482	12071096400	60355482	200	4719		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547637/SRR7547637.1	SRX4413878		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567228	simple	9606	Homo sapiens	GSM3294966							no					GEO	SRA743317		public	C2F9B569DC8670E81176173D11918689	4983D8CBFE503B0639A74AA188826C8B	9697973	BT245-NKO-P17	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567228	GSM3294966	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697974	SRR7547636	2019-06-07T16:19:41Z	2018-07-20T16:07:08Z	54942379	10988475800	54942379	200	4419		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547636/SRR7547636.1	SRX4413877		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567224	simple	9606	Homo sapiens	GSM3294965							no					GEO	SRA743317		public	C0F39010D7314BA054E2209CA5B7C771	18A21CDCC66824E06AD9DB5CEBF5B98B	9697974	BT245-NKO-P16	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567224	GSM3294965	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697976	SRR7547635	2019-06-07T16:19:41Z	2018-07-20T16:31:16Z	82062503	16412500600	82062503	200	6444		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547635/SRR7547635.1	SRX4413876		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567198	simple	9606	Homo sapiens	GSM3294964							no					GEO	SRA743317		public	4B65F4F1C41C51B10C5760D317CD45C8	192C2676C09D7556D9333C91EEA44D19	9697976	BT245-NKO-P31	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567198	GSM3294964	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697978	SRR7547634	2019-06-07T16:19:41Z	2018-07-20T16:19:51Z	86955223	17391044600	86955223	200	6785		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547634/SRR7547634.1	SRX4413875		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567197	simple	9606	Homo sapiens	GSM3294963							no					GEO	SRA743317		public	8EDA724C4876A0C6FB0E9718D4D82FB8	53CF5D4AE8FEAC8FA8E9DECF274E770C	9697978	BT245-NKO-P30	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567197	GSM3294963	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09697979	SRR7547633	2019-06-07T16:19:41Z	2018-07-20T16:16:33Z	70859686	14171937200	70859686	200	5566		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547633/SRR7547633.1	SRX4413874		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567203	simple	9606	Homo sapiens	GSM3294962							no					GEO	SRA743317		public	E4C7B80703F3E85DE9DBE83A33B49C08	1096440100EB5E730F0ACF82FD1766FF	9697979	BT245-KO-C5P4	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567203	GSM3294962	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09697981	SRR7547632	2019-06-07T16:19:41Z	2018-07-20T16:05:45Z	47710694	9542138800	47710694	200	3654		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547632/SRR7547632.1	SRX4413873		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567196	simple	9606	Homo sapiens	GSM3294961							no					GEO	SRA743317		public	DFC886A7C0BECCAC1B4ECFC10767B43C	DDCC55BBA52F0D78444792FA75777204	9697981	BT245-KO-C4	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567196	GSM3294961	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09697983	SRR7547631	2019-06-07T16:19:41Z	2018-07-20T16:00:04Z	45004367	9000873400	45004367	200	3468		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547631/SRR7547631.1	SRX4413872		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567199	simple	9606	Homo sapiens	GSM3294960							no					GEO	SRA743317		public	05E19F374D16662BBBB414388A341D53	7CCC812E6BA126F14C7DDDFB64CCEB17	9697983	BT245-KO-C2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567199	GSM3294960	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09697984	SRR7547630	2019-06-07T16:19:41Z	2018-07-20T16:06:56Z	50251173	10050234600	50251173	200	3985		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547630/SRR7547630.1	SRX4413871		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567194	simple	9606	Homo sapiens	GSM3294959							no					GEO	SRA743317		public	E645749CA0E415A39227DA203502B628	B2B355A726CCDBC22012815E3A5DF91B	9697984	BT245-KO-C4P6	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567194	GSM3294959	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
