accession	uid	title	organization	taxonomy	sra	geo	genotype	source_name	tissue	treatment
SAMN09697968	9697968	BT245-DMSO-D5	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567223	GSM3294968	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697971	9697971	BT245-NKO-P18	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567201	GSM3294967	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697973	9697973	BT245-NKO-P17	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567228	GSM3294966	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697974	9697974	BT245-NKO-P16	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567224	GSM3294965	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697976	9697976	BT245-NKO-P31	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567198	GSM3294964	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697978	9697978	BT245-NKO-P30	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567197	GSM3294963	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697979	9697979	BT245-KO-C5P4	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567203	GSM3294962	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None
SAMN09697981	9697981	BT245-KO-C4	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567196	GSM3294961	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None
SAMN09697983	9697983	BT245-KO-C2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567199	GSM3294960	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None
SAMN09697984	9697984	BT245-KO-C4P6	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567194	GSM3294959	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None
SAMN09697986	9697986	BT245-KO-C2P6	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567195	GSM3294958	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None
SAMN09697987	9697987	DIPGXIII-NKO-C8	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567193	GSM3294957	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697989	9697989	DIPGXIII-NKO-C12	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567200	GSM3294956	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697991	9697991	DIPGXIII-KO-C5	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567202	GSM3294955	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None
SAMN09697993	9697993	DIPGXIII-KO-C10	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567189	GSM3294954	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None
SAMN09697994	9697994	DIPGXIII	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567188	GSM3294953	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697996	9697996	HSJ-050-C5	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567187	GSM3294952	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697997	9697997	HSJ019-C7	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567214	GSM3294951	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09697998	9697998	HSJ019-C4	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567191	GSM3294950	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09698000	9698000	DIPGXIII-C14	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567190	GSM3294949	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09698001	9698001	DIPGVI-C30	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567186	GSM3294948	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09698003	9698003	BT245-C19	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567192	GSM3294947	H3.3K27M	Tumor-derived cell-line	glioma tumor	None
SAMN09698005	9698005	G477	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567184	GSM3294946	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None
SAMN09698006	9698006	HSJ-030-C8	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567183	GSM3294945	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None
SAMN09698008	9698008	SJG5-C16	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567182	GSM3294944	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None
SAMN09698009	9698009	pCGBM2-C7	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567181	GSM3294943	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None
SAMN09698010	9698010	G477-C6	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567180	GSM3294942	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None
SAMN09698011	9698011	SJG5-C23	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567185	GSM3294941	H3.3K27WT	Tumor-derived cell-line	glioma tumor	None
SAMN09698012	9698012	BT245-COMBO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567230	GSM3294995	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine
SAMN09698013	9698013	BT245-5AZA-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567222	GSM3294994	H3.3K27M	Tumor-derived cell-line	glioma tumor	5-azacytidine
SAMN09698014	9698014	BT245-5AZA-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567221	GSM3294993	H3.3K27M	Tumor-derived cell-line	glioma tumor	5-azacytidine
SAMN09698015	9698015	BT245-PANO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567257	GSM3294992	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat
