BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	shRNA	source_name	time point	treatment
SAMN10343574	SRR8131667	2019-02-22T16:58:13Z	2018-10-29T18:57:19Z	28870473	1472394123	0	51	506		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131667.sralite.1	SRX4952773		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994326	simple	9606	Homo sapiens	GSM3450400							no					GEO	SRA800438		public	701C17BC1E735BC4453C414FA2676348	C26EA63F622AA1348ED7BB762F8CFC60	10343574	HepG2_shMETTL14_6h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994326	GSM3450400	HepG2	shMETTl14	HepG2 cells	6h	5 ug/mL actinomycin D
SAMN10343575	SRR8131647	2019-02-22T16:58:13Z	2018-10-29T18:58:56Z	40522928	2066669328	0	51	705		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131647.sralite.1	SRX4952753		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994306	simple	9606	Homo sapiens	GSM3450380							no					GEO	SRA800438		public	EDEC3427035E5EB749B67FCDB22F2676	AF914AB8E83376B00C7A941AD5F027C4	10343575	HepG2_shCtrl_1h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994306	GSM3450380	HepG2	non-specific control	HepG2 cells	1h	5 ug/mL actinomycin D
SAMN10343576	SRR8131646	2019-02-22T16:58:13Z	2018-10-29T18:57:26Z	34600549	1764627999	0	51	605		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131646.sralite.1	SRX4952752		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994305	simple	9606	Homo sapiens	GSM3450379							no					GEO	SRA800438		public	C556C76D312AA8FF5EAE524538FBAC4F	B4B94293A6DB844C85ECF1027BEA6611	10343576	HepG2_shCtrl_1h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994305	GSM3450379	HepG2	non-specific control	HepG2 cells	1h	5 ug/mL actinomycin D
SAMN10343577	SRR8131645	2019-02-22T16:58:13Z	2018-10-29T18:58:13Z	37333141	1903990191	0	51	650		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131645.sralite.1	SRX4952751		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994303	simple	9606	Homo sapiens	GSM3450378							no					GEO	SRA800438		public	7D48961D53D715103522A28F6B744C62	286AADD4BE6D97DA9D47CF4F488416C9	10343577	HepG2_shCtrl_0h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994303	GSM3450378	HepG2	non-specific control	HepG2 cells	0h	untreated
SAMN10343578	SRR8131644	2019-02-22T16:58:13Z	2018-10-29T18:57:01Z	33455619	1706236569	0	51	584		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131644.sralite.1	SRX4952750		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994304	simple	9606	Homo sapiens	GSM3450377							no					GEO	SRA800438		public	58F789725236AF4CBAFF9C1E481A49D7	8831D22DEA23B119A7B961E58E3B7612	10343578	HepG2_shCtrl_0h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994304	GSM3450377	HepG2	non-specific control	HepG2 cells	0h	untreated
SAMN10343579	SRR8131666	2019-02-22T16:58:13Z	2018-10-29T18:57:01Z	33614535	1714341285	0	51	584		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131666.sralite.1	SRX4952772		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994325	simple	9606	Homo sapiens	GSM3450399							no					GEO	SRA800438		public	FB6BCBDC735404047F3C0A38E8E8C90F	24DDE64EDE76B4FF81BBF6D325D4EAB7	10343579	HepG2_shMETTL14_6h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994325	GSM3450399	HepG2	shMETTl14	HepG2 cells	6h	5 ug/mL actinomycin D
SAMN10343580	SRR8131665	2019-02-22T16:58:13Z	2018-10-29T18:59:51Z	43950044	2241452244	0	51	765		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131665.sralite.1	SRX4952771		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994324	simple	9606	Homo sapiens	GSM3450398							no					GEO	SRA800438		public	6AD5C29D42250ABBAB641EA1A1AF9CDA	5CADA374498150FEF17394AE3592740F	10343580	HepG2_shMETTL14_3h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994324	GSM3450398	HepG2	shMETTl14	HepG2 cells	3h	5 ug/mL actinomycin D
SAMN10343581	SRR8131664	2019-02-22T16:58:13Z	2018-10-29T18:59:33Z	37539525	1914515775	0	51	652		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131664.sralite.1	SRX4952770		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994323	simple	9606	Homo sapiens	GSM3450397							no					GEO	SRA800438		public	BB07904D3D4C69B709E3A96BFBC3BB78	977459F5A23FEEA902D2DA6A6FB67433	10343581	HepG2_shMETTL14_3h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994323	GSM3450397	HepG2	shMETTl14	HepG2 cells	3h	5 ug/mL actinomycin D
SAMN10343582	SRR8131663	2019-02-22T16:58:13Z	2018-10-29T18:59:27Z	37825903	1929121053	0	51	658		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131663.sralite.1	SRX4952769		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994322	simple	9606	Homo sapiens	GSM3450396							no					GEO	SRA800438		public	77C80C0844AA9E25879C7DB0BAE794F8	1CFCAC8FD5B278249DB938462C9F9C6D	10343582	HepG2_shMETTL14_1h_rep2 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994322	GSM3450396	HepG2	shMETTl14	HepG2 cells	1h	5 ug/mL actinomycin D
SAMN10343583	SRR8131662	2019-02-22T16:58:13Z	2018-10-29T18:57:51Z	37396788	1907236188	0	51	653		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131662.sralite.1	SRX4952768		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP167173	PRJNA499122	3	499122	SRS3994321	simple	9606	Homo sapiens	GSM3450395							no					GEO	SRA800438		public	DEC9660965B0EE838211310FB5B515FD	1FE9432CCE1900C98DDBDF4AD8A163F1	10343583	HepG2_shMETTL14_1h_rep1 (RNA-seq)	Chen Lab, Systems Biology, City of Hope	9606	SRS3994321	GSM3450395	HepG2	shMETTl14	HepG2 cells	1h	5 ug/mL actinomycin D
