BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	concentration	isolate	replicate	sex	time	tissue	treatment	group
SAMN10505005	SRR8267302	2019-04-30T00:27:05Z	2018-11-30T11:24:25Z	24371195	3655679250	24371195	150	1475		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267302/SRR8267302.1	SRX5084327	H1299_DMSO_1a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096825	simple	9606	Homo sapiens	H1299_DMSO_1a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	2ED1A5A5F17606093C3CDB7ED35830BA	656F28E917E9709EE99B9988C784378B	10505005	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_1a	SRA: SRS4096825	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	6h	lung; metastatic site lympnode	DMSO	NCIH1299.DMSO.6h
SAMN10505006	SRR8267308	2019-04-30T00:27:05Z	2018-11-30T11:25:41Z	26069544	3910431600	26069544	150	1533		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267308/SRR8267308.1	SRX5084326	H1299_DMSO_1b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096824	simple	9606	Homo sapiens	H1299_DMSO_1b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	C9518BA11686C755609C94F31E0789F9	C5FDF418F22312844EA1E1A4BE7FA087	10505006	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_1b	SRA: SRS4096824	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	16h	lung; metastatic site lympnode	DMSO	NCIH1299.DMSO.16h
SAMN10505007	SRR8267338	2019-04-30T00:27:04Z	2018-11-30T11:20:55Z	20024786	3003717900	20024786	150	1213		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267338/SRR8267338.1	SRX5084289	H1299_DMSO_2a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096787	simple	9606	Homo sapiens	H1299_DMSO_2a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	07A779108F8232992FCA0BAB135D1A90	7DEB3984731A3DC71B5EB9EC51FD2CE0	10505007	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_2a	SRA: SRS4096787	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	6h	lung; metastatic site lympnode	DMSO	NCIH1299.DMSO.6h
SAMN10505008	SRR8267340	2019-04-30T00:27:04Z	2018-11-30T11:22:55Z	21970402	3295560300	21970402	150	1310		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267340/SRR8267340.1	SRX5084290	H1299_DMSO_2b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096788	simple	9606	Homo sapiens	H1299_DMSO_2b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	104DE6FD61F7786776AA7A5C0FB5DA1A	CEC199E4FF8C35F0CA2727B3D97068C7	10505008	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_2b	SRA: SRS4096788	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	16h	lung; metastatic site lympnode	DMSO	NCIH1299.DMSO.16h
SAMN10505009	SRR8267342	2019-04-30T00:27:04Z	2018-11-30T11:20:32Z	17889629	2683444350	17889629	150	1077		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267342/SRR8267342.1	SRX5084287	H1299_DMSO_3a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096784	simple	9606	Homo sapiens	H1299_DMSO_3a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	CCB117A9185BEB37BDB9DBF07F12767A	B652F288843F3FE8297AC14430698CE6	10505009	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_3a	SRA: SRS4096784	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	6h	lung; metastatic site lympnode	DMSO	NCIH1299.DMSO.6h
SAMN10505010	SRR8267339	2019-04-30T00:27:04Z	2018-11-30T11:19:28Z	19556010	2933401500	19556010	150	1152		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267339/SRR8267339.1	SRX5084288	H1299_DMSO_3b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096786	simple	9606	Homo sapiens	H1299_DMSO_3b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	5E5CF1EEFF21BD3CE81D4345EAD9C79B	E7FBEF439610B3398C39B437C04A3F9E	10505010	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_3b	SRA: SRS4096786	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	16h	lung; metastatic site lympnode	DMSO	NCIH1299.DMSO.16h
SAMN10505011	SRR8267336	2019-04-30T00:27:04Z	2018-11-30T11:20:11Z	18170110	2725516500	18170110	150	1104		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267336/SRR8267336.1	SRX5084293	H1299_Dox_1c	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096791	simple	9606	Homo sapiens	H1299_Dox_1c					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	E3D4F47981F9E5D0D3B96032EF903202	596549F86A9E516F1CA56FA355F251B4	10505011	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_1c	SRA: SRS4096791	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	48h	lung; metastatic site lympnode	dox	NCIH1299.dox.48h
SAMN10505012	SRR8267335	2019-04-30T00:27:04Z	2018-11-30T11:23:10Z	22410304	3361545600	22410304	150	1327		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267335/SRR8267335.1	SRX5084294	H1299_Dox_1d	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096792	simple	9606	Homo sapiens	H1299_Dox_1d					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	A40D5637600844B7E8897FDE52A96C81	31C87691B7DA849BC5E6799453A2C198	10505012	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_1d	SRA: SRS4096792	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	72h	lung; metastatic site lympnode	dox	NCIH1299.dox.72h
SAMN10505013	SRR8267337	2019-04-30T00:27:04Z	2018-11-30T11:21:22Z	24766032	3714904800	24766032	150	1469		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267337/SRR8267337.1	SRX5084291	H1299_Dox_2c	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096789	simple	9606	Homo sapiens	H1299_Dox_2c					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	D2EC4EF61D1A9C29CD2D49B5A1830AD2	B3A83B8315F3E4F1BC0FA04BEFA25246	10505013	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_2c	SRA: SRS4096789	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	48h	lung; metastatic site lympnode	dox	NCIH1299.dox.48h
SAMN10505014	SRR8267341	2019-04-30T00:27:04Z	2018-11-30T11:19:22Z	18817020	2822553000	18817020	150	1114		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267341/SRR8267341.1	SRX5084292	H1299_Dox_2d	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096790	simple	9606	Homo sapiens	H1299_Dox_2d					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	740ECF23810AC10BA9E91FD2D179F05E	81849BC291B812C81744C1E086433758	10505014	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_2d	SRA: SRS4096790	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	72h	lung; metastatic site lympnode	dox	NCIH1299.dox.72h
