accession	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	concentration	isolate	replicate	sex	time	tissue	treatment
SAMN10505005	10505005	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_1a	SRA: SRS4096825	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	6h	lung; metastatic site lympnode	DMSO
SAMN10505006	10505006	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_1b	SRA: SRS4096824	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	16h	lung; metastatic site lympnode	DMSO
SAMN10505007	10505007	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_2a	SRA: SRS4096787	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	6h	lung; metastatic site lympnode	DMSO
SAMN10505008	10505008	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_2b	SRA: SRS4096788	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	16h	lung; metastatic site lympnode	DMSO
SAMN10505009	10505009	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_3a	SRA: SRS4096784	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	6h	lung; metastatic site lympnode	DMSO
SAMN10505010	10505010	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_DMSO_3b	SRA: SRS4096786	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	16h	lung; metastatic site lympnode	DMSO
SAMN10505011	10505011	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_1c	SRA: SRS4096791	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	48h	lung; metastatic site lympnode	dox
SAMN10505012	10505012	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_1d	SRA: SRS4096792	43y	NIBR CCLE	NCI-H1299		NCI-H1299	1	male	72h	lung; metastatic site lympnode	dox
SAMN10505013	10505013	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_2c	SRA: SRS4096789	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	48h	lung; metastatic site lympnode	dox
SAMN10505014	10505014	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_2d	SRA: SRS4096790	43y	NIBR CCLE	NCI-H1299		NCI-H1299	2	male	72h	lung; metastatic site lympnode	dox
SAMN10505015	10505015	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_3c	SRA: SRS4096779	43y	NIBR CCLE	NCI-H1299		NCI-H1299	3	male	48h	lung; metastatic site lympnode	dox
