BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype/variation	source_name	treatment	group
SAMN10768522	SRR8453577	2019-08-13T16:54:25Z	2019-01-17T21:11:09Z	64513316	19353994800	64513316	300	6949		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8453577/SRR8453577.1	SRX5260280		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261328	simple	9606	Homo sapiens	GSM3568631							no					GEO	SRA823022		public	CB76A1DA6B5C4B5B7A839346F5EF7480	06AB78D2711CF7D7AE4D0162F690463D	10768522	L124_K562_SRSF2_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261328	GSM3568631	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	GSK591_250nM	K562.SRSF2.GSK591_250nM
SAMN10768523	SRR8453576	2019-08-13T16:54:25Z	2019-01-17T21:29:16Z	63496493	19048947900	63496493	300	6934		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8453576/SRR8453576.1	SRX5260279		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261326	simple	9606	Homo sapiens	GSM3568630							no					GEO	SRA823022		public	FD3D9234EBF66A18287FF817E306EF66	3234F9190D7EF002D301F22718259808	10768523	L124_K562_SRSF2_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261326	GSM3568630	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_250nM	K562.SRSF2.MS023_250nM
SAMN10768524	SRR8453575	2019-08-13T16:54:25Z	2019-01-17T21:16:03Z	62675345	18802603500	62675345	300	6781		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8453575/SRR8453575.1	SRX5260278		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261325	simple	9606	Homo sapiens	GSM3568629							no					GEO	SRA823022		public	9555FD7EC72B8AF865A71ABF4F5338D9	22F62DCE772C361A915B95D6BC6F478E	10768524	L124_K562_SRSF2_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261325	GSM3568629	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	control	K562.SRSF2.control
SAMN10768525	SRR8453574	2019-08-13T16:54:25Z	2019-01-17T21:18:37Z	63333238	18999971400	63333238	300	6839		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8453574/SRR8453574.1	SRX5260277		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261327	simple	9606	Homo sapiens	GSM3568628							no					GEO	SRA823022		public	BA46C498CE01AE1FCD80F856C61EF6C3	2B140F5BEF61C5E63E33DD984DF01E09	10768525	L124_K562_WT_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261327	GSM3568628	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_GSK591	K562.WT.MS023_GSK591
SAMN10768526	SRR8453573	2019-08-13T16:54:25Z	2019-01-17T21:16:33Z	64127065	19238119500	64127065	300	6985		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8453573/SRR8453573.1	SRX5260276		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261324	simple	9606	Homo sapiens	GSM3568627							no					GEO	SRA823022		public	E22DF647DFAD5D8D01ED1545FF0F03D8	3475EC0E0B1A44C15678D17555165127	10768526	L124_K562_WT_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261324	GSM3568627	K562	chronic myelogenous leukemia cells	WT	K562 cell line	GSK591_250nM	K562.WT.GSK591_250nM
SAMN10768527	SRR8453572	2019-08-13T16:54:25Z	2019-01-17T21:10:16Z	55956309	16786892700	55956309	300	6116		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8453572/SRR8453572.1	SRX5260275		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261323	simple	9606	Homo sapiens	GSM3568626							no					GEO	SRA823022		public	842467899A698BE24702FBAFB591C418	855A9BC8E55BC69985A597734C25502E	10768527	L124_K562_WT_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261323	GSM3568626	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_250nM	K562.WT.MS023_250nM
SAMN10768528	SRR8453571	2019-08-13T16:54:25Z	2019-01-17T21:11:29Z	58384406	17515321800	58384406	300	6298		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8453571/SRR8453571.1	SRX5260274		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261322	simple	9606	Homo sapiens	GSM3568625							no					GEO	SRA823022		public	FB44724F6CE4ABFFCC745027EFA91E2A	F96EDFED037B33D126153D987A0EC00C	10768528	L124_K562_WT_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261322	GSM3568625	K562	chronic myelogenous leukemia cells	WT	K562 cell line	control	K562.WT.control
SAMN10768529	SRR8453570	2019-08-13T16:54:25Z	2019-01-17T21:54:23Z	61372606	18411781800	61372606	300	6642		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8453570/SRR8453570.1	SRX5260273		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261321	simple	9606	Homo sapiens	GSM3568624							no					GEO	SRA823022		public	D8875FE8959ACF578C12D846BA52F069	FF602600E71E5C66BA1BD7670363DC14	10768529	L123_K562_SRSF2_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261321	GSM3568624	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_GSK591	K562.SRSF2.MS023_GSK591
SAMN10768530	SRR8453569	2019-08-13T16:54:25Z	2019-01-17T21:11:01Z	57534962	17260488600	57534962	300	6215		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8453569/SRR8453569.1	SRX5260272		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261319	simple	9606	Homo sapiens	GSM3568623							no					GEO	SRA823022		public	37707B765089D4283148D590CFB02EE3	5B684879014BC991ABB358B9F745B84A	10768530	L123_K562_SRSF2_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261319	GSM3568623	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	GSK591_250nM	K562.SRSF2.GSK591_250nM
SAMN10768531	SRR8453568	2019-08-13T16:54:25Z	2019-01-17T21:07:21Z	59317704	17795311200	59317704	300	6421		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8453568/SRR8453568.1	SRX5260271		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP173372	PRJNA509783		509783	SRS4261320	simple	9606	Homo sapiens	GSM3568622							no					GEO	SRA823022		public	D900698408865119DD1105712516DD53	4F7FC8885486155F5CA792063EE370DB	10768531	L123_K562_SRSF2_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261320	GSM3568622	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_250nM	K562.SRSF2.MS023_250nM
