accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype/variation	source_name	treatment
SAMN10768522	10768522	L124_K562_SRSF2_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261328	GSM3568631	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	GSK591_250nM
SAMN10768523	10768523	L124_K562_SRSF2_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261326	GSM3568630	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_250nM
SAMN10768524	10768524	L124_K562_SRSF2_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261325	GSM3568629	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	control
SAMN10768525	10768525	L124_K562_WT_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261327	GSM3568628	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_GSK591
SAMN10768526	10768526	L124_K562_WT_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261324	GSM3568627	K562	chronic myelogenous leukemia cells	WT	K562 cell line	GSK591_250nM
SAMN10768527	10768527	L124_K562_WT_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261323	GSM3568626	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_250nM
SAMN10768528	10768528	L124_K562_WT_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261322	GSM3568625	K562	chronic myelogenous leukemia cells	WT	K562 cell line	control
SAMN10768529	10768529	L123_K562_SRSF2_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261321	GSM3568624	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_GSK591
SAMN10768530	10768530	L123_K562_SRSF2_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261319	GSM3568623	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	GSK591_250nM
SAMN10768531	10768531	L123_K562_SRSF2_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261320	GSM3568622	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_250nM
SAMN10768532	10768532	L123_K562_SRSF2_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261318	GSM3568621	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	control
SAMN10768533	10768533	L123_K562_WT_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261317	GSM3568620	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_GSK591
SAMN10768534	10768534	L123_K562_WT_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261316	GSM3568619	K562	chronic myelogenous leukemia cells	WT	K562 cell line	GSK591_250nM
SAMN10768535	10768535	L123_K562_WT_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261315	GSM3568618	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_250nM
SAMN10768536	10768536	L123_K562_WT_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261314	GSM3568617	K562	chronic myelogenous leukemia cells	WT	K562 cell line	control
SAMN10768537	10768537	L125_K562_SRSF2_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261335	GSM3568640	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_GSK591
SAMN10768538	10768538	L125_K562_SRSF2_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261337	GSM3568639	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	GSK591_250nM
SAMN10768539	10768539	L125_K562_SRSF2_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261336	GSM3568638	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_250nM
SAMN10768540	10768540	L125_K562_SRSF2_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261333	GSM3568637	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	control
SAMN10768541	10768541	L125_K562_WT_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261332	GSM3568636	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_GSK591
SAMN10768542	10768542	L125_K562_WT_GSK591_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261334	GSM3568635	K562	chronic myelogenous leukemia cells	WT	K562 cell line	GSK591_250nM
SAMN10768543	10768543	L125_K562_WT_MS023_250nM_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261331	GSM3568634	K562	chronic myelogenous leukemia cells	WT	K562 cell line	MS023_250nM
SAMN10768544	10768544	L125_K562_WT_ctrl_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261330	GSM3568633	K562	chronic myelogenous leukemia cells	WT	K562 cell line	control
SAMN10768545	10768545	L124_K562_SRSF2_MS023_GSK591_D8	Chromatin, Epigenetics & Differentiation, Institute of Molecular and Cell Biology	9606	SRS4261329	GSM3568632	K562	chronic myelogenous leukemia cells	SRSF2	K562 cell line	MS023_GSK591
