BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	molecule	source_name	treatment conditions	group
SAMN10604697	SRR8334013	2019-07-10T16:35:05Z	2018-12-17T18:39:55Z	149673334	22658102303	149673334	151	8948		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8334013/SRR8334013.1	SRX5145531		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155910	simple	9606	Homo sapiens	GSM3518105							no					GEO	SRA824487		public	A2BA832E8DA830F0512506AD1CCA8118	9CE87861021F3BD1928299DF28D790BB	10604697	TT-seq_K562_Ctrl_rep1	MPI	9606	SRS4155910	GSM3518105	K562	4sU-labeled RNA	K562 erythroleukemia cells	37 oC, 4sU (Sigma) labeling for 5 minutes.	K562.4sU_labeled_RNA.37_oC
SAMN10604696	SRR8334014	2019-07-10T16:35:05Z	2018-12-17T18:58:05Z	151253343	22897005898	151253343	151	8966		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8334014/SRR8334014.1	SRX5145532		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155911	simple	9606	Homo sapiens	GSM3518106							no					GEO	SRA824487		public	A26730DA653CCD62B93FF79D1A61F3FE	9237E7EAB8384648CE086658DBEDA77A	10604696	TT-seq_K562_Ctrl_rep2	MPI	9606	SRS4155911	GSM3518106	K562	4sU-labeled RNA	K562 erythroleukemia cells	37 oC, 4sU (Sigma) labeling for 5 minutes.	K562.4sU_labeled_RNA.37_oC
SAMN10604695	SRR8334015	2019-07-10T16:35:05Z	2018-12-17T18:41:25Z	161455492	24435140753	161455492	151	9580		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8334015/SRR8334015.1	SRX5145533		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155912	simple	9606	Homo sapiens	GSM3518107							no					GEO	SRA824487		public	0C9E0930E5A5A7020BBB1B37D31F3E88	A181CC6B24C654126725F10DDBE1D5CE	10604695	TT-seq_K562_HS15_rep1	MPI	9606	SRS4155912	GSM3518107	K562	4sU-labeled RNA	K562 erythroleukemia cells	42 oC for 15 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	K562.4sU_labeled_RNA.42_oC_15min
SAMN10604694	SRR8334016	2019-07-10T16:35:05Z	2018-12-17T18:30:53Z	157619872	23855899802	157619872	151	9367		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8334016/SRR8334016.1	SRX5145534		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155913	simple	9606	Homo sapiens	GSM3518108							no					GEO	SRA824487		public	BA3278B5FB917F6BE8EF5CD39562CF77	2BA8A7AAF0818A2819D73FD1EF83BF74	10604694	TT-seq_K562_HS15_rep2	MPI	9606	SRS4155913	GSM3518108	K562	4sU-labeled RNA	K562 erythroleukemia cells	42 oC for 15 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	K562.4sU_labeled_RNA.42_oC_15min
SAMN10604692	SRR8334017	2019-07-10T16:35:05Z	2018-12-17T18:29:15Z	147638717	22349502333	147638717	151	8782		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8334017/SRR8334017.1	SRX5145535		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155914	simple	9606	Homo sapiens	GSM3518109							no					GEO	SRA824487		public	CD2510810494A584D1F643AD1726DC89	E953CF5A52597EFA967C5BDBEEA80F9E	10604692	TT-seq_K562_HS30__rep1	MPI	9606	SRS4155914	GSM3518109	K562	4sU-labeled RNA	K562 erythroleukemia cells	42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	K562.4sU_labeled_RNA.42_oC_30min
SAMN10604691	SRR8334018	2019-07-10T16:35:05Z	2018-12-17T18:40:42Z	170970259	25871881096	170970259	151	10126		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8334018/SRR8334018.1	SRX5145536		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155915	simple	9606	Homo sapiens	GSM3518110							no					GEO	SRA824487		public	D4C4457FB0980D26D46EA8C6DBBE2836	E8EC3A7D16AB25BC0CEA797E5832BF18	10604691	TT-seq_K562_HS30_rep2	MPI	9606	SRS4155915	GSM3518110	K562	4sU-labeled RNA	K562 erythroleukemia cells	42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.	K562.4sU_labeled_RNA.42_oC_30min
SAMN10604690	SRR8334019	2019-07-10T16:35:05Z	2018-12-17T18:04:24Z	102213680	15536479360	102213680	152	5957		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8334019/SRR8334019.1	SRX5145537		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155916	simple	9606	Homo sapiens	GSM3518111							no					GEO	SRA824487		public	1697C2CD9EA5B596B59BAD87E5BDE80B	A2860729CABECA554BB33893D205B6BF	10604690	RNA-seq_K562_Ctrl_rep1	MPI	9606	SRS4155916	GSM3518111	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.	K562.Total_fragmented_RNA.4sU
SAMN10604689	SRR8334020	2019-07-10T16:35:05Z	2018-12-17T18:05:44Z	107355413	16318022776	107355413	152	6268		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8334020/SRR8334020.1	SRX5145538		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155917	simple	9606	Homo sapiens	GSM3518112							no					GEO	SRA824487		public	2619A6713610D8E0EBD88573FC6F9C78	884393A2DCD5ECE7CEAA9101EAF50EB2	10604689	RNA-seq_K562_Ctrl_rep2	MPI	9606	SRS4155917	GSM3518112	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.	K562.Total_fragmented_RNA.4sU
SAMN10604688	SRR8334021	2019-07-10T16:35:05Z	2018-12-17T18:01:57Z	100709060	15307777120	100709060	152	5843		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8334021/SRR8334021.1	SRX5145539		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155918	simple	9606	Homo sapiens	GSM3518113							no					GEO	SRA824487		public	824281ACBAF1EF235A561123454DA3D1	9FB46341252D97DEFA3E5CB07810476C	10604688	RNA-seq_K562_HS15_rep1	MPI	9606	SRS4155918	GSM3518113	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.	K562.Total_fragmented_RNA.4sU
SAMN10604687	SRR8334022	2019-07-10T16:35:05Z	2018-12-17T18:02:08Z	105407471	16021935592	105407471	152	6138		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8334022/SRR8334022.1	SRX5145540		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP173667	PRJNA510428	3	510428	SRS4155919	simple	9606	Homo sapiens	GSM3518114							no					GEO	SRA824487		public	3E3783F22EC185BD4822AE542785FBEF	1CA3D03C55E01B989D5B55C37080661F	10604687	RNA-seq_K562_HS15_rep2	MPI	9606	SRS4155919	GSM3518114	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.	K562.Total_fragmented_RNA.4sU
