accession	uid	title	organization	taxonomy	sra	geo	cell line	molecule	source_name	treatment conditions
SAMN10604675	10604675	TT-seq_Raji-CDK9as_CDK9inhibited_rep1	MPI	9606	SRS4155930	GSM3518125	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	5 uM 1-NA-PP1 for 35 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604676	10604676	TT-seq_Raji-CDK9as_Solvent_rep2	MPI	9606	SRS4155929	GSM3518124	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	DMSO for 35 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604677	10604677	TT-seq_Raji-CDK9as_Solvent_rep1	MPI	9606	SRS4155928	GSM3518123	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	DMSO for 35 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604685	10604685	RNA-seq_K562_HS30_rep2	MPI	9606	SRS4155921	GSM3518116	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.
SAMN10604686	10604686	RNA-seq_K562_HS30__rep1	MPI	9606	SRS4155920	GSM3518115	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.
SAMN10604687	10604687	RNA-seq_K562_HS15_rep2	MPI	9606	SRS4155919	GSM3518114	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.
SAMN10604688	10604688	RNA-seq_K562_HS15_rep1	MPI	9606	SRS4155918	GSM3518113	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.
SAMN10604689	10604689	RNA-seq_K562_Ctrl_rep2	MPI	9606	SRS4155917	GSM3518112	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.
SAMN10604690	10604690	RNA-seq_K562_Ctrl_rep1	MPI	9606	SRS4155916	GSM3518111	K562	Total fragmented RNA	K562 erythroleukemia cells	4sU (Sigma) labeling for 5 minutes.
SAMN10604691	10604691	TT-seq_K562_HS30_rep2	MPI	9606	SRS4155915	GSM3518110	K562	4sU-labeled RNA	K562 erythroleukemia cells	42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604692	10604692	TT-seq_K562_HS30__rep1	MPI	9606	SRS4155914	GSM3518109	K562	4sU-labeled RNA	K562 erythroleukemia cells	42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604694	10604694	TT-seq_K562_HS15_rep2	MPI	9606	SRS4155913	GSM3518108	K562	4sU-labeled RNA	K562 erythroleukemia cells	42 oC for 15 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604695	10604695	TT-seq_K562_HS15_rep1	MPI	9606	SRS4155912	GSM3518107	K562	4sU-labeled RNA	K562 erythroleukemia cells	42 oC for 15 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604696	10604696	TT-seq_K562_Ctrl_rep2	MPI	9606	SRS4155911	GSM3518106	K562	4sU-labeled RNA	K562 erythroleukemia cells	37 oC, 4sU (Sigma) labeling for 5 minutes.
SAMN10604697	10604697	TT-seq_K562_Ctrl_rep1	MPI	9606	SRS4155910	GSM3518105	K562	4sU-labeled RNA	K562 erythroleukemia cells	37 oC, 4sU (Sigma) labeling for 5 minutes.
SAMN10604698	10604698	TT-seq_Raji-CDK9as_CDK9inhibited_HS30_rep2	MPI	9606	SRS4155935	GSM3518130	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	5 uM 1-NA-PP1 for 35 min; 42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604699	10604699	TT-seq_Raji-CDK9as_CDK9inhibited_HS30_rep1	MPI	9606	SRS4155934	GSM3518129	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	5 uM 1-NA-PP1 for 35 min; 42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604700	10604700	TT-seq_Raji-CDK9as_Solvent_HS30_rep2	MPI	9606	SRS4155933	GSM3518128	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	DMSO for 35 min; 42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604701	10604701	TT-seq_Raji-CDK9as_Solvent_HS30_rep1	MPI	9606	SRS4155932	GSM3518127	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	DMSO for 35 min; 42 oC for 30 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
SAMN10604702	10604702	TT-seq_Raji-CDK9as_CDK9inhibited_rep2	MPI	9606	SRS4155931	GSM3518126	Raji Burkitt's (B) lymphoma cells (CDK9as)	4sU-labeled RNA	Raji Burkitt's (B) lymphoma cells (CDK9as)	5 uM 1-NA-PP1 for 35 min; incl. 4sU (Sigma) labeling during the last 5 minutes.
