accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug	experiment	source_name	timepoint
SAMN10663314	10663314	AMO-1 SRSF1 WT DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197093	GSM3535562	AMO-1		DMSO	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663315	10663315	AMO-1 15 nM carfilzomib mRNA replicate 7	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197092	GSM3535561	AMO-1		15 nM carfilzomib	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663316	10663316	AMO-1 15 nM carfilzomib mRNA replicate 8	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197091	GSM3535560	AMO-1		15 nM carfilzomib	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663317	10663317	AMO-1 15 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197090	GSM3535559	AMO-1		15 nM carfilzomib	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663318	10663318	AMO-1 DMSO mRNA replicate 7	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197089	GSM3535558	AMO-1		DMSO	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663319	10663319	AMO-1 DMSO mRNA replicate 8	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197088	GSM3535557	AMO-1		DMSO	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663320	10663320	AMO-1 DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197087	GSM3535556	AMO-1		DMSO	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663321	10663321	AMO-1 10 nM E7107 mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197086	GSM3535555	AMO-1		10 nM E7107	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663322	10663322	AMO-1 10 nM E7107 mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197085	GSM3535554	AMO-1		10 nM E7107	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663323	10663323	AMO-1 10 nM E7107 mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197084	GSM3535553	AMO-1		10 nM E7107	single timepoint response alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663324	10663324	MM.1S 10 nM E7107 mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197083	GSM3535552	MM.1S		10 nM E7107	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663325	10663325	MM.1S 10 nM E7107 mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197082	GSM3535551	MM.1S		10 nM E7107	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663326	10663326	MM.1S 10 nM E7107 mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197081	GSM3535550	MM.1S		10 nM E7107	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663327	10663327	MM.1S 10 uM melphalan mRNA replicate 10	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197080	GSM3535549	MM.1S		10 uM melphalan	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663328	10663328	MM.1S 10 uM melphalan mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197079	GSM3535548	MM.1S		10 uM melphalan	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663329	10663329	MM.1S 10 uM melphalan mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197078	GSM3535547	MM.1S		10 uM melphalan	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663330	10663330	MM.1S 18 nM carfilzomib mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197077	GSM3535546	MM.1S		18 nM carfilzomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663331	10663331	MM.1S 18 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197076	GSM3535545	MM.1S		18 nM carfilzomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663332	10663332	MM.1S 18 nM carfilzomib mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197075	GSM3535544	MM.1S		18 nM carfilzomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h
SAMN10663333	10663333	MM.1S DMSO mRNA replicate 8	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197074	GSM3535543	MM.1S		DMSO	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h (untreated)
SAMN10663334	10663334	MM.1S DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197073	GSM3535542	MM.1S		DMSO	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h (untreated)
SAMN10663335	10663335	MM.1S DMSO mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197072	GSM3535541	MM.1S		DMSO	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h (untreated)
SAMN10663336	10663336	MM.1S 30 nM carfilzomib 24 h mRNA	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197071	GSM3535540	MM.1S		30 nM carfilzomib	timecourse gene expression	MM.1S myeloma cell line	24 h
SAMN10663337	10663337	MM.1S 30 nM carfilzomib 16 h mRNA	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197070	GSM3535539	MM.1S		30 nM carfilzomib	timecourse gene expression	MM.1S myeloma cell line	16 h
SAMN10663338	10663338	MM.1S 30 nM carfilzomib 08 h mRNA	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197069	GSM3535538	MM.1S		30 nM carfilzomib	timecourse gene expression	MM.1S myeloma cell line	8 h
SAMN10663339	10663339	MM.1S 30 nM carfilzomib 00 h mRNA	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197068	GSM3535537	MM.1S		untreated	timecourse gene expression	MM.1S myeloma cell line	0 h (untreated)
SAMN10663340	10663340	AMO-1 SRSF1mSA 15 nM carfilzomib mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197110	GSM3535579	AMO-1		15 nM carfilzomib	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663341	10663341	AMO-1 SRSF1mSA 15 nM carfilzomib mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197109	GSM3535578	AMO-1		15 nM carfilzomib	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663342	10663342	AMO-1 SRSF1mSA 15 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197108	GSM3535577	AMO-1		15 nM carfilzomib	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663343	10663343	AMO-1 SRSF1mSD 15 nM carfilzomib mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197107	GSM3535576	AMO-1		15 nM carfilzomib	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663344	10663344	AMO-1 SRSF1mSD 15 nM carfilzomib mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197106	GSM3535575	AMO-1		15 nM carfilzomib	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663345	10663345	AMO-1 SRSF1mSD 15 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197105	GSM3535574	AMO-1		15 nM carfilzomib	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663346	10663346	AMO-1 SRSF1 WT 15 nM carfilzomib mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197104	GSM3535573	AMO-1		15 nM carfilzomib	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663347	10663347	AMO-1 SRSF1 WT 15 nM carfilzomib mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197103	GSM3535572	AMO-1		15 nM carfilzomib	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663348	10663348	AMO-1 SRSF1 WT 15 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197102	GSM3535571	AMO-1		15 nM carfilzomib	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h
SAMN10663349	10663349	AMO-1 SRSF1mSA DMSO mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197101	GSM3535570	AMO-1		DMSO	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663350	10663350	AMO-1 SRSF1mSA DMSO mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197100	GSM3535569	AMO-1		DMSO	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
SAMN10663351	10663351	AMO-1 SRSF1mSA DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197099	GSM3535568	AMO-1		DMSO	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)
