BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	disease	cell_line	host cell type	source_name	tissue	treatment	group
SAMN10713763	SRR8422126	2020-01-02T09:24:50Z	2019-01-09T02:54:47Z	57104020	17131206000	57104020	300	6710		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8422126/SRR8422126.1	SRX5231162		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234859	simple	9606	Homo sapiens	GSM3554293							no					GEO	SRA832061		public	6F665884500E3666950BF7B122A89D4C	54F880A0F335523643AD00618DE5D62D	10713763	HSV-1_EPZ6438_RNAseq_rep2	Epigenomics, College of life science, Wuhan university	9606	SRS4234859	GSM3554293	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 4h + EPZ6438 4h	HSV1_EPZ6438.4
SAMN10713764	SRR8422125	2020-01-02T09:24:50Z	2019-01-09T02:34:07Z	36262910	8466066011	36262910	233	3432		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8422125/SRR8422125.1	SRX5231161		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234858	simple	9606	Homo sapiens	GSM3554292							no					GEO	SRA832061		public	80CB8CD76E103D0F3D4A61874778D97B	6E546E1222B74A1446DE69B933CB2C74	10713764	HSV-1_EPZ6438_RNAseq_rep1	Epigenomics, College of life science, Wuhan university	9606	SRS4234858	GSM3554292	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 4h + EPZ6438 4h	HSV1_EPZ6438.4
SAMN10713765	SRR8422124	2020-01-02T09:24:50Z	2019-01-09T02:57:12Z	56796879	17039063700	56796879	300	6593		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8422124/SRR8422124.1	SRX5231160		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234857	simple	9606	Homo sapiens	GSM3554291							no					GEO	SRA832061		public	9508CCD6C8E09EBAE085AACF18F30BA8	3980D2F561B8C6DF36AD76A1F42CFD49	10713765	HSV-1_C646_RNAseq_rep2	Epigenomics, College of life science, Wuhan university	9606	SRS4234857	GSM3554291	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 4h + C646 4h	HSV1_C646.4
SAMN10713766	SRR8422123	2020-01-02T09:24:50Z	2019-01-09T02:38:37Z	37929112	11378733600	37929112	300	4728		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8422123/SRR8422123.1	SRX5231159		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234856	simple	9606	Homo sapiens	GSM3554290							no					GEO	SRA832061		public	A3E9031677CF150E3689C5043772A884	351063CF2F71EB0DC1B0A3ADF6E02D70	10713766	HSV-1_C646_RNAseq_rep1	Epigenomics, College of life science, Wuhan university	9606	SRS4234856	GSM3554290	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 4h + C646 4h	HSV1_C646.4
SAMN10713767	SRR8422122	2020-01-02T09:24:50Z	2019-01-09T03:02:35Z	62123696	18637108800	62123696	300	7196		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8422122/SRR8422122.1	SRX5231158		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234855	simple	9606	Homo sapiens	GSM3554289							no					GEO	SRA832061		public	03876E077AF99AFA940929084D57AE32	70ECC73A4FB1D1E349384B386EDE04F2	10713767	HSV-1_DMSO_RNASeq_rep2	Epigenomics, College of life science, Wuhan university	9606	SRS4234855	GSM3554289	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 4h + DMSO 4h	HSV1_DMSO.4
SAMN10713768	SRR8422121	2020-01-02T09:24:50Z	2019-01-09T02:47:55Z	56799994	17039998200	56799994	300	6772		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8422121/SRR8422121.1	SRX5231157		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234854	simple	9606	Homo sapiens	GSM3554288							no					GEO	SRA832061		public	5A9B4F5314C88153C70C9773B3D732E4	0A0BA938A37338F1ED6AC3D8A31D39F2	10713768	HSV-1_DMSO_RNASeq_rep1	Epigenomics, College of life science, Wuhan university	9606	SRS4234854	GSM3554288	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 4h + DMSO 4h	HSV1_DMSO.4
SAMN10713769	SRR8422120	2020-01-02T09:24:50Z	2019-01-09T02:22:34Z	25254493	5854290150	25254493	231	2224		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8422120/SRR8422120.1	SRX5231156		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234853	simple	9606	Homo sapiens	GSM3554287							no					GEO	SRA832061		public	2434F5F1FA1B748ADCE298A859E95F81	F9782111CB7AA321239EB4A4CF8C8C76	10713769	HSV-1_24H_RNASeq_rep2	Epigenomics, College of life science, Wuhan university	9606	SRS4234853	GSM3554287	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 24h	HSV1.24
SAMN10713770	SRR8422119	2020-01-02T09:24:50Z	2019-01-09T02:46:00Z	49856174	14956852200	49856174	300	5783		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8422119/SRR8422119.1	SRX5231155		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234852	simple	9606	Homo sapiens	GSM3554286							no					GEO	SRA832061		public	FF5977E6882ACD93B511E129CA67DE80	FF6A44C3210E8D7C043AFF2A226CB1D6	10713770	HSV-1_24H_RNASeq_rep1	Epigenomics, College of life science, Wuhan university	9606	SRS4234852	GSM3554286	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 24h	HSV1.24
SAMN10713771	SRR8422118	2020-01-02T09:24:50Z	2019-01-09T02:42:11Z	52129622	10616411353	23965437	203	4072		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8422118/SRR8422118.1	SRX5231154		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234851	simple	9606	Homo sapiens	GSM3554285							no					GEO	SRA832061		public	952767E2E2034FD2B385135EB9F419C8	84C9072B14C158A460DF534C64DFC692	10713771	HSV-1_8H_RNASeq_rep2	Epigenomics, College of life science, Wuhan university	9606	SRS4234851	GSM3554285	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 8h	HSV1.8
SAMN10713772	SRR8422117	2020-01-02T09:24:50Z	2019-01-09T02:40:36Z	44263555	13279066500	44263555	300	5166		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8422117/SRR8422117.1	SRX5231153		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234850	simple	9606	Homo sapiens	GSM3554284							no					GEO	SRA832061		public	508399B19DE70DA3E848D72556EF4B4C	6F6D38DFE776F6EE5C65DFF205DDBBBF	10713772	HSV-1_8H_RNASeq_rep1	Epigenomics, College of life science, Wuhan university	9606	SRS4234850	GSM3554284	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 8h	HSV1.8
SAMN10713773	SRR8422116	2020-01-02T09:24:50Z	2019-01-09T02:34:27Z	44608043	13382412900	44608043	300	5184		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8422116/SRR8422116.1	SRX5231152		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234849	simple	9606	Homo sapiens	GSM3554283							no					GEO	SRA832061		public	8A0BF130A573323F645DB0F96A6E79A9	795B79CE1F23D552702FB0C2A8B81054	10713773	HSV-1_4H_RNASeq_rep2	Epigenomics, College of life science, Wuhan university	9606	SRS4234849	GSM3554283	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 4h	HSV1.4
SAMN10713774	SRR8422115	2020-01-02T09:24:50Z	2019-01-09T03:04:13Z	41501567	12450470100	41501567	300	4910		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8422115/SRR8422115.1	SRX5231151		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234848	simple	9606	Homo sapiens	GSM3554282							no					GEO	SRA832061		public	5676ADA637CBEFE38B3B029F8CE36061	8ECFA5C582F4EE4E28FEC195AE53C23D	10713774	HSV-1_4H_RNASeq_rep1	Epigenomics, College of life science, Wuhan university	9606	SRS4234848	GSM3554282	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 4h	HSV1.4
SAMN10713775	SRR8422114	2020-01-02T09:24:50Z	2019-01-09T02:40:40Z	54452804	16335841200	54452804	300	6281		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8422114/SRR8422114.1	SRX5231150		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234847	simple	9606	Homo sapiens	GSM3554281							no					GEO	SRA832061		public	5BAA74DD584010A72506B3F250144F1A	F370E4C08E002EAEF3F7B7E00094E3E0	10713775	HSV-1_2H_RNASeq_rep2	Epigenomics, College of life science, Wuhan university	9606	SRS4234847	GSM3554281	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 2h	HSV1.2
SAMN10713776	SRR8422113	2020-01-02T09:24:50Z	2019-01-09T02:35:09Z	43297074	12989122200	43297074	300	5116		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8422113/SRR8422113.1	SRX5231149		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234846	simple	9606	Homo sapiens	GSM3554280							no					GEO	SRA832061		public	F584772296E528E3794304AC8C85F7C4	18C54A9A31B4AE024F07C561C2F80C96	10713776	HSV-1_2H_RNASeq_rep1	Epigenomics, College of life science, Wuhan university	9606	SRS4234846	GSM3554280	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 2h	HSV1.2
SAMN10713777	SRR8422112	2020-01-02T09:24:49Z	2019-01-09T02:51:46Z	73737101	13821679621	23919208	187	5317		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8422112/SRR8422112.1	SRX5231148		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP177947	PRJNA513836	3	513836	SRS4234845	simple	9606	Homo sapiens	GSM3554279							no					GEO	SRA832061		public	B04CC8F6BC7A60B217CD7B8B8AB8003C	C5F9969875490C1A06041370A28C9B6F	10713777	HSV-1_1H_RNASeq_rep2	Epigenomics, College of life science, Wuhan university	9606	SRS4234845	GSM3554279	acute monocytic leukemia	THP-1	monocyte	THP-1	peripheral blood	HSV-1 infect 1h	HSV1.1
