BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment compound	treatment time	tumor type	group
SAMN10719166	SRR8424337	2019-09-03T16:10:07Z	2020-02-22T10:29:20Z	42730491	4273049100	0	100	787	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424337/SRR8424337.2	SRX5233067		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236493	simple	9606	Homo sapiens	GSM3557258							no					GEO	SRA832338		public	59D728023C690B4E7DCA5C3367000085	F83C187D6505A387FF44AD1D6423A605	10719166	UISO_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236493	GSM3557258	UISO	tumor derived cancer cell line	UISO	CPI-670242	1 day	Merkel cell carcinoma	UISO.CPI_670242.1
SAMN10719167	SRR8424336	2019-09-03T16:10:07Z	2020-02-22T10:29:16Z	39385579	3938557900	0	100	714	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424336/SRR8424336.2	SRX5233066		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236492	simple	9606	Homo sapiens	GSM3557257							no					GEO	SRA832338		public	D3223A1AB1A0A70FED4CA6204E0D99CA	3AF2DBFC44218C201CB7241EE88DD957	10719167	UISO_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236492	GSM3557257	UISO	tumor derived cancer cell line	UISO	CPI-670242	1 day	Merkel cell carcinoma	UISO.CPI_670242.1
SAMN10719168	SRR8424335	2019-09-03T16:10:07Z	2020-02-22T10:26:22Z	35647003	3564700300	0	100	629	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424335/SRR8424335.2	SRX5233065		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236491	simple	9606	Homo sapiens	GSM3557256							no					GEO	SRA832338		public	4EBBE85C8E59AEBB39D3E2D9682B6849	EA376706D989C1352BF3F658ED03D2FF	10719168	UISO_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236491	GSM3557256	UISO	tumor derived cancer cell line	UISO	CPI-670242	1 day	Merkel cell carcinoma	UISO.CPI_670242.1
SAMN10719169	SRR8424334	2019-09-03T16:10:07Z	2020-02-22T10:35:24Z	34341338	3434133800	0	100	628	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424334/SRR8424334.2	SRX5233064		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236490	simple	9606	Homo sapiens	GSM3557255							no					GEO	SRA832338		public	8A59F0FDC354311A1191DD83609128A0	C4806B0A31515A4D8B56BC88545F86FA	10719169	UISO_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236490	GSM3557255	UISO	tumor derived cancer cell line	UISO	Control	1 day	Merkel cell carcinoma	UISO.Control.1
SAMN10719170	SRR8424333	2019-09-03T16:10:07Z	2020-02-22T10:23:26Z	33482597	3348259700	0	100	596	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424333/SRR8424333.2	SRX5233063		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236489	simple	9606	Homo sapiens	GSM3557254							no					GEO	SRA832338		public	7AA69C3E71353EA35558A3311E587F83	406816A6FA72E44C9E99CA45B1F20FCD	10719170	UISO_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236489	GSM3557254	UISO	tumor derived cancer cell line	UISO	Control	1 day	Merkel cell carcinoma	UISO.Control.1
SAMN10719171	SRR8424332	2019-09-03T16:10:07Z	2020-02-22T10:25:03Z	31563307	3156330700	0	100	604	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424332/SRR8424332.2	SRX5233062		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236488	simple	9606	Homo sapiens	GSM3557253							no					GEO	SRA832338		public	861D370BB3183EDB29246BBDC67075F8	FE0BEBE151B0B0B6069BBD77D4AC596A	10719171	UISO_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236488	GSM3557253	UISO	tumor derived cancer cell line	UISO	Control	1 day	Merkel cell carcinoma	UISO.Control.1
SAMN10719172	SRR8424331	2019-09-03T16:10:07Z	2020-02-22T10:25:54Z	23060991	2306099100	0	100	410	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424331/SRR8424331.2	SRX5233061		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236487	simple	9606	Homo sapiens	GSM3557252							no					GEO	SRA832338		public	F46AC0FF7D07CF2038E17C9A68B93D3C	DBDF04AA07422C553114FFE9E942AF82	10719172	broli_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236487	GSM3557252	BroLi	tumor derived cancer cell line	BroLi	CPI-670242	1 day	Merkel cell carcinoma	BroLi.CPI_670242.1
SAMN10719173	SRR8424330	2019-09-03T16:10:07Z	2020-02-22T10:22:13Z	30533637	3053363700	0	100	591	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424330/SRR8424330.2	SRX5233060		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236486	simple	9606	Homo sapiens	GSM3557251							no					GEO	SRA832338		public	2406335E73C39DDFE44C77BB17F49DE7	49F2630CDE2A1193E68D55E44541FB45	10719173	broli_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236486	GSM3557251	BroLi	tumor derived cancer cell line	BroLi	CPI-670242	1 day	Merkel cell carcinoma	BroLi.CPI_670242.1
SAMN10719174	SRR8424329	2019-09-03T16:10:07Z	2020-02-22T10:23:53Z	32406442	3240644200	0	100	609	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424329/SRR8424329.2	SRX5233059		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236485	simple	9606	Homo sapiens	GSM3557250							no					GEO	SRA832338		public	478E80E2AA6A3359B2BA00026F2B0B8C	FEF91B01284E403A9DDB5B07380ADE9F	10719174	broli_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236485	GSM3557250	BroLi	tumor derived cancer cell line	BroLi	CPI-670242	1 day	Merkel cell carcinoma	BroLi.CPI_670242.1
SAMN10719175	SRR8424328	2019-09-03T16:10:07Z	2020-02-22T10:25:53Z	31770537	3177053700	0	100	581	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424328/SRR8424328.2	SRX5233058		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236484	simple	9606	Homo sapiens	GSM3557249							no					GEO	SRA832338		public	A4021576FFD0D2521E4CA7A03A05567E	4875F82E964CE16CA79ABA05324DD086	10719175	broli_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236484	GSM3557249	BroLi	tumor derived cancer cell line	BroLi	Control	1 day	Merkel cell carcinoma	BroLi.Control.1
