accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	source_name
SAMN10760179	10760179	AATAAC: HCC1806_Ribociclib_0.3	Harvard Medical School	9606	SRS4257093	GSM3565380	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760180	10760180	AAATAC: BT549_Palbociclib_3.16	Harvard Medical School	9606	SRS4257045	GSM3565355	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760181	10760181	AAAGTT: BT549_DMSO_0.0	Harvard Medical School	9606	SRS4257044	GSM3565354	BT549	BT549 breast cancer cell line	DMSO	BT549
SAMN10760182	10760182	AAAATC: BT549_Palbociclib_0.3	Harvard Medical School	9606	SRS4257043	GSM3565353	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760183	10760183	CATTTA: MCF7_DMSO_0.0	Harvard Medical School	9606	SRS4257122	GSM3565409	MCF7	MCF7 breast cancer cell line	DMSO	MCF7
SAMN10760184	10760184	CATTAT: MCF7_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257121	GSM3565408	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760185	10760185	CAATAA: MCF7_Ribociclib_3.16	Harvard Medical School	9606	SRS4257120	GSM3565407	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760186	10760186	CAAATA: Hs578T_DMSO_0.0	Harvard Medical School	9606	SRS4257119	GSM3565406	Hs578T	Hs578T breast cancer cell line	DMSO	Hs578T
SAMN10760187	10760187	ATTTGT: Hs578T_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257118	GSM3565405	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760188	10760188	ATTTCA: Hs578T_Ribociclib_3.16	Harvard Medical School	9606	SRS4257117	GSM3565404	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760189	10760189	ATTGAA: HCC1806_DMSO_0.0	Harvard Medical School	9606	SRS4257116	GSM3565403	HCC1806	HCC1806 breast cancer cell line	DMSO	HCC1806
SAMN10760190	10760190	ATTCTA: HCC1806_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257115	GSM3565402	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760191	10760191	ATTAGA: HCC1806_Ribociclib_3.16	Harvard Medical School	9606	SRS4257114	GSM3565401	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760192	10760192	ATTACT: PDX1258_DMSO_0.0	Harvard Medical School	9606	SRS4257113	GSM3565400	PDX1258	PDX1258 breast cancer PDX	DMSO	PDX1258
SAMN10760193	10760193	ATGATA: PDX1258_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257112	GSM3565399	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760194	10760194	ATGAAT: PDX1258_Ribociclib_3.16	Harvard Medical School	9606	SRS4257111	GSM3565398	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
