BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment
SAMN10764406	SRR8451243	2019-08-27T22:37:57Z	2019-01-17T11:09:39Z	19930422	1514712072	0	76	569		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451243/SRR8451243.1	SRX5258158		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259251	simple	9606	Homo sapiens	GSM3567202							no					GEO	SRA835666		public	696F8FDCC7D4D50DDF58814FC9F8D748	A43B5B69E644A43F854F2C2B6CCB7E88	10764406	VCaP_DHTsiNT_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259251	GSM3567202	VCaP	VCaP	Prostate Cancer	si knockdown non-target
SAMN10764408	SRR8451242	2019-08-27T22:37:57Z	2019-01-17T11:08:46Z	14613591	1110632916	0	76	415		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8451242/SRR8451242.1	SRX5258157		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259250	simple	9606	Homo sapiens	GSM3567201							no					GEO	SRA835666		public	EEB7F69C0DD3D793D23073ABEAC58E7F	757F668914707DBC714613BD3440EEB5	10764408	VCaP_DHTsiNT_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259250	GSM3567201	VCaP	VCaP	Prostate Cancer	si knockdown non-target
SAMN10764410	SRR8451238	2019-08-27T22:37:57Z	2019-01-17T11:11:02Z	23510282	1786781432	0	76	687		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8451238/SRR8451238.1	SRX5258153		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259246	simple	9606	Homo sapiens	GSM3567197							no					GEO	SRA835666		public	204C1CE0F99A02625232236B4A61326D	13DD6495319EF95A92438D6BC9EC851C	10764410	LNCaP_DHTsiCDK7_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259246	GSM3567197	LNCaP	LNCaP	Prostate Cancer	si knockdown of CDK7
SAMN10764411	SRR8451237	2019-08-27T22:37:57Z	2019-01-17T11:10:19Z	23154812	1759765712	0	76	657		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451237/SRR8451237.1	SRX5258152		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259244	simple	9606	Homo sapiens	GSM3567196							no					GEO	SRA835666		public	B7EA102B4BBD0E229514255BC9BFF5B6	117F003F87FB5A1F30DC9238AA4094A0	10764411	LNCaP_DHTsiNT_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259244	GSM3567196	LNCaP	LNCaP	Prostate Cancer	si knockdown non-target
SAMN10764413	SRR8451236	2019-08-27T22:37:57Z	2019-01-17T11:12:01Z	29286917	2225805692	0	76	832		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8451236/SRR8451236.1	SRX5258151		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259245	simple	9606	Homo sapiens	GSM3567195							no					GEO	SRA835666		public	115BD4B0B078442070A73A307B5908C8	CF02E7673F991EC1E98EA14EED172AC1	10764413	LNCaP_DHTsiNT_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259245	GSM3567195	LNCaP	LNCaP	Prostate Cancer	si knockdown non-target
SAMN10764415	SRR8451235	2019-08-27T22:37:57Z	2019-01-17T11:11:10Z	30672691	2331124516	0	76	869		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8451235/SRR8451235.1	SRX5258150		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259243	simple	9606	Homo sapiens	GSM3567194							no					GEO	SRA835666		public	314BC840050793977A43FC511B03173A	2DB0429E3511618608BAF5FF192F3CA2	10764415	DU145_24hTHZ1_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259243	GSM3567194	DU145	DU145	Prostate Cancer	24h THZ1 treatment
SAMN10764416	SRR8451234	2019-08-27T22:37:57Z	2019-01-17T11:10:54Z	25579278	1944025128	0	76	722		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8451234/SRR8451234.1	SRX5258149		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259242	simple	9606	Homo sapiens	GSM3567193							no					GEO	SRA835666		public	B6F0B9FC2F71D33605FDA475C4F32040	114DF0E34FEE9626C8BF9E3BA5AED309	10764416	DU145_24hTHZ1_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259242	GSM3567193	DU145	DU145	Prostate Cancer	24h THZ1 treatment
SAMN10764418	SRR8451233	2019-08-27T22:37:57Z	2019-01-17T11:12:44Z	29838764	2267746064	0	76	845		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8451233/SRR8451233.1	SRX5258148		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259241	simple	9606	Homo sapiens	GSM3567192							no					GEO	SRA835666		public	97140AA91CBED80F253B031A19383C44	0494B13342E2BD4DBB5884A5D1D6204F	10764418	DU145_24hDMSO_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259241	GSM3567192	DU145	DU145	Prostate Cancer	24h DMSO treatment
SAMN10764419	SRR8451232	2019-08-27T22:37:57Z	2019-01-17T11:12:18Z	24658282	1874029432	0	76	708		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8451232/SRR8451232.1	SRX5258147		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259240	simple	9606	Homo sapiens	GSM3567191							no					GEO	SRA835666		public	67527B4C79C27C28C5CDB2DEE1C51098	D168D0B7584D7FDCE696BB2CEA548127	10764419	DU145_24hDMSO_rep1	Cancer Biology, University of Pennsylvania	9606	SRS4259240	GSM3567191	DU145	DU145	Prostate Cancer	24h DMSO treatment
SAMN10764421	SRR8451231	2019-08-27T22:37:57Z	2019-01-17T11:06:55Z	11152152	847563552	0	76	300		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8451231/SRR8451231.1	SRX5258146		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP179971	PRJNA515688	3	515688	SRS4259238	simple	9606	Homo sapiens	GSM3567190							no					GEO	SRA835666		public	048ECC2F19E5BC79E73830A02579380A	FAE518CCBC1B6074EF8970EAEFD2A18E	10764421	VCaP_24hTHZ1_rep2	Cancer Biology, University of Pennsylvania	9606	SRS4259238	GSM3567190	VCaP	VCaP	Prostate Cancer	24h THZ1 treatment
