BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	time	treatment	tumor type	group
SAMN10830532	SRR8495243	2019-05-29T16:28:06Z	2019-01-28T10:38:12Z	26364696	7909408800	26364696	300	2919		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495243/SRR8495243.1	SRX5299758		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298714	simple	9606	Homo sapiens	GSM3581375							no					GEO	SRA840282		public	10A8918CEC6EAA6A12A9C55DFBC0E122	4212789427D939543C9B8EECA5C007AB	10830532	48h_2mg_MOO_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298714	GSM3581375	MDA-MB-231	total RNAs, cell line	48h	MOO	breast cancer	MDA_MB_231.MOO.48h
SAMN10830533	SRR8495242	2019-05-29T16:28:05Z	2019-01-28T10:38:57Z	26182607	7854782100	26182607	300	2896		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495242/SRR8495242.1	SRX5299757		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298713	simple	9606	Homo sapiens	GSM3581374							no					GEO	SRA840282		public	045119431394131D973509E3E82B67E8	4E6DBAEBAECB15469B7A9099A42A46F5	10830533	48h_2mg_MOO_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298713	GSM3581374	MDA-MB-231	total RNAs, cell line	48h	MOO	breast cancer	MDA_MB_231.MOO.48h
SAMN10830534	SRR8495239	2019-05-29T16:28:05Z	2019-01-28T10:38:01Z	23844658	7153397400	23844658	300	2619		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495239/SRR8495239.1	SRX5299754		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298710	simple	9606	Homo sapiens	GSM3581371							no					GEO	SRA840282		public	4A5ABF1711222ADF2D7913962E1B8D69	ED4ABEBCF798237E895E7D9628476AB9	10830534	48h_2mg_OO_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298710	GSM3581371	MDA-MB-231	total RNAs, cell line	48h	OO	breast cancer	MDA_MB_231.OO.48h
SAMN10830535	SRR8495238	2019-05-29T16:28:05Z	2019-01-28T10:37:29Z	27332566	8199769800	27332566	300	3084		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495238/SRR8495238.1	SRX5299753		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298709	simple	9606	Homo sapiens	GSM3581370							no					GEO	SRA840282		public	0C45292088B098B3A9E87B748969D6C9	A916A9FB38C108FEC954013ADE7EEFC8	10830535	48h_2mg_N_3_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298709	GSM3581370	MDA-MB-231	total RNAs, cell line	48h	N_3	breast cancer	MDA_MB_231.N_3.48h
SAMN10830536	SRR8495237	2019-05-29T16:28:05Z	2019-01-28T10:36:59Z	24601238	7380371400	24601238	300	2727		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495237/SRR8495237.1	SRX5299752		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298708	simple	9606	Homo sapiens	GSM3581369							no					GEO	SRA840282		public	63D4C84FDBCBD2941155132E18959C7D	19CA86F24A60A075515E39D8DBDF683F	10830536	48h_2mg_N_3_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298708	GSM3581369	MDA-MB-231	total RNAs, cell line	48h	N_3	breast cancer	MDA_MB_231.N_3.48h
SAMN10830537	SRR8495236	2019-05-29T16:28:05Z	2019-01-28T10:38:13Z	25917527	7775258100	25917527	300	2876		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495236/SRR8495236.1	SRX5299751		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298707	simple	9606	Homo sapiens	GSM3581368							no					GEO	SRA840282		public	646F47F8772A24F3A4C26A38F88950B5	AD7A061CA795CECF9CB54B3D7BDB3EEF	10830537	48h_2mg_N_3_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298707	GSM3581368	MDA-MB-231	total RNAs, cell line	48h	N_3	breast cancer	MDA_MB_231.N_3.48h
SAMN10830538	SRR8495235	2019-05-29T16:28:05Z	2019-01-28T10:36:43Z	23254176	6976252800	23254176	300	2576		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495235/SRR8495235.1	SRX5299750		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298706	simple	9606	Homo sapiens	GSM3581367							no					GEO	SRA840282		public	99114549AA80BCDCFF0824810024E166	42E930D4A13AD72ECC86A9BE8FA2C3A3	10830538	48h_2mg_N_2_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298706	GSM3581367	MDA-MB-231	total RNAs, cell line	48h	N_2	breast cancer	MDA_MB_231.N_2.48h
SAMN10830539	SRR8495234	2019-05-29T16:28:05Z	2019-01-28T10:41:05Z	27218878	8165663400	27218878	300	2997		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495234/SRR8495234.1	SRX5299749		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298705	simple	9606	Homo sapiens	GSM3581366							no					GEO	SRA840282		public	5BB47FE569D6FDD6EFFA2E1B814746DE	BE8779F9D907DFE76C9E129FC9CC2C22	10830539	48h_2mg_N_2_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298705	GSM3581366	MDA-MB-231	total RNAs, cell line	48h	N_2	breast cancer	MDA_MB_231.N_2.48h
SAMN10830540	SRR8495233	2019-05-29T16:28:05Z	2019-01-28T10:37:52Z	25922947	7776884100	25922947	300	2885		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495233/SRR8495233.1	SRX5299748		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298704	simple	9606	Homo sapiens	GSM3581365							no					GEO	SRA840282		public	7257E1510E29CB14AFF7C4B66EC7D70B	CC80B6005A577152BBA348FCBDFEEFB5	10830540	48h_2mg_N_2_1_Rep1_Batch1	Adelson, University of Adelaide	9606	SRS4298704	GSM3581365	MDA-MB-231	total RNAs, cell line	48h	N_2	breast cancer	MDA_MB_231.N_2.48h
SAMN10830542	SRR8495232	2019-05-29T16:28:05Z	2019-01-28T10:38:37Z	27256642	8176992600	27256642	300	2997		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495232/SRR8495232.1	SRX5299747		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298703	simple	9606	Homo sapiens	GSM3581364							no					GEO	SRA840282		public	1765058A176C79204AEFA19C105AF50A	C9C1033B91E14EC43650A6F7286F1DEC	10830542	48h_2mg_CKI3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298703	GSM3581364	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer	MDA_MB_231.CKI.48h
